"DISABLED -- PUERTO RiCO 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40440,PUERTO RICO              ,LUQUILLO               ,43,"25,222",48.41,"24,192",46.43,0,"1,030",0,15,"36,196",195.61,0.859
40450,PUERTO RICO              ,MANATI                 ,"1,142","571,876",41.71,"528,002",38.51,"10,657","26,609","6,606",489,"876,920",149.16,0.963
40460,PUERTO RICO              ,MARICAO                ,42,"54,700",107.46,"50,532",99.27,"1,433",507,"2,227",9,"15,276",129.51,0.859
40470,PUERTO RICO              ,MAUNABO                ,276,"131,031",39.48,"123,745",37.28,684,"5,661",939,79,"97,616",102.00,1.009
40480,PUERTO RICO              ,MAYAGUEZ               ,"1,096","1,370,202",104.09,"1,283,703",97.52,"31,446","17,034","38,018",360,"699,161",161.77,0.918
40490,PUERTO RICO              ,MOCA                   ,580,"318,771",45.79,"308,625",44.34,496,"5,749","4,893",207,"443,905",178.06,0.904
40500,PUERTO RICO              ,MOROVIS                ,523,"168,960",26.90,"156,993",25.00,"2,854","8,661",450,125,"131,116",86.77,0.945
40510,PUERTO RICO              ,NAGUABO                ,432,"300,601",57.88,"275,530",53.05,"3,173","19,642","2,255",148,"237,313",133.55,0.948
40520,PUERTO RICO              ,NARANJITO              ,610,"221,961",30.30,"202,872",27.70,"2,783","10,739","5,566",190,"373,651",163.67,0.920
40530,PUERTO RICO              ,OROCOVIS               ,562,"265,027",39.23,"249,584",36.95,249,"15,171",21,154,"212,871",115.19,1.018
40540,PUERTO RICO              ,PATILLAS               ,422,"512,925",101.25,"468,651",92.51,"7,671","31,640","4,961",120,"206,061",143.00,1.002
40550,PUERTO RICO              ,PENUELAS               ,260,"250,225",80.05,"225,028",71.99,"7,798","8,469","8,928",78,"171,650",182.03,0.896
40560,PUERTO RICO              ,PONCE                  ,"2,086","2,049,107",81.85,"1,816,178",72.54,"61,773","80,004","91,150",718,"1,905,353",221.12,0.944
40570,PUERTO RICO              ,QUEBRADILLAS           ,591,"448,387",63.22,"422,195",59.53,"4,686","19,374","2,131",194,"453,886",194.89,0.937
40580,PUERTO RICO              ,RINCON                 ,207,"122,077",49.07,"114,847",46.16,"1,566","2,005","3,658",75,"177,632",196.27,0.881
40590,PUERTO RICO              ,RIO GRANDE             ,403,"240,933",49.79,"198,093",40.94,"8,711","14,733","19,395",121,"263,654",181.46,0.977
40610,PUERTO RICO              ,SABANA GRANDE          ,323,"321,755",82.88,"283,401",73.00,"18,184","13,409","6,759",105,"424,312",333.83,1.004
40620,PUERTO RICO              ,SALINAS                ,662,"422,495",53.14,"375,291",47.20,"8,462","30,881","7,859",222,"341,491",128.04,0.899
40630,PUERTO RICO              ,SAN GERMAN             ,363,"634,701",145.61,"526,243",120.73,"39,789","54,743","13,925",125,"378,752",251.00,0.909
40640,PUERTO RICO              ,SAN JUAN               ,"4,642","3,091,194",55.48,"2,843,958",51.04,"53,845","127,057","66,333","1,647","4,092,301",207.00,0.983
40650,PUERTO RICO              ,SAN LORENZO            ,641,"273,023",35.49,"238,868",31.05,"6,120","17,818","10,216",259,"511,936",164.72,0.956
40660,PUERTO RICO              ,SAN SEBASTIAN          ,583,"392,398",56.05,"348,913",49.84,"11,075","19,960","12,448",214,"533,608",207.31,0.975
40670,PUERTO RICO              ,SANTA ISABEL           ,266,"173,116",54.05,"156,520",48.87,"3,613","6,452","6,530",71,"100,740",117.41,0.894
40680,PUERTO RICO              ,TOA ALTA               ,862,"372,297",35.98,"341,520",33.01,"4,851","19,483","6,442",270,"461,341",142.35,0.892
40690,PUERTO RICO              ,TOA BAJA               ,392,"164,796",35.03,"151,036",32.10,"2,452","7,456","3,851",134,"300,085",185.82,0.948
40700,PUERTO RICO              ,TRUJILLO ALTO          ,601,"308,627",42.76,"269,850",37.39,"13,079","11,863","13,832",213,"480,920",187.34,0.913
40710,PUERTO RICO              ,UTUADO                 ,340,"150,589",36.81,"133,798",32.71,"2,540","8,530","5,720",70,"183,979",218.00,0.948
40720,PUERTO RICO              ,VEGA ALTA              ,559,"264,911",39.47,"251,268",37.44,"2,796","9,870",976,165,"357,469",180.27,0.913
40730,PUERTO RICO              ,VEGA BAJA              ,926,"328,372",29.54,"309,584",27.85,"1,198","17,198",391,328,"509,980",129.27,0.916
40740,PUERTO RICO              ,VIEQUES                ,369,"638,434",144.11,"586,449",132.38,"21,962","21,771","8,250",128,"309,470",200.30,0.814
40750,PUERTO RICO              ,VILLALBA               ,399,"244,409",51.04,"212,398",44.35,"7,667","11,078","13,265",105,"223,384",177.15,1.071
40760,PUERTO RICO              ,YABUCOA                ,929,"415,667",37.26,"373,735",33.50,"7,084","30,162","4,684",330,"493,971",124.49,0.895
40770,PUERTO RICO              ,YAUCO                  ,578,"491,375",70.75,"462,353",66.57,"7,808","10,551","10,661",166,"243,618",121.81,0.892
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
