"AGED -- PUERTO RiCO 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40660,PUERTO RICO              ,SAN SEBASTIAN          ,"2,189","4,277,257",162.80,"4,101,221",156.10,"60,069","70,429","45,538",771,"2,096,082",226.43,0.975
40670,PUERTO RICO              ,SANTA ISABEL           ,843,"1,483,764",146.60,"1,373,662",135.72,"23,960","45,077","41,063",263,"585,326",184.94,0.894
40680,PUERTO RICO              ,TOA ALTA               ,"1,550","1,928,634",103.68,"1,825,988",98.16,"18,433","62,284","21,927",666,"1,548,790",193.77,0.892
40690,PUERTO RICO              ,TOA BAJA               ,"1,299","1,505,462",96.56,"1,428,730",91.64,"15,453","52,363","8,915",533,"1,364,672",213.03,0.948
40700,PUERTO RICO              ,TRUJILLO ALTO          ,"2,222","2,691,804",100.93,"2,505,149",93.93,"48,272","72,115","66,266","1,220","3,331,454",227.43,0.913
40710,PUERTO RICO              ,UTUADO                 ,"1,201","1,851,932",128.40,"1,761,939",122.16,"15,270","63,076","11,646",215,"426,999",164.87,0.948
40720,PUERTO RICO              ,VEGA ALTA              ,"1,240","2,317,816",155.73,"2,235,878",150.22,"20,194","43,659","18,084",492,"1,109,335",187.77,0.913
40730,PUERTO RICO              ,VEGA BAJA              ,"2,137","3,386,481",132.01,"3,274,494",127.65,"22,015","81,212","8,759",842,"2,094,133",207.18,0.916
40740,PUERTO RICO              ,VIEQUES                ,"1,082","1,497,303",115.29,"1,384,362",106.60,"45,613","45,323","22,004",499,"1,156,743",192.98,0.814
40750,PUERTO RICO              ,VILLALBA               ,"1,121","1,930,481",143.47,"1,745,805",129.74,"46,189","77,117","61,368",280,"798,889",237.20,1.071
40760,PUERTO RICO              ,YABUCOA                ,"1,543","1,411,523",76.21,"1,310,074",70.73,"9,078","86,102","6,268",536,"1,068,073",165.80,0.895
40770,PUERTO RICO              ,YAUCO                  ,"2,013","5,153,789",213.34,"5,027,781",208.12,"28,014","59,810","38,183",752,"1,635,046",181.03,0.892
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
