AGED -- 2012  REIMBURSEMENT FOR COST CONTRACTS FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,
 CODE , STATE , COUNTY ,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"202,785","178,476","139,098",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"1,092,596","1,011,572","432,043",,,,,,
05450,CALIFORNIA               ,SAN BENITO,0,0,0,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"1,114,674","1,007,423","710,004",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"955,208","897,335","366,151",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"1,002,688","786,173","252,493",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"630,420","566,223","574,582",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"22,903","18,843","17,050",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"974,850","939,893","265,734",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"10,789","8,938","6,105",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"1,585,987","1,318,847","441,684",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,0,0,"43,535",,,,,,
05550,CALIFORNIA               ,SHASTA,"30,128","28,977","24,969",,,,,,
05560,CALIFORNIA               ,SIERRA,0,0,"10,837",,,,,,
05570,CALIFORNIA               ,SISKIYOU,0,0,789,,,,,,
05580,CALIFORNIA               ,SOLANO,"800,732","768,301","195,071",,,,,,
05590,CALIFORNIA               ,SONOMA,"421,918","401,069","282,011",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"79,153","75,931","69,420",,,,,,
05610,CALIFORNIA               ,SUTTER,"31,111","28,861","5,887",,,,,,
05620,CALIFORNIA               ,TEHAMA,"19,722","18,423","28,973",,,,,,
05630,CALIFORNIA               ,TRINITY,"37,829","28,672",300,,,,,,
05640,CALIFORNIA               ,TULARE,"49,204","34,070","6,895",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,0,0,"31,824",,,,,,
05660,CALIFORNIA               ,VENTURA,"130,026","121,154","36,261",,,,,,
05670,CALIFORNIA               ,YOLO,"37,534","36,342","19,433",,,,,,
05680,CALIFORNIA               ,YUBA,"55,265","52,873","30,732",,,,,,
06000,COLORADO                 ,ADAMS,"2,119,960","1,928,919","1,237,885",,,,,,
06010,COLORADO                 ,ALAMOSA,"256,989","232,044","352,355",,,,,,
06020,COLORADO                 ,ARAPAHOE,"4,216,113","4,029,397","1,874,755",,,,,,
06030,COLORADO                 ,ARCHULETA,"325,456","308,707","500,938",,,,,,
06040,COLORADO                 ,BACA,0,0,"5,406",,,,,,
06050,COLORADO                 ,BENT,"73,609","66,394","82,557",,,,,,
06060,COLORADO                 ,BOULDER,"3,377,550","3,243,464","1,912,614",,,,,,
06070,COLORADO                 ,CHAFFEE,"823,638","812,440","791,046",,,,,,
06080,COLORADO                 ,CHEYENNE,"24,424","22,688","32,123",,,,,,
06090,COLORADO                 ,CLEAR CREEK,"168,622","145,914","91,254",,,,,,
06100,COLORADO                 ,CONEJOS,"555,587","519,305","456,921",,,,,,
06110,COLORADO                 ,COSTILLA,"315,364","295,450","139,299",,,,,,
06120,COLORADO                 ,CROWLEY,0,0,"14,908",,,,,,
06130,COLORADO                 ,CUSTER,"53,329","48,745","58,312",,,,,,
06140,COLORADO                 ,DELTA,"3,750,607","3,498,140","2,361,606",,,,,,
06150,COLORADO                 ,DENVER,"3,455,599","3,110,998","1,887,467",,,,,,
06160,COLORADO                 ,DOLORES,"15,074","14,331","81,560",,,,,,
06170,COLORADO                 ,DOUGLAS,"799,978","789,278","446,412",,,,,,
06180,COLORADO                 ,EAGLE,"494,929","463,473","434,115",,,,,,
06190,COLORADO                 ,ELBERT,"92,160","82,109","129,763",,,,,,
06200,COLORADO                 ,EL PASO,"1,401,224","1,321,525","1,046,942",,,,,,
06210,COLORADO                 ,FREMONT,"612,174","574,264","522,513",,,,,,
06220,COLORADO                 ,GARFIELD,"1,684,937","1,577,680","1,112,306",,,,,,
06230,COLORADO                 ,GILPIN,"38,954","35,864","21,253",,,,,,
06240,COLORADO                 ,GRAND,"123,858","118,639","101,933",,,,,,
06250,COLORADO                 ,GUNNISON,"87,734","78,787","116,539",,,,,,
06260,COLORADO                 ,HINSDALE,0,0,"4,640",,,,,,
06270,COLORADO                 ,HUERFANO,"349,064","319,363","321,403",,,,,,
06280,COLORADO                 ,JACKSON,"12,136","10,929","10,818",,,,,,
06290,COLORADO                 ,JEFFERSON,"3,887,765","3,702,960","2,771,717",,,,,,
06300,COLORADO                 ,KIOWA,0,0,"7,111",,,,,,
06310,COLORADO                 ,KIT CARSON,"69,259","64,352","69,256",,,,,,
06320,COLORADO                 ,LAKE,"64,644","61,983","82,858",,,,,,
06330,COLORADO                 ,LA PLATA,"1,496,948","1,430,704","1,107,187",,,,,,
06340,COLORADO                 ,LARIMER,"2,241,490","2,120,903","1,310,588",,,,,,
06350,COLORADO                 ,LAS ANIMAS,"758,586","723,485","382,170",,,,,,
06360,COLORADO                 ,LINCOLN,"133,551","125,960","120,781",,,,,,
06370,COLORADO                 ,LOGAN,"413,948","397,364","250,820",,,,,,
06380,COLORADO                 ,MESA,"17,484,163","16,128,631","9,776,307",,,,,,
06390,COLORADO                 ,MINERAL,"34,326","32,983","27,340",,,,,,
06400,COLORADO                 ,MOFFAT,"101,732","98,517","197,745",,,,,,
06410,COLORADO                 ,MONTEZUMA,"1,124,744","1,084,140","752,205",,,,,,
06420,COLORADO                 ,MONTROSE,"3,194,828","2,986,444","2,155,745",,,,,,
06430,COLORADO                 ,MORGAN,"231,589","218,176","135,335",,,,,,
06440,COLORADO                 ,OTERO,"594,120","547,377","380,408",,,,,,
06450,COLORADO                 ,OURAY,"400,955","377,796","144,654",,,,,,
06460,COLORADO                 ,PARK,"72,469","61,753","132,898",,,,,,
06470,COLORADO                 ,PHILLIPS,"30,630","23,649","35,665",,,,,,
06480,COLORADO                 ,PITKIN,"190,398","145,321","144,704",,,,,,
06490,COLORADO                 ,PROWERS,"147,590","139,596","119,554",,,,,,
06500,COLORADO                 ,PUEBLO,"3,753,969","3,405,927","2,674,150",,,,,,
06510,COLORADO                 ,RIO BLANCO,"778,134","759,629","477,427",,,,,,
06520,COLORADO                 ,RIO GRANDE,"941,314","878,608","568,882",,,,,,
06530,COLORADO                 ,ROUTT,"204,110","193,954","198,251",,,,,,
06540,COLORADO                 ,SAGUACHE,"427,672","401,983","190,632",,,,,,
06550,COLORADO                 ,SAN JUAN,"8,244","7,926","5,026",,,,,,
06560,COLORADO                 ,SAN MIGUEL,"192,745","185,997","110,408",,,,,,
06570,COLORADO                 ,SEDGWICK,"90,947","90,413","62,078",,,,,,
06580,COLORADO                 ,SUMMIT,"256,288","249,346","197,025",,,,,,
06590,COLORADO                 ,TELLER,"72,690","70,909","116,941",,,,,,
06600,COLORADO                 ,WASHINGTON,"49,082","49,082","32,606",,,,,,
06610,COLORADO                 ,WELD,"1,912,005","1,755,628","1,407,738",,,,,,
06620,COLORADO                 ,YUMA,"101,810","93,194","93,727",,,,,,
06630,COLORADO                 ,BROOMFIELD,"158,571","147,249","176,815",,,,,,
07000,CONNECTICUT              ,FAIRFIELD,"12,127","11,108","24,009",,,,,,
07010,CONNECTICUT              ,HARTFORD,"24,140","20,642","5,849",,,,,,
07020,CONNECTICUT              ,LITCHFIELD,0,0,0,,,,,,
07030,CONNECTICUT              ,MIDDLESEX,"28,799","27,620","2,301",,,,,,
07040,CONNECTICUT              ,NEW HAVEN,"108,667","107,062","21,115",,,,,,
07050,CONNECTICUT              ,NEW LONDON,0,0,0,,,,,,
07060,CONNECTICUT              ,TOLLAND,"2,693","2,693",533,,,,,,
07070,CONNECTICUT              ,WINDHAM,0,0,0,,,,,,
08000,DELAWARE                 ,KENT,"116,565","110,417","18,443",,,,,,
08010,DELAWARE                 ,NEW CASTLE,"165,397","151,961","25,112",,,,,,
08020,DELAWARE                 ,SUSSEX,"33,405","30,304","22,416",,,,,,
09000,DISTRICT OF COLUMBIA     ,DISTRICT OF COLUMBIA,"17,081,269","13,935,846","5,719,621",,,,,,
10000,FLORIDA                  ,ALACHUA,0,0,"5,997",,,,,,
10010,FLORIDA                  ,BAKER,0,0,0,,,,,,
10020,FLORIDA                  ,BAY,0,0,"9,443",,,,,,
10030,FLORIDA                  ,BRADFORD,0,0,0,,,,,,
10040,FLORIDA                  ,BREVARD,"300,462","294,052","83,617",,,,,,
10050,FLORIDA                  ,BROWARD,"360,985","341,378","100,831",,,,,,
10060,FLORIDA                  ,CALHOUN,"2,866","2,464",468,,,,,,
10070,FLORIDA                  ,CHARLOTTE,"84,234","81,489","117,779",,,,,,
10080,FLORIDA                  ,CITRUS,"74,460","74,055","16,542",,,,,,
