AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"290,506","359,533","291,411","208,698","144,380",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"1,365,314","1,334,339","839,711","1,013,967","921,912",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"552,244","506,409","483,309","703,212","551,895",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"2,439,242","2,109,627","1,598,009","1,088,293","648,657",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"542,630","633,572","419,784","428,089","163,931",,,,,,
05550,CALIFORNIA               ,SHASTA,"739,581","718,664","461,781","516,262","282,248",,,,,,
05560,CALIFORNIA               ,SIERRA,"11,665","16,188","11,663","17,531","19,868",,,,,,
05570,CALIFORNIA               ,SISKIYOU,"66,751","62,447","79,562","115,348","109,822",,,,,,
05580,CALIFORNIA               ,SOLANO,"542,214","604,117","362,353","439,549","546,538",,,,,,
05590,CALIFORNIA               ,SONOMA,"1,027,970","942,781","572,681","747,446","996,239",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"847,990","1,128,308","867,447","1,266,924","914,600",,,,,,
05610,CALIFORNIA               ,SUTTER,"50,142","51,839","50,593","320,522","483,096",,,,,,
05620,CALIFORNIA               ,TEHAMA,"261,629","268,318","146,562","170,379","147,244",,,,,,
05630,CALIFORNIA               ,TRINITY,"69,033","85,553","35,077","53,435","34,791",,,,,,
05640,CALIFORNIA               ,TULARE,"514,524","605,838","541,062","995,139","1,579,817",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"434,234","550,445","435,391","600,658","422,051",,,,,,
05660,CALIFORNIA               ,VENTURA,"1,285,642","774,256","1,395,059","1,338,108","1,713,902",,,,,,
05670,CALIFORNIA               ,YOLO,"362,435","450,181","302,610","391,181","466,390",,,,,,
05680,CALIFORNIA               ,YUBA,"47,388","43,080","34,459","213,408","327,766",,,,,,
06000,COLORADO                 ,ADAMS,"-127,438","-122,205","-200,537","-191,280","-171,979",,,,,,
06010,COLORADO                 ,ALAMOSA,"4,459","1,316","-4,557","-9,211","-17,942",,,,,,
06020,COLORADO                 ,ARAPAHOE,"-249,090","-307,590","-424,740","-398,834","-358,149",,,,,,
06030,COLORADO                 ,ARCHULETA,"4,928","3,700","-3,255","-6,481","-14,119",,,,,,
06040,COLORADO                 ,BACA,"-1,449","-1,144","-6,225","-8,850","-9,927",,,,,,
06050,COLORADO                 ,BENT,"2,198","1,246","-2,643","-3,839","-8,855",,,,,,
06060,COLORADO                 ,BOULDER,"-203,816","-181,278","-255,367","-252,361","-294,899",,,,,,
06070,COLORADO                 ,CHAFFEE,"5,763","-4,740","-12,209","-14,463","-6,609",,,,,,
06080,COLORADO                 ,CHEYENNE,"1,724",764,"-3,086","-2,694","-6,393",,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-2,987","-2,507","-4,657","-5,104","-3,720",,,,,,
06100,COLORADO                 ,CONEJOS,"1,226",-996,"-4,643","-6,094","-11,201",,,,,,
06110,COLORADO                 ,COSTILLA,"2,080",156,"-1,714","-3,772","-6,853",,,,,,
06120,COLORADO                 ,CROWLEY,919,397,"-2,001","-2,086","-4,531",,,,,,
06130,COLORADO                 ,CUSTER,467,-768,"-2,997","-2,566","-6,801",,,,,,
06140,COLORADO                 ,DELTA,"8,807","5,224","-33,776","-47,470","-81,809",,,,,,
06150,COLORADO                 ,DENVER,"-255,654","-241,516","-388,269","-381,778","-311,489",,,,,,
06160,COLORADO                 ,DOLORES,"1,051",430,-778,-700,"-2,940",,,,,,
06170,COLORADO                 ,DOUGLAS,"-47,652","-61,026","-80,461","-85,975","-76,469",,,,,,
06180,COLORADO                 ,EAGLE,"-26,257","-32,938","-35,018","-37,081","-31,832",,,,,,
06190,COLORADO                 ,ELBERT,"-5,164","-10,486","-11,756","-12,822","-11,627",,,,,,
06200,COLORADO                 ,EL PASO,"151,017","-244,511","-287,531","-285,960","-231,524",,,,,,
06210,COLORADO                 ,FREMONT,"20,956","2,162","-29,663","-36,995","-69,318",,,,,,
