SNF Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,SNF Wage 2008,SNF Wage 2009,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014
04690,AR,UNION,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04700,AR,VAN BUREN,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04710,AR,WASHINGTON,22220,0.8742,0.8970,0.8775,0.8616,0.9263,0.9288,0.8955
04720,AR,WHITE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04730,AR,WOODRUFF,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04740,AR,YELL,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04999,AR,STATEWIDE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,n/a ,0.7343
05000,CA,ALAMEDA,36084,1.5685,1.6092,1.6404,1.6354,1.6080,1.6654,1.7048
05010,CA,ALPINE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05020,CA,AMADOR,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05030,CA,BUTTE,17020,1.1290,1.0897,1.1198,1.1533,1.1094,1.1197,1.1616
05040,CA,CALAVERAS,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05050,CA,COLUSA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05060,CA,CONTRA COSTA,36084,1.5685,1.6092,1.6404,1.6354,1.6080,1.6654,1.7048
05070,CA,DEL NORTE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05080,CA,EL DORADO,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4752,1.5498
05090,CA,FRESNO,23420,1.0993,1.1009,1.1267,1.1422,1.1281,1.1593,1.1768
05100,CA,GLENN,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05110,CA,HUMBOLDT,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05120,CA,IMPERIAL,20940,0.8914,0.8746,0.8766,0.9258,0.9601,0.8602,0.8848
05130,CA,INYO,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05140,CA,KERN,12540,1.1051,1.1189,1.1232,1.1707,1.1817,1.1611,1.1579
05150,CA,KINGS,25260,1.0499,1.0870,1.1010,1.1205,1.0700,1.0992,1.1124
05160,CA,LAKE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05170,CA,LASSEN,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05200,CA,LOS ANGELES,31084,1.1771,1.2208,1.2039,1.2130,1.2287,1.2293,1.2417
05210,CA,LOS ANGELES,31084,1.1771,1.2208,1.2039,1.2130,1.2287,1.2293,1.2417
05300,CA,MADERA,31460,0.8069,0.7939,0.7958,0.7986,0.8114,0.8050,0.8317
05310,CA,MARIN,41884,1.5195,1.5529,1.5874,1.5733,1.5904,1.6327,1.6743
05320,CA,MARIPOSA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05330,CA,MENDOCINO,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05340,CA,MERCED,32900,1.2120,1.2243,1.2123,1.2359,1.2424,1.2996,1.2734
05350,CA,MODOC,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05360,CA,MONO,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
05370,CA,MONTEREY,41500,1.4775,1.4987,1.5207,1.5686,1.5604,1.6074,1.5820
05380,CA,NAPA,34900,1.4476,1.4520,1.4453,1.4604,1.4511,1.6045,1.5375
05390,CA,NEVADA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2567,1.2788
