"AGED -- PUERTO RICO 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,
40210,PUERTO RICO,COAMO,"1,564","1,327,867",70.75,"1,147,957",61.17,"32,743","94,331","52,835",464,"1,166,404",209.48,0.943,
40220,PUERTO RICO,COMERIO,831,"533,609",53.51,"471,891",47.32,"12,784","37,482","11,450",243,"578,438",198.37,0.988,
40230,PUERTO RICO,COROZAL,"1,388","1,105,377",66.37,"1,024,131",61.49,"11,823","61,966","7,456",429,"865,426",168.11,0.945,
40240,PUERTO RICO,CULEBRA,96,"109,042",94.65,"105,182",91.30,0,"2,819","1,040",59,"135,218",190.99,0.754,
40250,PUERTO RICO,DORADO,"1,070","804,441",62.65,"738,317",57.50,"11,717","47,629","6,776",518,"1,094,010",176.00,0.884,
40260,PUERTO RICO,FAJARDO,"1,595","1,261,723",65.92,"1,151,478",60.16,"24,346","57,405","28,493",679,"1,372,071",168.39,0.969,
40265,PUERTO RICO,FLORIDA,10,0,0.00,0,0.00,0,0,0,2,"2,178",90.75,0.992,
40270,PUERTO RICO,GUANICA,704,"516,540",61.14,"465,842",55.14,"11,542","24,430","14,725",212,"419,496",164.90,0.918,
40280,PUERTO RICO,GUAYAMA,"1,422","1,079,745",63.28,"949,509",55.64,"20,199","92,279","17,756",438,"878,116",167.07,0.901,
40290,PUERTO RICO,GUAYANILLA,904,"678,497",62.55,"573,282",52.85,"30,583","38,684","35,947",277,"716,823",215.65,0.947,
40300,PUERTO RICO,GUAYNABO,"4,872","5,232,879",89.51,"4,930,760",84.34,"93,110","151,046","57,962","3,151","8,664,339",229.14,0.994,
40310,PUERTO RICO,GURABO,"1,303","1,053,280",67.36,"963,776",61.64,"24,511","52,132","12,860",507,"1,163,832",191.29,0.999,
40320,PUERTO RICO,HATILLO,"1,420","1,585,207",93.03,"1,418,824",83.26,"34,495","113,863","18,022",414,"934,705",188.15,0.922,
40330,PUERTO RICO,HORMIGUEROS,"1,116","977,415",72.98,"902,657",67.40,"19,997","23,010","31,751",550,"1,469,965",222.72,0.984,
40340,PUERTO RICO,HUMACAO,"2,548","2,132,344",69.74,"1,910,227",62.47,"35,672","158,951","27,492","1,101","2,563,453",194.02,0.880,
40350,PUERTO RICO,ISABELA,"1,862","1,099,318",49.20,"1,004,489",44.96,"11,366","70,942","12,519",537,"1,235,134",191.67,0.937,
40360,PUERTO RICO,JAYUYA,654,"584,128",74.43,"521,652",66.47,"13,838","24,132","24,503",113,"232,490",171.45,0.832,
40370,PUERTO RICO,JUANA DIAZ,"1,527","1,366,550",74.58,"1,191,395",65.02,"39,904","81,750","53,500",433,"970,854",186.85,0.933,
40380,PUERTO RICO,JUNCOS,"1,407","868,454",51.44,"765,659",45.35,"19,729","68,939","14,126",481,"873,639",151.36,0.935,
40390,PUERTO RICO,LAJAS,"1,117","731,977",54.61,"649,768",48.48,"18,877","35,146","28,185",401,"1,067,457",221.83,0.942,
40400,PUERTO RICO,LARES,"1,678","1,219,262",60.55,"1,128,818",56.06,"5,654","78,465","6,323",407,"755,328",154.65,1.010,
40410,PUERTO RICO,LAS MARIAS,390,"173,984",37.18,"160,197",34.23,"6,249","4,254","9,770",51,"77,490",126.62,0.868,
40420,PUERTO RICO,LAS PIEDRAS,"1,543","1,348,998",72.86,"1,223,243",66.06,"25,593","86,804","13,356",679,"1,517,889",186.29,0.950,
40430,PUERTO RICO,LOIZA,"2,166","1,555,280",59.84,"1,269,518",48.84,"93,788","79,517","112,456",652,"1,243,800",158.97,0.921,
40440,PUERTO RICO,LUQUILLO,210,"119,673",47.49,"108,614",43.10,"3,568","5,804","1,684",42,"164,108",325.61,0.942,
40450,PUERTO RICO,MANATI,"2,127","2,142,524",83.94,"1,962,390",76.88,"40,422","128,231","11,480",699,"1,816,157",216.52,0.945,
40460,PUERTO RICO,MARICAO,182,"104,709",47.94,"92,547",42.38,"1,742","7,746","2,673",29,"70,162",201.61,0.947,
40470,PUERTO RICO,MAUNABO,465,"348,005",62.37,"310,603",55.66,"5,240","27,105","5,056",142,"275,589",161.73,1.039,
40480,PUERTO RICO,MAYAGUEZ,"5,263","5,340,772",84.56,"4,838,574",76.61,"178,975","125,900","197,321","1,975","4,834,052",203.97,0.933,
40490,PUERTO RICO,MOCA,"1,295","1,088,063",70.02,"992,765",63.88,"34,169","35,953","25,175",361,"1,017,724",234.93,0.948,
40500,PUERTO RICO,MOROVIS,936,"684,249",60.92,"586,021",52.17,"22,954","68,518","6,755",190,"472,604",207.28,0.923,
40510,PUERTO RICO,NAGUABO,997,"681,192",56.94,"585,103",48.91,"21,017","52,295","22,775",333,"658,879",164.88,0.946,
40520,PUERTO RICO,NARANJITO,"1,010","637,520",52.60,"597,357",49.29,"5,095","27,200","7,867",275,"623,649",188.98,0.987,
