"DISABLED -- PUERTO RICO 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,
40640,PUERTO RICO              ,SAN JUAN               ,"4,260","3,086,298",60.37,"2,746,538",53.73,"87,592","150,954","101,211","1,377","3,210,691",194.30,1.001,
40650,PUERTO RICO              ,SAN LORENZO            ,604,"231,749",31.97,"215,075",29.67,"1,130","14,221","1,321",206,"363,245",146.94,0.999,
40660,PUERTO RICO              ,SAN SEBASTIAN          ,505,"164,767",27.19,"147,853",24.40,"5,846","3,577","7,490",154,"380,327",205.80,0.962,
40670,PUERTO RICO              ,SANTA ISABEL           ,270,"304,795",94.07,"255,176",78.76,"16,928","21,549","11,141",66,"77,116",97.37,0.951,
40680,PUERTO RICO              ,TOA ALTA               ,816,"427,102",43.62,"378,323",38.64,"13,671","27,444","7,663",241,"372,155",128.68,0.925,
40690,PUERTO RICO              ,TOA BAJA               ,331,"233,210",58.71,"199,100",50.13,"12,225","13,558","8,326",93,"193,351",173.25,0.957,
40700,PUERTO RICO              ,TRUJILLO ALTO          ,548,"166,641",25.34,"157,109",23.89,"1,672","4,827","3,031",171,"335,601",163.55,0.928,
40710,PUERTO RICO              ,UTUADO                 ,331,"216,587",54.53,"203,676",51.28,997,"11,395",517,65,"89,416",114.64,0.931,
40720,PUERTO RICO              ,VEGA ALTA              ,486,"147,167",25.23,"131,653",22.57,"4,493","8,117","2,902",131,"198,738",126.42,0.950,
40730,PUERTO RICO              ,VEGA BAJA              ,914,"478,297",43.61,"419,551",38.25,"19,118","30,071","9,556",283,"534,020",157.25,0.944,
40740,PUERTO RICO              ,VIEQUES                ,384,"232,843",50.53,"204,438",44.37,"7,549","9,292","11,563",110,"223,849",169.58,0.798,
40750,PUERTO RICO              ,VILLALBA               ,399,"228,863",47.80,"200,637",41.90,"6,378","13,447","8,400",93,"144,553",129.53,1.100,
40760,PUERTO RICO              ,YABUCOA                ,854,"323,685",31.59,"283,011",27.62,"7,180","26,974","6,518",214,"272,989",106.30,0.901,
40770,PUERTO RICO              ,YAUCO                  ,595,"493,023",69.05,"417,330",58.45,"19,715","32,291","23,685",160,"341,270",177.74,0.890,
