DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"-12,097","-19,295","-7,749","-9,055","-3,654",,,,,,
04210,ARKANSAS                 ,DREW,"-17,904","-6,864","-6,741","-6,381","-2,817",,,,,,
04220,ARKANSAS                 ,FAULKNER,"-127,669","-65,084","-35,689","-31,736","-28,684",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-18,044","-14,226","-14,759","-1,056","-3,470",,,,,,
04240,ARKANSAS                 ,FULTON,"-17,136","-9,432","-3,945","-2,143","-19,358",,,,,,
04250,ARKANSAS                 ,GARLAND,"-439,081","-389,229","-381,004","-419,772","-318,571",,,,,,
04260,ARKANSAS                 ,GRANT,"-32,916","-25,588","-12,684","-9,370","-10,792",,,,,,
04270,ARKANSAS                 ,GREENE,"-80,863","-62,195","-27,634","-15,932",96,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-21,039","-22,068","-15,905","-11,670","-7,460",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-83,288","-105,743","-100,322","-120,707","-109,940",,,,,,
04300,ARKANSAS                 ,HOWARD,"-20,075","-13,209","-12,053","-7,460","-10,099",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-96,140","-86,650","-19,430","-20,490","-15,591",,,,,,
04320,ARKANSAS                 ,IZARD,"-28,545","-17,736","-9,109","-8,111","-8,618",,,,,,
04330,ARKANSAS                 ,JACKSON,"-44,751","-24,908","-16,241","-15,442","-7,061",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-51,789","-30,442","-21,121","-18,997","-13,653",,,,,,
04350,ARKANSAS                 ,JOHNSON,"-30,357","-19,349","-13,651","-13,911","-3,444",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-13,226","-5,142","-7,004","-4,414","-9,055",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-50,460","-18,166","-20,068","-11,997","-5,299",,,,,,
04380,ARKANSAS                 ,LEE,"-11,566","-7,607","-5,713","-7,540","-6,850",,,,,,
04390,ARKANSAS                 ,LINCOLN,"-8,206","-1,843","-1,847","-1,958","-1,937",,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-19,990","-19,393","-12,055","-7,567","-14,147",,,,,,
04410,ARKANSAS                 ,LOGAN,"-29,809","-23,456","-19,710","-5,698",329,,,,,,
04420,ARKANSAS                 ,LONOKE,"-99,079","-54,805","-32,421","-24,170","-20,319",,,,,,
04430,ARKANSAS                 ,MADISON,"-1,509","-10,241","12,139","11,471","-24,918",,,,,,
04440,ARKANSAS                 ,MARION,"-21,209","-15,942","-8,833","-11,194","-18,724",,,,,,
04450,ARKANSAS                 ,MILLER,"-63,768","-53,366","-38,304","-17,587","-36,533",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-141,631","-112,863","-104,328","-92,944","-67,025",,,,,,
04470,ARKANSAS                 ,MONROE,"-16,043","-8,468","-6,714","-4,832","-2,596",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-28,129","-29,336","-20,291","-30,646","-23,908",,,,,,
04490,ARKANSAS                 ,NEVADA,"-17,436","-13,164","-7,259","-6,306","-6,382",,,,,,
04500,ARKANSAS                 ,NEWTON,"-15,329","-7,436",456,"-2,170","-16,223",,,,,,
04510,ARKANSAS                 ,OUACHITA,"-31,673","-16,989","-18,760","-17,473","-18,896",,,,,,
04520,ARKANSAS                 ,PERRY,"-14,146","-12,069","-11,230","-8,404","-2,635",,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-32,165","-18,216","-14,501","-11,109","-11,462",,,,,,
04540,ARKANSAS                 ,PIKE,"-30,511","-32,076","-30,914","-30,165","-27,713",,,,,,
04550,ARKANSAS                 ,POINSETT,"-62,925","-23,754","-12,135","-3,729","11,839",,,,,,
04560,ARKANSAS                 ,POLK,"-24,648","-31,381","-34,474","-41,882","-18,154",,,,,,
04570,ARKANSAS                 ,POPE,"-97,108","-64,179","-25,276","-18,043","-25,887",,,,,,
04580,ARKANSAS                 ,PRAIRIE,"-28,844","-19,550","-8,592","-4,058","-5,141",,,,,,
04590,ARKANSAS                 ,PULASKI,"-764,695","-402,338","-260,275","-191,562","-159,460",,,,,,
04600,ARKANSAS                 ,RANDOLPH,"-19,520","-13,480","-9,593","-6,043","-2,161",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-48,704","-41,031","-31,630","-26,651","-7,125",,,,,,
04620,ARKANSAS                 ,SALINE,"-120,982","-70,369","-44,060","-28,571","-26,883",,,,,,
04630,ARKANSAS                 ,SCOTT,"-16,740","-13,229","-12,942","-2,176","1,419",,,,,,
04640,ARKANSAS                 ,SEARCY,"-18,413","-10,485","-3,619","-4,829","-12,340",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-174,834","-114,798","-181,928","-30,745","12,394",,,,,,
04660,ARKANSAS                 ,SEVIER,"-14,547","-17,459","-14,713","-6,711","-10,350",,,,,,
04670,ARKANSAS                 ,SHARP,"-53,180","-37,724","-18,125","-11,205","-12,107",,,,,,
04680,ARKANSAS                 ,STONE,"-22,467","-12,609","-5,342","-4,950","-7,599",,,,,,
04690,ARKANSAS                 ,UNION,"-23,526","-11,628","-39,097","-77,050","-51,005",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-21,833","-14,781","-10,881","-6,460","-7,653",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"-11,274","-73,860","95,037","85,204","-191,500",,,,,,
04720,ARKANSAS                 ,WHITE,"-197,496","-133,639","-38,257","-36,234","-41,793",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-27,417","-20,868","-4,584","-6,726","-3,741",,,,,,
04740,ARKANSAS                 ,YELL,"-39,801","-24,262","-13,039","-11,755","-7,617",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"4,195,595","3,251,187","2,125,695","1,958,953","1,555,749",,,,,,
05010,CALIFORNIA               ,ALPINE,0,796,"2,301","7,464","2,101",,,,,,
05020,CALIFORNIA               ,AMADOR,"137,256","134,466","145,037","122,647","164,535",,,,,,
05030,CALIFORNIA               ,BUTTE,"1,025,058","987,674","1,047,699","1,303,522","1,622,800",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"239,576","238,071","136,482","206,920","196,646",,,,,,
05050,CALIFORNIA               ,COLUSA,"71,214","55,844","43,196","56,019","70,311",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"2,366,371","1,843,161","1,434,492","1,687,745","1,739,830",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"47,193","38,811","38,065","43,573","38,271",,,,,,
05080,CALIFORNIA               ,EL DORADO,"638,947","560,357","516,975","720,319","633,417",,,,,,
05090,CALIFORNIA               ,FRESNO,"2,138,899","1,840,128","2,338,705","2,544,967","3,489,587",,,,,,
05100,CALIFORNIA               ,GLENN,"75,762","86,209","90,523","102,271","133,986",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"694,324","540,942","388,644","263,617","165,246",,,,,,
05120,CALIFORNIA               ,IMPERIAL,"312,167","311,323","407,330","488,579","587,513",,,,,,
05130,CALIFORNIA               ,INYO,"27,091","32,058","36,087","33,975","35,588",,,,,,
05140,CALIFORNIA               ,KERN,"2,236,812","1,833,732","2,213,739","1,896,065","1,562,735",,,,,,
05150,CALIFORNIA               ,KINGS,"273,444","324,374","282,670","378,638","480,974",,,,,,
05160,CALIFORNIA               ,LAKE,"406,051","334,732","264,352","174,331","149,115",,,,,,
