"DISABLED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
01430,ALABAMA                  ,MACON                  ,875,"2,780,190",264.78,"2,445,470",232.90,"63,099","258,068","13,551",770,"2,298,919",248.80,0.941,,,,,,
01440,ALABAMA                  ,MADISON                ,"7,412","25,321,753",284.69,"22,690,147",255.11,"545,056","1,925,008","161,541","6,492","34,744,512",445.99,0.943,,,,,,
01450,ALABAMA                  ,MARENGO                ,"1,156","3,160,748",227.85,"2,698,657",194.54,"93,285","332,460","36,344","1,076","3,803,584",294.58,0.945,,,,,,
01460,ALABAMA                  ,MARION                 ,"1,357","4,742,643",291.25,"4,140,402",254.26,"172,646","390,163","39,431","1,258","6,355,250",420.99,0.982,,,,,,
01470,ALABAMA                  ,MARSHALL               ,"4,016","11,721,197",243.22,"10,240,101",212.49,"199,978","1,207,428","73,688","3,670","18,558,190",421.39,0.984,,,,,,
01480,ALABAMA                  ,MOBILE                 ,"10,126","33,102,032",272.42,"28,649,155",235.77,"1,288,992","2,483,150","680,733","8,837","34,647,733",326.73,0.958,,,,,,
01490,ALABAMA                  ,MONROE                 ,"1,037","2,544,059",204.44,"2,308,625",185.52,"35,506","180,789","19,137",946,"4,267,621",375.94,0.920,,,,,,
01500,ALABAMA                  ,MONTGOMERY             ,"5,969","17,664,920",246.62,"15,048,739",210.10,"399,125","2,079,356","137,699","5,083","17,797,203",291.78,0.935,,,,,,
01510,ALABAMA                  ,MORGAN                 ,"4,601","13,950,682",252.67,"12,304,958",222.87,"312,489","1,263,406","69,827","4,161","22,062,338",441.85,0.975,,,,,,
01520,ALABAMA                  ,PERRY                  ,615,"1,684,071",228.19,"1,362,647",184.64,"68,198","231,538","21,686",582,"1,845,341",264.22,1.008,,,,,,
