AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
04380,ARKANSAS                 ,LEE,"9,349","10,334","-31,328","-36,908","2,407",,,,,,
04390,ARKANSAS                 ,LINCOLN,"21,660","22,648","-48,039","-56,880","5,449",,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"21,619","27,876","-59,830","-59,019","6,937",,,,,,
04410,ARKANSAS                 ,LOGAN,"41,529","38,112","-76,851","-87,011","9,223",,,,,,
04420,ARKANSAS                 ,LONOKE,"110,996","116,752","-246,821","-287,796","28,825",,,,,,
04430,ARKANSAS                 ,MADISON,"23,416","23,570","-58,348","-69,242","6,900",,,,,,
04440,ARKANSAS                 ,MARION,"54,705","43,270","-69,682","-92,709","7,627",,,,,,
04450,ARKANSAS                 ,MILLER,"56,747","59,035","-139,438","-149,608","20,444",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"66,096","66,482","-163,402","-181,980","12,803",,,,,,
04470,ARKANSAS                 ,MONROE,"20,471","22,292","-43,761","-47,465","4,144",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"20,402","19,872","-35,425","-41,854","4,604",,,,,,
04490,ARKANSAS                 ,NEVADA,"15,586","18,960","-37,956","-37,861","4,202",,,,,,
04500,ARKANSAS                 ,NEWTON,"14,738","12,003","-24,934","-30,377","2,621",,,,,,
04510,ARKANSAS                 ,OUACHITA,"45,977","51,809","-114,210","-125,140","12,653",,,,,,
04520,ARKANSAS                 ,PERRY,"19,991","21,128","-47,210","-53,231","5,303",,,,,,
04530,ARKANSAS                 ,PHILLIPS,"25,908","28,949","-87,200","-90,214","4,158",,,,,,
04540,ARKANSAS                 ,PIKE,"22,463","22,132","-41,118","-50,203","5,846",,,,,,
04550,ARKANSAS                 ,POINSETT,"44,340","48,486","-114,056","-130,716","12,403",,,,,,
04560,ARKANSAS                 ,POLK,"40,913","39,153","-79,130","-90,626","10,877",,,,,,
04570,ARKANSAS                 ,POPE,"97,801","93,517","-200,298","-246,459","23,149",,,,,,
04580,ARKANSAS                 ,PRAIRIE,"20,981","23,018","-45,848","-51,856","5,453",,,,,,
04590,ARKANSAS                 ,PULASKI,"785,131","800,641","-1,690,682","-2,022,897","176,495",,,,,,
04600,ARKANSAS                 ,RANDOLPH,"31,260","33,224","-65,313","-73,526","6,917",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"26,187","27,520","-87,276","-105,177","6,759",,,,,,
04620,ARKANSAS                 ,SALINE,"153,270","151,886","-306,882","-349,583","30,957",,,,,,
04630,ARKANSAS                 ,SCOTT,"21,189","18,095","-38,708","-44,742","5,407",,,,,,
04640,ARKANSAS                 ,SEARCY,"20,114","18,290","-38,144","-43,013","3,705",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"195,349","181,672","-381,181","-431,254","45,633",,,,,,
04660,ARKANSAS                 ,SEVIER,"21,861","23,293","-52,090","-57,538","6,303",,,,,,
04670,ARKANSAS                 ,SHARP,"67,919","60,803","-119,055","-136,600","12,348",,,,,,
04680,ARKANSAS                 ,STONE,"35,798","36,487","-70,478","-78,723","7,493",,,,,,
04690,ARKANSAS                 ,UNION,"82,448","87,194","-201,328","-246,669","31,665",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"46,580","41,936","-87,077","-97,154","9,000",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"264,273","251,429","-543,157","-647,911","65,324",,,,,,
04720,ARKANSAS                 ,WHITE,"146,399","151,852","-338,036","-395,487","36,639",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"14,419","14,097","-33,525","-45,114","3,629",,,,,,
04740,ARKANSAS                 ,YELL,"45,434","40,828","-87,368","-95,046","9,791",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-2,828,762","-524,561","-496,221","-967,057","217,876",,,,,,
05010,CALIFORNIA               ,ALPINE,"1,045","2,277","1,653",624,338,,,,,,
05020,CALIFORNIA               ,AMADOR,"140,046","170,721","142,905","61,677","13,084",,,,,,
05030,CALIFORNIA               ,BUTTE,"819,304","1,059,833","859,005","375,407","96,562",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"167,519","217,253","171,842","68,231","18,400",,,,,,
05050,CALIFORNIA               ,COLUSA,"51,590","68,924","51,002","20,127","2,122",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-2,339,464","-528,124","-483,501","-871,259","218,002",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"78,983","99,747","63,012","28,869","5,857",,,,,,
05080,CALIFORNIA               ,EL DORADO,"430,481","522,453","427,227","180,816","45,671",,,,,,
05090,CALIFORNIA               ,FRESNO,"1,684,945","2,150,016","1,665,682","742,823","98,605",,,,,,
05100,CALIFORNIA               ,GLENN,"82,923","107,837","82,628","36,141","4,623",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"293,902","395,255","289,842","141,746","30,618",,,,,,
