AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"135,075","181,778","191,486","93,209","58,301",,
02250,ALASKA                   ,UPPER YUKON DIVISION,"19,756","48,677","41,138","41,290","21,997",,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"140,783","118,347","126,644","81,361","74,993",,
02270,ALASKA                   ,WADE HAMPTON,"23,486","26,036","19,824","10,094","9,678",,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"32,131","33,337","29,102","28,171","9,788",,
02290,ALASKA                   ,YUKON-KOYUKUK,"107,625","102,897","99,729","85,975","61,115",,
03000,ARIZONA                  ,APACHE,"219,534","213,233","22,297","26,453","33,096",,
03010,ARIZONA                  ,COCHISE,"-241,827","-432,744","-844,389","-677,104","-938,734",,
03020,ARIZONA                  ,COCONINO,"961,829","671,539","-194,835","-36,132","166,375",,
03030,ARIZONA                  ,GILA,"510,169","427,946","32,398","22,129","-3,792",,
03040,ARIZONA                  ,GRAHAM,"-4,606","-40,228","-120,826","-96,847","-138,397",,
03050,ARIZONA                  ,GREENLEE,"-9,017","-20,491","-35,990","-34,089","-55,730",,
03055,ARIZONA                  ,LA PAZ,"106,724","63,687","9,633","1,741","22,932",,
03060,ARIZONA                  ,MARICOPA,"11,785,666","6,255,729","-1,426,596","-202,877","260,571",,
03070,ARIZONA                  ,MOHAVE,"-1,064,930","234,823","-1,481,172","-1,197,030","-2,454,924",,
03080,ARIZONA                  ,NAVAJO,"531,409","389,234","-42,996","-23,664","16,629",,
03090,ARIZONA                  ,PIMA,"-71,054","-918,818","-3,436,464","-2,374,562","-4,374,986",,
03100,ARIZONA                  ,PINAL,"1,025,202","621,871","-4,082","142,374","155,394",,
03110,ARIZONA                  ,SANTA CRUZ,"-66,888","-81,696","-170,317","-134,655","-157,856",,
03120,ARIZONA                  ,YAVAPAI,"1,254,467","852,069","696,445","-3,633,857","-3,216,981",,
03130,ARIZONA                  ,YUMA,"-677,370","47,563","1,013,566","791,160","-15,833",,
04000,ARKANSAS                 ,ARKANSAS,"-151,319","-99,219","-53,158","-35,037","-22,352",,
04010,ARKANSAS                 ,ASHLEY,"-81,589","-39,102","-47,704","-66,606","-40,835",,
04020,ARKANSAS                 ,BAXTER,"-389,592","-230,638","-279,172","-196,526","-265,899",,
04030,ARKANSAS                 ,BENTON,"-15,196","-304,079","482,855","469,033","-770,302",,
04040,ARKANSAS                 ,BOONE,"-293,421","-241,900","58,978","-125,831","-478,798",,
04050,ARKANSAS                 ,BRADLEY,"-64,811","-42,787","-26,829","-20,978","-16,594",,
04060,ARKANSAS                 ,CALHOUN,"-14,550","-11,940","-14,912","-15,586","-12,870",,
04070,ARKANSAS                 ,CARROLL,"-18,755","-30,129","40,657","15,146","-93,937",,
04080,ARKANSAS                 ,CHICOT,"-46,502","-31,766","-14,477","-35,899","-18,207",,
04090,ARKANSAS                 ,CLARK,"-188,501","-136,526","-121,550","-148,012","-118,867",,
04100,ARKANSAS                 ,CLAY,"-114,711","-70,397","-56,776","-35,254","7,320",,
04110,ARKANSAS                 ,CLEBURNE,"-251,056","-160,079","-59,284","-57,877","-39,226",,
04120,ARKANSAS                 ,CLEVELAND,"-26,308","-15,536","-9,722","-6,471","-6,990",,
04130,ARKANSAS                 ,COLUMBIA,"-131,212","-87,730","-87,640","-88,312","-80,246",,
04140,ARKANSAS                 ,CONWAY,"-120,234","-64,424","-46,045","-37,140","-27,548",,
04150,ARKANSAS                 ,CRAIGHEAD,"-542,017","-69,092","-27,423","40,496","216,373",,
04160,ARKANSAS                 ,CRAWFORD,"-346,129","-234,112","-276,376","-28,356","24,343",,
04170,ARKANSAS                 ,CRITTENDEN,"-327,435","-287,741","-273,375","-261,170","-148,042",,
04180,ARKANSAS                 ,CROSS,"-101,912","-44,476","-46,263","-21,849","-4,369",,
04190,ARKANSAS                 ,DALLAS,"-52,935","-25,717","-24,347","-21,814","-15,715",,
04200,ARKANSAS                 ,DESHA,"-48,649","-31,812","-19,105","-14,494","-11,878",,
04210,ARKANSAS                 ,DREW,"-56,134","-34,443","-22,927","-18,997","-18,990",,
04220,ARKANSAS                 ,FAULKNER,"-528,973","-270,770","-167,929","-130,324","-109,337",,
04230,ARKANSAS                 ,FRANKLIN,"-89,753","-57,913","-73,984","-6,786","4,452",,
04240,ARKANSAS                 ,FULTON,"-65,194","-44,783","-20,635","-11,248","-37,217",,
04250,ARKANSAS                 ,GARLAND,"-2,468,308","-2,276,385","-2,169,690","-2,378,061","-1,869,442",,
04260,ARKANSAS                 ,GRANT,"-148,803","-100,108","-72,359","-60,158","-43,717",,
04270,ARKANSAS                 ,GREENE,"-259,773","-212,875","-116,954","-79,310","19,586",,
04280,ARKANSAS                 ,HEMPSTEAD,"-91,542","-71,258","-65,881","-24,414","-67,303",,
04290,ARKANSAS                 ,HOT SPRING,"-458,397","-452,251","-450,232","-456,440","-406,965",,
04300,ARKANSAS                 ,HOWARD,"-86,591","-78,383","-53,605","-56,321","-64,080",,
04310,ARKANSAS                 ,INDEPENDENCE,"-372,174","-300,371","-69,737","-66,119","-63,524",,
04320,ARKANSAS                 ,IZARD,"-114,629","-66,073","-37,366","-27,257","-39,120",,
04330,ARKANSAS                 ,JACKSON,"-149,292","-77,094","-49,074","-32,863","-11,428",,
04340,ARKANSAS                 ,JEFFERSON,"-148,671","-80,176","-54,104","-60,412","-42,465",,
04350,ARKANSAS                 ,JOHNSON,"-108,085","-77,215","-52,352","-18,814","-11,187",,
04360,ARKANSAS                 ,LAFAYETTE,"-57,343","-58,410","-33,538","-21,328","-29,412",,
04370,ARKANSAS                 ,LAWRENCE,"-149,189","-66,575","-59,871","-19,259","19,279",,
04380,ARKANSAS                 ,LEE,"-41,437","-32,545","-29,855","-27,767","-15,520",,
04390,ARKANSAS                 ,LINCOLN,"-21,630","-12,453","-7,884","-5,073","-5,568",,
04400,ARKANSAS                 ,LITTLE RIVER,"-95,228","-78,315","-58,801","-17,263","-53,164",,
04410,ARKANSAS                 ,LOGAN,"-122,226","-68,756","-81,344","-14,153","10,462",,
04420,ARKANSAS                 ,LONOKE,"-448,610","-236,356","-137,218","-98,088","-81,034",,
04430,ARKANSAS                 ,MADISON,"-1,718","-21,872","60,297","64,172","-93,853",,
04440,ARKANSAS                 ,MARION,"-95,759","-75,567","-67,534","-57,965","-83,777",,
04450,ARKANSAS                 ,MILLER,"-231,613","-198,881","-159,340","-60,927","-150,401",,
04460,ARKANSAS                 ,MISSISSIPPI,"-500,686","-278,866","-271,176","-209,196","-143,754",,
04470,ARKANSAS                 ,MONROE,"-81,625","-55,609","-32,471","-22,484","-11,662",,
04480,ARKANSAS                 ,MONTGOMERY,"-178,500","-199,223","-162,818","-198,271","-151,292",,
04490,ARKANSAS                 ,NEVADA,"-57,675","-36,419","-30,189","-16,488","-24,993",,
04500,ARKANSAS                 ,NEWTON,"-52,528","-43,981","15,207","-19,416","-81,133",,
04510,ARKANSAS                 ,OUACHITA,"-107,833","-51,296","-58,901","-64,795","-48,980",,
04520,ARKANSAS                 ,PERRY,"-67,837","-42,273","-26,050","-18,946","-13,370",,
04530,ARKANSAS                 ,PHILLIPS,"-125,203","-76,204","-62,836","-56,308","-34,819",,
04540,ARKANSAS                 ,PIKE,"-183,684","-184,605","-150,102","-158,225","-145,311",,
04550,ARKANSAS                 ,POINSETT,"-202,444","-10,494","-10,518","30,378","128,744",,
04560,ARKANSAS                 ,POLK,"-161,089","-141,365","-144,308","-140,874","-98,694",,
04570,ARKANSAS                 ,POPE,"-378,810","-260,215","-90,199","-86,763","-72,525",,
04580,ARKANSAS                 ,PRAIRIE,"-101,340","-66,509","-27,836","-19,783","-17,962",,
04590,ARKANSAS                 ,PULASKI,"-2,717,055","-1,415,010","-852,364","-661,421","-516,714",,
04600,ARKANSAS                 ,RANDOLPH,"-96,256","-34,563","-36,149","-11,547","12,632",,
04610,ARKANSAS                 ,ST. FRANCIS,"-134,656","-95,768","-85,773","-84,365","-56,703",,
04620,ARKANSAS                 ,SALINE,"-573,858","-307,417","-190,028","-174,578","-121,221",,
04630,ARKANSAS                 ,SCOTT,"-72,751","-52,197","-44,868","-10,396","-2,818",,
04640,ARKANSAS                 ,SEARCY,"-69,111","-53,895","-7,855","-20,114","-44,891",,
04650,ARKANSAS                 ,SEBASTIAN,"-654,116","-476,298","-640,929","-68,464","59,236",,
04660,ARKANSAS                 ,SEVIER,"-72,933","-53,743","-41,013","-30,637","-52,218",,
04670,ARKANSAS                 ,SHARP,"-222,980","-142,387","-32,608","-24,491","-30,664",,
04680,ARKANSAS                 ,STONE,"-111,029","-82,405","-28,083","-30,708","-26,527",,
04690,ARKANSAS                 ,UNION,"-29,799","-18,583","-146,873","-289,554","-182,450",,
04700,ARKANSAS                 ,VAN BUREN,"-116,545","-49,672","-35,301","-28,152","-14,691",,
04710,ARKANSAS                 ,WASHINGTON,"28,092","-219,569","455,537","427,010","-728,090",,
04720,ARKANSAS                 ,WHITE,"-742,936","-542,898","-134,594","-140,378","-124,687",,
04730,ARKANSAS                 ,WOODRUFF,"-100,593","-69,225","-17,227","-15,204","-15,688",,
04740,ARKANSAS                 ,YELL,"-138,813","-84,388","-44,623","-55,405","-29,363",,
05000,CALIFORNIA               ,ALAMEDA,"17,527,108","13,583,907","8,999,119","7,726,044","6,332,051",,
05010,CALIFORNIA               ,ALPINE,"19,157","14,078","18,193","11,060","11,988",,
05020,CALIFORNIA               ,AMADOR,"918,812","985,493","717,078","574,860","557,303",,
05030,CALIFORNIA               ,BUTTE,"4,729,161","3,937,370","4,743,763","5,420,611","7,133,872",,
05040,CALIFORNIA               ,CALAVERAS,"1,588,580","1,540,237","1,094,145","1,216,192","1,142,948",,
05050,CALIFORNIA               ,COLUSA,"335,926","306,066","295,630","315,362","366,877",,
05060,CALIFORNIA               ,CONTRA COSTA,"11,654,795","8,996,775","6,946,579","7,179,421","8,196,957",,
05070,CALIFORNIA               ,DEL NORTE,"161,615","91,516","159,070","179,736","77,340",,
05080,CALIFORNIA               ,EL DORADO,"4,876,397","4,584,753","3,876,003","3,918,426","3,921,858",,
05090,CALIFORNIA               ,FRESNO,"8,155,071","6,542,582","7,508,649","8,853,840","11,612,269",,
05100,CALIFORNIA               ,GLENN,"448,655","416,129","414,729","438,963","523,701",,
05110,CALIFORNIA               ,HUMBOLDT,"2,310,989","2,006,412","1,200,323","873,070","624,661",,
05120,CALIFORNIA               ,IMPERIAL,"1,929,906","1,604,743","2,197,837","2,524,402","2,931,042",,
05130,CALIFORNIA               ,INYO,"136,747","208,642","197,608","146,389","172,540",,
05140,CALIFORNIA               ,KERN,"5,823,726","4,868,205","5,777,088","5,152,314","4,161,580",,
05150,CALIFORNIA               ,KINGS,"1,401,978","1,093,707","1,427,539","1,543,142","1,934,055",,
05160,CALIFORNIA               ,LAKE,"1,297,225","1,338,137","830,272","413,052","273,359",,
05170,CALIFORNIA               ,LASSEN,"339,647","445,376","471,260","412,799","379,375",,
05200,CALIFORNIA               ,LOS ANGELES,"86,511,936","65,517,457","79,082,182","61,562,995","41,603,398",,
05300,CALIFORNIA               ,MADERA,"1,694,878","1,334,526","1,524,158","1,717,131","2,038,200",,
05310,CALIFORNIA               ,MARIN,"4,834,937","3,109,666","2,285,004","2,773,514","3,066,424",,
05320,CALIFORNIA               ,MARIPOSA,"466,238","367,663","385,606","376,573","336,625",,
05330,CALIFORNIA               ,MENDOCINO,"146,235","-317,363","-340,059","1,008,366","1,124,524",,
05340,CALIFORNIA               ,MERCED,"3,810,416","3,494,569","3,353,702","2,772,092","1,975,446",,
05350,CALIFORNIA               ,MODOC,"207,617","188,416","130,121","165,063","90,792",,
05360,CALIFORNIA               ,MONO,"88,733","86,596","135,957","144,165","127,570",,
05370,CALIFORNIA               ,MONTEREY,"9,529,162","7,816,184","2,916,899","1,274,928","1,064,512",,
05380,CALIFORNIA               ,NAPA,"4,219,459","4,444,861","3,249,983","1,603,851","1,584,894",,
