DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2008,2009,2010,2011,2012,,,,,,,,,,,
02220,ALASKA                   ,SITKA,"6,061",327,140,-465,688,,,,,,,,,,,
02230,ALASKA                   ,SKAGWAY,"5,267",190,307,34,106,,,,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"13,822",280,-58,-322,486,,,,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"4,085",59,20,-2,63,,,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"18,219",248,119,-54,673,,,,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,"2,568",0,83,11,43,,,,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"6,320",593,538,384,434,,,,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"8,474",171,-37,-74,179,,,,,,,,,,,
03000,ARIZONA                  ,APACHE,"5,341","10,921","5,242","1,535","1,398",,,,,,,,,,,
03010,ARIZONA                  ,COCHISE,"15,382","52,392","20,981","10,673","4,900",,,,,,,,,,,
03020,ARIZONA                  ,COCONINO,"10,124","32,427","13,647","6,594","5,084",,,,,,,,,,,
03030,ARIZONA                  ,GILA,"13,423","35,938","18,951","9,176","4,611",,,,,,,,,,,
03040,ARIZONA                  ,GRAHAM,"2,994","11,867","5,314","2,415",892,,,,,,,,,,,
03050,ARIZONA                  ,GREENLEE,682,"2,240",989,447,110,,,,,,,,,,,
03055,ARIZONA                  ,LA PAZ,"4,351","9,483","4,151","1,336",170,,,,,,,,,,,
03060,ARIZONA                  ,MARICOPA,"288,800","925,604","426,663","233,783","149,961",,,,,,,,,,,
03070,ARIZONA                  ,MOHAVE,"42,360","116,712","58,951","23,785","8,510",,,,,,,,,,,
03080,ARIZONA                  ,NAVAJO,"11,076","32,326","16,331","7,578","3,184",,,,,,,,,,,
03090,ARIZONA                  ,PIMA,"78,744","247,650","107,903","52,438","25,647",,,,,,,,,,,
03100,ARIZONA                  ,PINAL,"35,026","112,217","49,567","27,514","15,921",,,,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"2,091","8,321","3,708","1,316",592,,,,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,"37,335","118,725","57,308","28,893","18,439",,,,,,,,,,,
03130,ARIZONA                  ,YUMA,"19,274","58,110","21,305","11,406","7,530",,,,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,"10,689","8,538","-16,256","-20,167","2,172",,,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,"12,260","11,834","-24,414","-30,334","3,818",,,,,,,,,,,
04020,ARKANSAS                 ,BAXTER,"36,165","27,235","-46,564","-53,732","4,929",,,,,,,,,,,
04030,ARKANSAS                 ,BENTON,"38,156","33,524","-70,443","-86,609","9,357",,,,,,,,,,,
04040,ARKANSAS                 ,BOONE,"21,659","18,043","-39,473","-43,762","3,291",,,,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,"6,980","7,447","-13,187","-17,257","1,837",,,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,"2,639","2,596","-4,529","-5,940",769,,,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,"9,316","7,640","-17,012","-22,173","1,575",,,,,,,,,,,
04080,ARKANSAS                 ,CHICOT,"6,208","4,962","-12,444","-12,912",962,,,,,,,,,,,
04090,ARKANSAS                 ,CLARK,"9,053","8,257","-15,868","-19,451","1,907",,,,,,,,,,,
04100,ARKANSAS                 ,CLAY,"8,007","7,296","-14,957","-18,311","1,249",,,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"15,016","14,281","-28,241","-32,851","3,621",,,,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,"4,643","5,043","-11,248","-10,967","1,045",,,,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,"14,434","12,789","-24,065","-27,376","4,922",,,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"12,481","11,678","-25,803","-27,938","2,873",,,,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"48,078","44,259","-91,570","-113,166","10,963",,,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"23,752","20,977","-45,640","-51,611","5,224",,,,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"11,775","10,537","-42,060","-49,252","2,338",,,,,,,,,,,
04180,ARKANSAS                 ,CROSS,"6,093","5,622","-13,954","-16,700","1,437",,,,,,,,,,,
04190,ARKANSAS                 ,DALLAS,"5,120","4,628","-10,157","-14,511","1,161",,,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"6,934","7,535","-14,435","-14,350","1,319",,,,,,,,,,,
04210,ARKANSAS                 ,DREW,"9,925","9,436","-26,259","-25,546","2,338",,,,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"37,241","36,901","-70,747","-86,990","8,935",,,,,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,"6,971","6,059","-11,253","-13,643","1,682",,,,,,,,,,,
04240,ARKANSAS                 ,FULTON,"9,932","7,886","-11,305","-14,480","1,077",,,,,,,,,,,
04250,ARKANSAS                 ,GARLAND,"54,719","45,319","-91,433","-118,127","12,873",,,,,,,,,,,
04260,ARKANSAS                 ,GRANT,"8,596","8,857","-16,306","-20,874","1,642",,,,,,,,,,,
04270,ARKANSAS                 ,GREENE,"22,311","20,204","-40,973","-49,101","5,562",,,,,,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"8,433","5,058","-14,412","-14,058","1,465",,,,,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,"16,597","15,294","-31,139","-40,088","4,196",,,,,,,,,,,
04300,ARKANSAS                 ,HOWARD,"4,861","5,526","-12,040","-11,964","1,609",,,,,,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"24,448","24,060","-50,524","-58,994","5,234",,,,,,,,,,,
04320,ARKANSAS                 ,IZARD,"10,278","7,529","-12,666","-18,040","1,724",,,,,,,,,,,
04330,ARKANSAS                 ,JACKSON,"14,848","13,265","-28,271","-29,974","2,999",,,,,,,,,,,
04340,ARKANSAS                 ,JEFFERSON,"36,171","36,139","-82,386","-91,296","7,888",,,,,,,,,,,
04350,ARKANSAS                 ,JOHNSON,"9,546","8,267","-16,951","-19,857","2,471",,,,,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"2,390","3,695","-6,217","-7,717","1,356",,,,,,,,,,,
04370,ARKANSAS                 ,LAWRENCE,"13,221","11,419","-22,438","-26,852","2,411",,,,,,,,,,,
04380,ARKANSAS                 ,LEE,"3,183","3,154","-7,852","-7,867",659,,,,,,,,,,,
04390,ARKANSAS                 ,LINCOLN,"4,157","3,955","-12,433","-12,095","1,368",,,,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"5,154","3,892","-10,766","-13,395","1,715",,,,,,,,,,,
04410,ARKANSAS                 ,LOGAN,"10,233","8,926","-18,001","-18,899","2,148",,,,,,,,,,,
04420,ARKANSAS                 ,LONOKE,"30,868","28,541","-61,159","-64,795","6,666",,,,,,,,,,,
