DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
04130,ARKANSAS                 ,COLUMBIA,28,-768,158,760,942,,26,-622,385,986,"1,274",
04140,ARKANSAS                 ,CONWAY,-17,-459,275,522,957,,-575,-596,329,808,"1,112",
04150,ARKANSAS                 ,CRAIGHEAD,"4,190","1,385","4,416","5,520","5,136",,"2,399","1,647","5,624","5,551","8,509",
04160,ARKANSAS                 ,CRAWFORD,"-5,480","-1,533","-2,816",-150,-485,,"-14,575","-4,090","-7,992",-233,-839,
04170,ARKANSAS                 ,CRITTENDEN,"-2,897","-2,254","-3,269","-2,709","-2,459",,"-4,815","-5,855","-7,654","-6,638","-5,145",
04180,ARKANSAS                 ,CROSS,-75,-599,47,523,501,,-54,"-1,059",528,"1,555","1,248",
04190,ARKANSAS                 ,DALLAS,12,-299,167,280,552,,9,-307,294,741,699,
04200,ARKANSAS                 ,DESHA,25,-948,312,334,544,,34,"-1,309",802,"1,098","1,375",
04210,ARKANSAS                 ,DREW,21,-699,142,810,754,,-129,-887,227,"1,265","1,860",
04220,ARKANSAS                 ,FAULKNER,"-3,159",-242,"1,883",861,"1,914",,"-3,303",-495,"1,460","1,797","2,421",
04230,ARKANSAS                 ,FRANKLIN,"-1,354",-394,-493,-33,-49,,-985,-842,-709,111,-81,
04240,ARKANSAS                 ,FULTON,30,-341,240,768,813,,25,-779,556,"2,578","2,994",
04250,ARKANSAS                 ,GARLAND,"-18,429","-17,841","-14,852","-19,294","-13,966",,"-22,058","-25,505","-21,032","-21,556","-17,951",
04260,ARKANSAS                 ,GRANT,-889,-214,440,304,239,,-573,-47,699,424,335,
04270,ARKANSAS                 ,GREENE,-133,"-1,064",569,"1,577","2,158",,78,-733,523,"2,131","2,521",
04280,ARKANSAS                 ,HEMPSTEAD,16,"-1,162",-594,703,"1,295",,168,-417,-59,"1,176",605,
04290,ARKANSAS                 ,HOT SPRING,28,"-1,046",-62,971,"1,576",,-152,"-1,302",-244,-438,868,
04300,ARKANSAS                 ,HOWARD,10,-525,150,630,"1,041",,83,-551,79,"1,688","2,060",
04310,ARKANSAS                 ,INDEPENDENCE,27,"-1,216",535,"2,733","2,518",,44,"-2,055",869,"3,024","4,533",
04320,ARKANSAS                 ,IZARD,-52,-558,211,952,"1,643",,14,-324,269,"2,145","2,901",
04330,ARKANSAS                 ,JACKSON,-655,-498,659,"1,718","1,467",,-12,-553,356,788,"1,802",
