AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
04450,ARKANSAS                 ,MILLER,"-27,704","-106,119","-154,780","-352,377","-295,596",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-123,669","-150,495","-200,341","-421,389","-274,184",,,,,,
04470,ARKANSAS                 ,MONROE,"-115,863","-113,360","-125,522","-97,865","-41,082",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-75,856","-62,570","-33,964","-96,320","-61,643",,,,,,
04490,ARKANSAS                 ,NEVADA,"-18,735","-13,173","-22,808","-59,877","-33,074",,,,,,
04500,ARKANSAS                 ,NEWTON,"-62,038","-67,895","-56,489","-81,738","-74,787",,,,,,
04510,ARKANSAS                 ,OUACHITA,"-173,794","-119,867","-160,613","-120,884","-86,006",,,,,,
04520,ARKANSAS                 ,PERRY,"-59,243","-52,636","-61,721","-25,083","-44,218",,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-173,099","-73,044","-110,045","-48,278","9,737",,,,,,
04540,ARKANSAS                 ,PIKE,"-78,195","-79,878","-32,926","-113,086","-72,259",,,,,,
04550,ARKANSAS                 ,POINSETT,"-306,269","-376,663","-353,906","-313,484","-224,357",,,,,,
04560,ARKANSAS                 ,POLK,"-47,020","15,418","-20,025","-68,236","-15,134",,,,,,
04570,ARKANSAS                 ,POPE,"-701,246","-681,119","-689,278","-532,757","-539,803",,,,,,
04580,ARKANSAS                 ,PRAIRIE,"-134,400","-118,108","-115,836","-73,252","-100,537",,,,,,
04590,ARKANSAS                 ,PULASKI,"-1,189,747","-1,144,576","-1,208,223","-998,196","-783,237",,,,,,
04600,ARKANSAS                 ,RANDOLPH,"-172,357","-232,052","-226,653","-275,734","-177,881",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,-570,"63,113","82,478","119,868","163,928",,,,,,
04620,ARKANSAS                 ,SALINE,"-246,116","-166,243","-238,699","-277,871","-294,595",,,,,,
04630,ARKANSAS                 ,SCOTT,"-24,765","-42,496","-60,400","-18,776","-63,906",,,,,,
04640,ARKANSAS                 ,SEARCY,"-49,733","-68,116","-52,717","-52,784","-75,388",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"36,986","-278,232","-518,602","-254,296","-64,220",,,,,,
04660,ARKANSAS                 ,SEVIER,"-36,288","-20,828","-60,694","-114,760","-97,692",,,,,,
04670,ARKANSAS                 ,SHARP,"-415,572","-340,354","-412,672","-456,960","-363,346",,,,,,
04680,ARKANSAS                 ,STONE,"-183,760","-173,133","-153,710","-170,817","-133,253",,,,,,
04690,ARKANSAS                 ,UNION,"-53,015","-83,710","-105,615","-191,939","-139,257",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-105,786","-64,936","-121,694","-98,235","-107,580",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"85,836","12,730","-107,206","-11,810","-18,626",,,,,,
04720,ARKANSAS                 ,WHITE,"-927,642","-972,833","-875,292","-763,230","-998,893",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-120,541","-133,270","-106,519","-65,344","-99,719",,,,,,
04740,ARKANSAS                 ,YELL,"-273,237","-231,941","-230,565","-298,861","-233,978",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-12,527,072","-15,078,398","-14,101,394","-14,239,603","-12,787,006",,,,,,
05010,CALIFORNIA               ,ALPINE,"-1,120","-4,055",-170,"-4,425","-1,443",,,,,,
05020,CALIFORNIA               ,AMADOR,"-334,901","-482,046","-655,814","-697,733","-886,396",,,,,,
05030,CALIFORNIA               ,BUTTE,"-3,215,452","-3,750,510","-4,349,795","-4,164,595","-5,353,963",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"-656,700","-684,649","-589,808","-682,714","-791,305",,,,,,
05050,CALIFORNIA               ,COLUSA,"-163,182","-236,671","-258,265","-204,067","-223,735",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-4,174,488","-5,082,676","-4,757,172","-4,601,933","-5,091,496",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"-133,627","-175,774","-246,885","-221,319","-174,649",,,,,,
05080,CALIFORNIA               ,EL DORADO,"-619,757","-707,263","-1,059,082","-1,203,216","-1,759,884",,,,,,
05090,CALIFORNIA               ,FRESNO,"-5,298,488","-6,153,142","-6,138,716","-6,540,850","-6,194,104",,,,,,
05100,CALIFORNIA               ,GLENN,"-128,458","-239,326","-310,226","-252,669","-316,063",,,,,,
