AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
04710,ARKANSAS                 ,WASHINGTON,0,0,0,0,0,
04720,ARKANSAS                 ,WHITE,"-5,202","-2,510","-3,769","-4,180","-4,890",
04730,ARKANSAS                 ,WOODRUFF,0,0,0,0,0,
04740,ARKANSAS                 ,YELL,-34,0,0,0,0,
05000,CALIFORNIA               ,ALAMEDA,"-4,358,129","-3,309,104","-3,443,194","-3,512,933","-3,506,275",
05010,CALIFORNIA               ,ALPINE,0,0,0,0,0,
05020,CALIFORNIA               ,AMADOR,"-4,180","-2,248","-3,013","-4,229","-2,237",
05030,CALIFORNIA               ,BUTTE,0,0,0,0,0,
05040,CALIFORNIA               ,CALAVERAS,0,-618,0,-99,-244,
05050,CALIFORNIA               ,COLUSA,0,0,0,0,0,
05060,CALIFORNIA               ,CONTRA COSTA,"-2,830,561","-2,231,394","-2,364,317","-2,443,259","-2,374,413",
05070,CALIFORNIA               ,DEL NORTE,0,0,0,0,0,
05080,CALIFORNIA               ,EL DORADO,"-1,141,573","-805,503","-834,310","-870,190","-806,886",
05090,CALIFORNIA               ,FRESNO,"-5,358,525","-3,970,168","-4,231,403","-4,486,606","-4,189,809",
05100,CALIFORNIA               ,GLENN,0,0,0,0,0,
05110,CALIFORNIA               ,HUMBOLDT,0,0,0,0,0,
05120,CALIFORNIA               ,IMPERIAL,0,0,0,0,0,
05130,CALIFORNIA               ,INYO,0,0,0,0,0,
05140,CALIFORNIA               ,KERN,"-3,919,437","-2,831,623","-2,962,455","-3,389,988","-3,172,285",
05150,CALIFORNIA               ,KINGS,"-8,917","-3,227","-7,247","-6,670","-8,460",
05160,CALIFORNIA               ,LAKE,0,0,0,0,0,
05170,CALIFORNIA               ,LASSEN,0,0,0,0,0,
05200,CALIFORNIA               ,LOS ANGELES,"-38,866,564","-31,035,606","-29,883,820","-30,553,113","-28,143,627",
05300,CALIFORNIA               ,MADERA,"-9,119","-7,018","-7,735","-6,493","-5,994",
05310,CALIFORNIA               ,MARIN,"-771,852","-596,962","-600,398","-649,145","-663,668",
05320,CALIFORNIA               ,MARIPOSA,0,0,0,0,0,
05330,CALIFORNIA               ,MENDOCINO,0,0,0,0,0,
05340,CALIFORNIA               ,MERCED,0,0,0,0,0,
05350,CALIFORNIA               ,MODOC,0,0,0,0,0,
05360,CALIFORNIA               ,MONO,0,0,0,0,0,
05370,CALIFORNIA               ,MONTEREY,0,0,0,0,0,
05380,CALIFORNIA               ,NAPA,0,0,0,0,0,
05390,CALIFORNIA               ,NEVADA,"-28,851","-20,897","-27,031","-26,689","-29,103",
05400,CALIFORNIA               ,ORANGE,"-10,259,989","-8,621,867","-8,727,624","-8,964,322","-8,633,613",
05410,CALIFORNIA               ,PLACER,"-1,125,794","-837,966","-915,420","-999,980","-1,024,289",
05420,CALIFORNIA               ,PLUMAS,0,0,0,0,0,
