"ESRD -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,,,,,,,
01560,ALABAMA                  ,RUSSELL                ,127,"2,316,899","1,520.27",1995846,"1,309.61","36,564","267,617","16,872",123,"4,740,466","3,211.70",,,,,,,
01570,ALABAMA                  ,ST  CLAIR              ,81,"1,102,243","1,133.99",917257,943.68,"66,526","87,116","31,344",79,"2,686,248","2,833.59",,,,,,,
01580,ALABAMA                  ,SHELBY                 ,97,"1,593,446","1,368.94",1404234,"1,206.39","59,928","108,905","20,379",90,"2,995,258","2,773.39",,,,,,,
01590,ALABAMA                  ,SUMTER                 ,33,"743,870","1,878.46",654790,"1,653.51","22,102","62,834","4,144",31,"1,177,572","3,165.52",,,,,,,
01600,ALABAMA                  ,TALLADEGA              ,194,"4,367,239","1,875.96",3792854,"1,629.23","103,253","431,756","39,376",190,"7,386,359","3,239.63",,,,,,,
01610,ALABAMA                  ,TALLAPOOSA             ,82,"1,510,573","1,535.14",1339556,"1,361.34","27,194","135,520","8,303",81,"3,462,902","3,562.66",,,,,,,
01620,ALABAMA                  ,TUSCALOOSA             ,329,"7,254,580","1,837.53",6122644,"1,550.82","284,440","765,660","81,836",317,"12,086,286","3,177.26",,,,,,,
01630,ALABAMA                  ,WALKER                 ,82,"1,474,108","1,498.08",1215900.52,"1,235.67","98,997","122,997","36,214",80,"2,935,593","3,057.91",,,,,,,
01640,ALABAMA                  ,WASHINGTON             ,31,"565,962","1,521.40",516589,"1,388.68","11,341","33,320","4,712",30,"1,154,190","3,206.08",,,,,,,
01650,ALABAMA                  ,WILCOX                 ,42,"824,756","1,636.42",650226,"1,290.13","27,147","138,036","9,347",41,"1,373,213","2,791.08",,,,,,,
01660,ALABAMA                  ,WINSTON                ,32,"405,509","1,056.01",370812,965.66,"7,456","22,586","4,655",30,"1,259,227","3,497.85",,,,,,,
02010,ALASKA                   ,ALEUTIAN ISLANDS       ,1,"123,624","10,302.00",104854,"8,737.83","2,402","16,154",214,1,"85,446","7,120.50",,,,,,,
02020,ALASKA                   ,ANCHORAGE              ,348,"7,701,555","1,844.24",6629507,"1,587.53","188,436","843,921","39,691",317,"13,198,800","3,469.72",,,,,,,
02040,ALASKA                   ,BARROW-NORTH SLOPE     ,1,0,0.00,0,0.00,0,0,0,1,"1,500",125.00,,,,,,,
02050,ALASKA                   ,BETHEL                 ,3,"55,763","1,548.97",49330,"1,370.28",565,"5,761",107,3,"92,632","2,573.11",,,,,,,
02060,ALASKA                   ,BRISTOL BAY            ,4,"51,918","1,081.63",47553,990.69,0,"4,365",0,3,"110,088","3,058.00",,,,,,,
02070,ALASKA                   ,DILLINGHAM             ,3,"94,352","2,620.89",87025,"2,417.36","3,370","3,456",501,2,"120,054","5,002.25",,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,1,0,0.00,-1686,-140.50,324,"1,112",250,1,916,76.33,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,51,"814,211","1,330.41",720931,"1,177.99","20,189","67,441","5,650",49,"1,932,907","3,287.26",,,,,,,
02100,ALASKA                   ,HAINES                 ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,,,,,,,
02110,ALASKA                   ,JUNEAU                 ,21,"765,621","3,038.18",694812,"2,757.19","17,688","49,595","3,526",20,"1,092,256","4,551.07",,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET       ,36,"669,054","1,548.74",591716,"1,369.71","11,973","63,146","2,219",36,"1,388,531","3,214.19",,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,8,"314,677","3,277.89",293462,"3,056.90","1,822","18,561",832,8,"352,823","3,675.24",,,,,,,
02140,ALASKA                   ,KOBUK                  ,1,"662,088","55,174.00",628659,"52,388.25","3,842","29,480",107,1,"102,255","8,521.25",,,,,,,
02150,ALASKA                   ,KODIAK ISLAND          ,9,"350,974","3,249.76",326016,"3,018.67","10,551","12,212","2,195",9,"345,539","3,199.44",,,,,,,
02160,ALASKA                   ,KUSKOKWIN              ,1,0,0.00,0,0.00,0,0,0,1,"8,778",731.50,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,42,"813,780","1,614.64",688678,"1,366.42","18,549","102,350","4,203",40,"1,507,958","3,141.58",,,,,,,
02180,ALASKA                   ,NOME                   ,1,"133,204","11,100.33",111751,"9,312.58","8,725","11,726","1,002",1,"78,976","6,581.33",,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN        ,1,0,0.00,0,0.00,0,0,0,1,11,0.92,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES        ,1,"39,442","3,286.83",31569,"2,630.75",0,"7,873",0,1,"8,026",668.83,,,,,,,
02210,ALASKA                   ,SEWARD                 ,3,"61,414","1,705.94",58989,"1,638.58",320,"1,998",107,3,"68,992","1,916.44",,,,,,,
02220,ALASKA                   ,SITKA                  ,1,0,0.00,0,0.00,0,0,0,1,"28,359","2,363.25",,,,,,,
02230,ALASKA                   ,SKAGWAY-YAKUTAT        ,1,"27,627","2,302.25",27627,"2,302.25",0,0,0,1,"53,044","4,420.33",,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,3,"110,680","3,074.44",97853,"2,718.14","1,339","11,167",321,3,"140,596","3,905.44",,,,,,,
02250,ALASKA                   ,UPPER YUKON            ,1,"146,195","12,182.92",137439,"11,453.25","7,351",403,"1,002",1,"75,338","6,278.17",,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,4,"47,423",987.98,43107,898.06,545,"3,664",107,4,"156,221","3,254.60",,,,,,,
02270,ALASKA                   ,WADE HAMPTON           ,1,0,0.00,0,0.00,0,0,0,1,"57,734","4,811.17",,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG    ,3,0,0.00,-1376,-38.22,875,0,501,2,"17,631",734.63,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK          ,1,"21,956","1,829.67",17457,"1,454.75",988,"3,261",250,1,"34,677","2,889.75",,,,,,,
03000,ARIZONA                  ,APACHE                 ,195,"4,992,425","2,133.51",4314396,"1,843.76","77,823","570,151","30,055",178,"7,242,473","3,390.67",,,,,,,
03010,ARIZONA                  ,COCHISE                ,138,"3,799,763","2,294.54",3108490.94,"1,877.11","199,535","421,638","70,099",135,"4,916,369","3,034.80",,,,,,,
03020,ARIZONA                  ,COCONINO               ,173,"4,179,473","2,013.23",3631625,"1,749.34","28,031","508,155","11,662",162,"6,533,008","3,360.60",,,,,,,
03030,ARIZONA                  ,GILA                   ,119,"3,100,905","2,171.50",2719081,"1,904.12","72,308","275,412","34,104",113,"4,865,327","3,588.00",,,,,,,
03040,ARIZONA                  ,GRAHAM                 ,50,"577,644",962.74,490219,817.03,"15,177","65,771","6,477",46,"1,490,972","2,701.04",,,,,,,
03050,ARIZONA                  ,GREENLEE               ,9,"402,726","3,728.94",314237,"2,909.60","25,776","53,803","8,910",9,"241,184","2,233.19",,,,,,,
03055,ARIZONA                  ,LA PAZ                 ,46,"1,800,529","3,261.83",1588531,"2,877.77","30,590","168,252","13,156",41,"1,927,161","3,916.99",,,,,,,
03060,ARIZONA                  ,MARICOPA               ,3303,"81,839,887","2,064.79",69077791.8,"1,742.80","2,064,736","9,543,197","1,154,161",3082,"115,145,066","3,113.38",,,,,,,
03070,ARIZONA                  ,MOHAVE                 ,315,"8,828,222","2,335.51",7804782,"2,064.76","206,853","743,935","72,652",302,"11,741,172","3,239.84",,,,,,,
03080,ARIZONA                  ,NAVAJO                 ,248,"5,189,931","1,743.93",4484000,"1,506.72","84,939","590,136","30,856",239,"9,481,690","3,306.03",,,,,,,
03090,ARIZONA                  ,PIMA                   ,997,"18,558,356","1,551.18",14851006,"1,241.31","1,066,823","2,269,968","370,559",928,"32,201,800","2,891.68",,,,,,,
03100,ARIZONA                  ,PINAL                  ,507,"12,678,417","2,083.89",11001506,"1,808.27","179,484","1,424,273","73,154",476,"19,126,826","3,348.53",,,,,,,
03110,ARIZONA                  ,SANTA CRUZ             ,49,"1,458,287","2,480.08",1159862,"1,972.55","84,253","182,663","31,509",46,"1,801,333","3,263.28",,,,,,,
03120,ARIZONA                  ,YAVAPAI                ,198,"3,415,637","1,437.56",3171319,"1,334.73","48,466","170,678","25,174",187,"6,737,861","3,002.61",,,,,,,
03130,ARIZONA                  ,YUMA                   ,211,"4,062,741","1,604.56",3655976,"1,443.91","68,716","323,269","14,780",204,"7,256,294","2,964.17",,,,,,,
04000,ARKANSAS                 ,ARKANSAS               ,39,"560,847","1,198.39",481223,"1,028.25","17,886","55,615","6,123",34,"1,116,847","2,737.37",,,,,,,
04010,ARKANSAS                 ,ASHLEY                 ,52,"1,052,675","1,686.98",921411,"1,476.62","16,744","108,371","6,149",52,"1,867,481","2,992.76",,,,,,,
04020,ARKANSAS                 ,BAXTER                 ,49,"1,383,978","2,353.70",1298295,"2,207.98","16,523","61,838","7,322",49,"1,782,307","3,031.13",,,,,,,
04030,ARKANSAS                 ,BENTON                 ,167,"3,430,063","1,711.61",3153379,"1,573.54","49,263","209,883","17,538",161,"4,975,985","2,575.56",,,,,,,
04040,ARKANSAS                 ,BOONE                  ,50,"984,322","1,640.54",830336,"1,383.89","41,564","92,808","19,614",47,"1,450,612","2,572.01",,,,,,,
04050,ARKANSAS                 ,BRADLEY                ,30,"425,836","1,182.88",368536,"1,023.71","16,978","33,899","6,423",30,"1,035,832","2,877.31",,,,,,,
04060,ARKANSAS                 ,CALHOUN                ,9,"309,726","2,867.83",275111,"2,547.32","5,067","27,405","2,143",8,"284,999","2,968.74",,,,,,,
04070,ARKANSAS                 ,CARROLL                ,10,"238,855","1,990.46",225338,"1,877.82","2,377","10,314",826,9,"312,069","2,889.53",,,,,,,
04080,ARKANSAS                 ,CHICOT                 ,21,"654,957","2,599.04",516265,"2,048.67","4,885","131,709","2,098",21,"850,495","3,374.98",,,,,,,
04090,ARKANSAS                 ,CLARK                  ,51,"1,011,930","1,653.48",913302,"1,492.32","14,806","78,043","5,779",49,"1,553,628","2,642.22",,,,,,,
04100,ARKANSAS                 ,CLAY                   ,18,"427,128","1,977.44",410816,"1,901.93","1,015","14,660",637,18,"596,255","2,760.44",,,,,,,
04110,ARKANSAS                 ,CLEBURNE               ,16,"407,335","2,121.54",370566,"1,930.03","2,478","33,181","1,110",16,"471,764","2,457.10",,,,,,,
04120,ARKANSAS                 ,CLEVELAND              ,10,"449,156","3,742.97",393368,"3,278.07","9,566","39,792","6,430",10,"400,716","3,339.30",,,,,,,
04130,ARKANSAS                 ,COLUMBIA               ,38,"677,927","1,486.68",614395,"1,347.36","6,182","54,774","2,576",38,"1,137,050","2,493.53",,,,,,,
04140,ARKANSAS                 ,CONWAY                 ,22,"222,754",843.77,210433,797.09,"1,244","10,755",322,22,"761,315","2,883.77",,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD              ,116,"1,494,577","1,073.69",1317524,946.50,"28,982","135,218","12,853",111,"3,735,278","2,804.26",,,,,,,
04160,ARKANSAS                 ,CRAWFORD               ,45,"983,824","1,821.90",888404,"1,645.19","9,344","85,687",389,43,"1,433,837","2,778.75",,,,,,,
04170,ARKANSAS                 ,CRITTENDEN             ,156,"3,618,037","1,932.71",2967919,"1,585.43","126,650","495,052","28,416",154,"6,525,079","3,530.89",,,,,,,
04180,ARKANSAS                 ,CROSS                  ,26,"527,725","1,691.43",446991,"1,432.66","13,660","60,857","6,217",26,"1,077,144","3,452.38",,,,,,,
04190,ARKANSAS                 ,DALLAS                 ,17,"307,968","1,509.65",262760,"1,288.04","7,073","34,123","4,012",16,"511,834","2,665.80",,,,,,,
04200,ARKANSAS                 ,DESHA                  ,31,"618,855","1,663.59",510836,"1,373.22","21,539","74,305","12,175",31,"1,129,761","3,036.99",,,,,,,
04210,ARKANSAS                 ,DREW                   ,27,"395,602","1,220.99",306730,946.70,"15,330","65,911","7,631",27,"994,916","3,070.73",,,,,,,
04220,ARKANSAS                 ,FAULKNER               ,108,"1,156,572",892.42,1064933,821.71,"9,462","77,182","4,995",105,"3,069,031","2,435.74",,,,,,,
04230,ARKANSAS                 ,FRANKLIN               ,14,"567,544","3,378.24",518017,"3,083.43","7,849","38,792","2,886",13,"547,387","3,508.89",,,,,,,
04240,ARKANSAS                 ,FULTON                 ,10,"141,064","1,175.53",133644,"1,113.70",45,"7,360",15,10,"337,416","2,811.80",,,,,,,
04250,ARKANSAS                 ,GARLAND                ,137,"2,811,181","1,709.96",2553825,"1,553.42","20,738","225,546","11,072",136,"4,828,318","2,958.53",,,,,,,
04260,ARKANSAS                 ,GRANT                  ,13,"183,634","1,177.14",168959,"1,083.07",510,"13,617",548,13,"496,677","3,183.83",,,,,,,
04270,ARKANSAS                 ,GREENE                 ,43,"888,138","1,721.20",766450,"1,485.37","21,949","93,011","6,728",42,"1,442,221","2,861.55",,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD              ,45,"991,092","1,835.36",896937,"1,660.99","7,301","84,082","2,772",43,"1,114,238","2,159.38",,,,,,,
04290,ARKANSAS                 ,HOT SPRING             ,39,"992,907","2,121.60",916566,"1,958.47","6,984","66,627","2,730",38,"1,299,694","2,850.21",,,,,,,
04300,ARKANSAS                 ,HOWARD                 ,21,"371,552","1,474.41",321605,"1,276.21","13,197","30,679","6,071",19,"571,874","2,508.22",,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE           ,40,"975,312","2,031.90",826914,"1,722.74","17,378","123,902","7,118",39,"1,440,385","3,077.75",,,,,,,
04320,ARKANSAS                 ,IZARD                  ,9,"204,966","1,897.83",188811,"1,748.25",103,"16,004",48,9,"181,665","1,682.08",,,,,,,
04330,ARKANSAS                 ,JACKSON                ,21,"339,715","1,348.08",281935,"1,118.79","2,393","54,170","1,217",19,"800,570","3,511.27",,,,,,,
04340,ARKANSAS                 ,JEFFERSON              ,166,"3,085,928","1,549.16",2610208,"1,310.35","97,512","323,720","54,488",158,"6,058,190","3,195.25",,,,,,,
04350,ARKANSAS                 ,JOHNSON                ,31,"866,616","2,329.61",798810,"2,147.34","1,863","65,893",50,30,"829,665","2,304.63",,,,,,,
