DISABLED -- 2010  REIMBURSEMENT FOR COST CONTRACTS,,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,0,0,0.00,,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,0,0,963.38,,,,,,,,,
03130,ARIZONA                  ,YUMA,0,0,"2,895.65",,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,0,0,0.00,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,0,0,0.00,,,,,,,,,
04020,ARKANSAS                 ,BAXTER,0,0,"23,959.66",,,,,,,,,
04030,ARKANSAS                 ,BENTON,0,0,293.16,,,,,,,,,
04040,ARKANSAS                 ,BOONE,0,0,0.00,,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,0,0,0.00,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,0,0,0.00,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,0,0,0.00,,,,,,,,,
04080,ARKANSAS                 ,CHICOT,0,0,0.00,,,,,,,,,
04090,ARKANSAS                 ,CLARK,0,0,287.27,,,,,,,,,
04100,ARKANSAS                 ,CLAY,0,0,0.00,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,0,0,522.22,,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,0,0,0.00,,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,0,0,0.00,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"35,806","35,806","8,294.45",,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,0,0,347.38,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,0,0,"1,932.79",,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"4,276","3,368","8,041.57",,,,,,,,,
04180,ARKANSAS                 ,CROSS,0,0,0.00,,,,,,,,,
04190,ARKANSAS                 ,DALLAS,0,0,0.00,,,,,,,,,
04200,ARKANSAS                 ,DESHA,0,0,"1,182.94",,,,,,,,,
04210,ARKANSAS                 ,DREW,0,0,0.00,,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"26,463","25,241","32,068.48",,,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,0,0,255.69,,,,,,,,,
04240,ARKANSAS                 ,FULTON,0,0,0.00,,,,,,,,,
04250,ARKANSAS                 ,GARLAND,0,0,627.67,,,,,,,,,
04260,ARKANSAS                 ,GRANT,0,0,"1,477.14",,,,,,,,,
04270,ARKANSAS                 ,GREENE,0,0,"2,273.68",,,,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,0,0,0.00,,,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,0,0,"1,845.58",,,,,,,,,
04300,ARKANSAS                 ,HOWARD,0,0,0.00,,,,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,0,0,"6,526.31",,,,,,,,,
04320,ARKANSAS                 ,IZARD,0,0,0.00,,,,,,,,,
04330,ARKANSAS                 ,JACKSON,0,0,0.00,,,,,,,,,
04340,ARKANSAS                 ,JEFFERSON,0,0,"10,942.02",,,,,,,,,
04350,ARKANSAS                 ,JOHNSON,"9,251","7,777","8,526.95",,,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,0,0,0.00,,,,,,,,,
04370,ARKANSAS                 ,LAWRENCE,0,0,"1,261.47",,,,,,,,,
04380,ARKANSAS                 ,LEE,0,0,0.00,,,,,,,,,
04390,ARKANSAS                 ,LINCOLN,0,0,0.00,,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,0,0,0.00,,,,,,,,,
04410,ARKANSAS                 ,LOGAN,0,0,0.00,,,,,,,,,
04420,ARKANSAS                 ,LONOKE,"8,116","7,452","19,398.30",,,,,,,,,
04430,ARKANSAS                 ,MADISON,0,0,0.00,,,,,,,,,
04440,ARKANSAS                 ,MARION,0,0,0.00,,,,,,,,,
04450,ARKANSAS                 ,MILLER,0,0,668.14,,,,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"5,707","5,408","3,304.86",,,,,,,,,
04470,ARKANSAS                 ,MONROE,"10,060","8,992","2,299.57",,,,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,0,0,0.00,,,,,,,,,
04490,ARKANSAS                 ,NEVADA,0,0,0.00,,,,,,,,,
04500,ARKANSAS                 ,NEWTON,0,0,0.00,,,,,,,,,
04510,ARKANSAS                 ,OUACHITA,0,0,0.00,,,,,,,,,
04520,ARKANSAS                 ,PERRY,0,0,"16,014.88",,,,,,,,,
04530,ARKANSAS                 ,PHILLIPS,0,0,"1,503.09",,,,,,,,,
04540,ARKANSAS                 ,PIKE,0,0,0.00,,,,,,,,,
04550,ARKANSAS                 ,POINSETT,0,0,0.00,,,,,,,,,
04560,ARKANSAS                 ,POLK,0,0,27.96,,,,,,,,,
04570,ARKANSAS                 ,POPE,"38,683","38,683","20,384.06",,,,,,,,,
04580,ARKANSAS                 ,PRAIRIE,0,0,0.00,,,,,,,,,
04590,ARKANSAS                 ,PULASKI,"128,551","114,089","210,230.49",,,,,,,,,
04600,ARKANSAS                 ,RANDOLPH,0,0,0.00,,,,,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,0,0,0.00,,,,,,,,,
04620,ARKANSAS                 ,SALINE,"10,975","9,828","26,645.99",,,,,,,,,
04630,ARKANSAS                 ,SCOTT,0,0,0.00,,,,,,,,,
04640,ARKANSAS                 ,SEARCY,0,0,0.00,,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,0,0,"6,167.89",,,,,,,,,
04660,ARKANSAS                 ,SEVIER,0,0,0.00,,,,,,,,,
04670,ARKANSAS                 ,SHARP,0,0,0.00,,,,,,,,,
04680,ARKANSAS                 ,STONE,0,0,0.00,,,,,,,,,
04690,ARKANSAS                 ,UNION,0,0,"4,358.97",,,,,,,,,
04700,ARKANSAS                 ,VAN BUREN,0,0,0.00,,,,,,,,,
04710,ARKANSAS                 ,WASHINGTON,0,0,"1,949.79",,,,,,,,,
04720,ARKANSAS                 ,WHITE,"25,555","22,591","33,738.63",,,,,,,,,
04730,ARKANSAS                 ,WOODRUFF,0,0,0.00,,,,,,,,,
04740,ARKANSAS                 ,YELL,0,0,0.00,,,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"3,682",-393,"4,532.46",,,,,,,,,
05010,CALIFORNIA               ,ALPINE,0,0,0.00,,,,,,,,,
05020,CALIFORNIA               ,AMADOR,0,0,0.00,,,,,,,,,
05030,CALIFORNIA               ,BUTTE,0,0,"8,784.95",,,,,,,,,
05040,CALIFORNIA               ,CALAVERAS,0,0,0.00,,,,,,,,,
05050,CALIFORNIA               ,COLUSA,0,0,0.00,,,,,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"405,922","336,883","107,818.45",,,,,,,,,
05070,CALIFORNIA               ,DEL NORTE,0,0,0.00,,,,,,,,,
05080,CALIFORNIA               ,EL DORADO,0,0,99.87,,,,,,,,,
05090,CALIFORNIA               ,FRESNO,"9,085","8,552","5,301.78",,,,,,,,,
05100,CALIFORNIA               ,GLENN,0,0,0.00,,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,0,0,3.22,,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,0,0,0.00,,,,,,,,,
05130,CALIFORNIA               ,INYO,0,0,0.00,,,,,,,,,
05140,CALIFORNIA               ,KERN,0,0,"6,542.87",,,,,,,,,
05150,CALIFORNIA               ,KINGS,0,0,0.00,,,,,,,,,
05160,CALIFORNIA               ,LAKE,0,0,0.00,,,,,,,,,
05170,CALIFORNIA               ,LASSEN,0,0,0.00,,,,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,0,0,"10,061.57",,,,,,,,,
05300,CALIFORNIA               ,MADERA,0,0,0.00,,,,,,,,,
05310,CALIFORNIA               ,MARIN,0,0,"4,235.95",,,,,,,,,
05320,CALIFORNIA               ,MARIPOSA,0,0,0.00,,,,,,,,,
05330,CALIFORNIA               ,MENDOCINO,0,0,0.00,,,,,,,,,
05340,CALIFORNIA               ,MERCED,0,0,0.00,,,,,,,,,
05350,CALIFORNIA               ,MODOC,0,0,0.00,,,,,,,,,
05360,CALIFORNIA               ,MONO,0,0,0.00,,,,,,,,,
05370,CALIFORNIA               ,MONTEREY,0,0,0.00,,,,,,,,,
05380,CALIFORNIA               ,NAPA,0,0,108.05,,,,,,,,,
05390,CALIFORNIA               ,NEVADA,0,0,842.44,,,,,,,,,
05400,CALIFORNIA               ,ORANGE,"11,757","11,100","4,569.47",,,,,,,,,
05410,CALIFORNIA               ,PLACER,0,0,"1,850.25",,,,,,,,,
05420,CALIFORNIA               ,PLUMAS,0,0,317.54,,,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,0,0,"1,135.70",,,,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,0,0,"8,502.42",,,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,0,0,0.00,,,,,,,,,
