AGED -- 2010  REIMBURSEMENT FOR COST CONTRACTS,,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
03130,ARIZONA                  ,YUMA,"47,687","41,411","83,215.72",,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,0,0,0.00,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,"11,244","9,037","15,374.36",,,,,,,,,
04020,ARKANSAS                 ,BAXTER,"18,013","17,649","29,782.25",,,,,,,,,
04030,ARKANSAS                 ,BENTON,"23,512","21,982","28,981.51",,,,,,,,,
04040,ARKANSAS                 ,BOONE,"10,803","10,337","5,358.11",,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,0,0,0.00,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,0,0,0.00,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,0,0,"5,971.61",,,,,,,,,
04080,ARKANSAS                 ,CHICOT,"32,986","32,829","34,337.54",,,,,,,,,
04090,ARKANSAS                 ,CLARK,"100,849","94,092","38,223.27",,,,,,,,,
04100,ARKANSAS                 ,CLAY,0,0,0.00,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,0,0,"15,958.24",,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,0,0,"2,846.86",,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,0,0,0.00,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"11,312","11,312","10,421.39",,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,0,0,0.00,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"5,666","4,579","11,655.17",,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,0,0,0.00,,,,,,,,,
04180,ARKANSAS                 ,CROSS,0,0,"10,264.36",,,,,,,,,
04190,ARKANSAS                 ,DALLAS,0,0,0.00,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"63,728","57,293","54,036.11",,,,,,,,,
04210,ARKANSAS                 ,DREW,0,0,444.90,,,,,,,,,
