DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,373,647,346,"1,730",85,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"2,743","1,348","2,014","2,594",482,,,,,
02270,ALASKA                   ,WADE HAMPTON,230,305,51,595,3,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"1,678","1,546",992,368,499,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"1,143","1,325","3,716","1,029",379,,,,,
03000,ARIZONA                  ,APACHE,"10,975","27,189","14,154","25,256","24,140",,,,,
03010,ARIZONA                  ,COCHISE,"50,364","79,827","81,102","88,200","88,184",,,,,
03020,ARIZONA                  ,COCONINO,"12,794","17,025","8,487","-10,134","-7,006",,,,,
03030,ARIZONA                  ,GILA,"11,985","20,428","10,658","-4,920","-6,747",,,,,
03040,ARIZONA                  ,GRAHAM,"12,058","30,570","25,938","35,563","41,068",,,,,
03050,ARIZONA                  ,GREENLEE,"2,260","3,625","5,878","7,341","7,459",,,,,
03055,ARIZONA                  ,LA PAZ,"9,217","21,830","14,972","19,647","16,467",,,,,
03060,ARIZONA                  ,MARICOPA,"319,631","421,708","299,148","135,336","187,733",,,,,
03070,ARIZONA                  ,MOHAVE,"-104,237","161,569","97,441","60,410","62,109",,,,,
03080,ARIZONA                  ,NAVAJO,"29,982","58,015","61,465","90,760","82,450",,,,,
03090,ARIZONA                  ,PIMA,"239,734","326,292","300,236","314,513","402,798",,,,,
03100,ARIZONA                  ,PINAL,"32,188","64,286","41,748","24,753","40,437",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"3,341","6,272","9,710","7,004","11,544",,,,,
03120,ARIZONA                  ,YAVAPAI,"105,463","139,891","128,427","81,896","-56,578",,,,,
03130,ARIZONA                  ,YUMA,"43,285","33,244","61,093","87,578","81,898",,,,,
04000,ARKANSAS                 ,ARKANSAS,"-11,887","-5,875","-4,961","-1,391","-1,336",,,,,
04010,ARKANSAS                 ,ASHLEY,"-14,629","-2,758","-3,510","-2,297","-4,256",,,,,
04020,ARKANSAS                 ,BAXTER,"-1,888","-7,275","-3,817","-2,855","2,091",,,,,
04030,ARKANSAS                 ,BENTON,"20,830","24,603","23,090","51,707","73,467",,,,,
04040,ARKANSAS                 ,BOONE,"6,464","8,668","14,585","39,681","26,862",,,,,
04050,ARKANSAS                 ,BRADLEY,"-4,124","-2,102","-1,739",-966,"-1,470",,,,,
04060,ARKANSAS                 ,CALHOUN,"-4,391",-624,-666,-544,"-1,813",,,,,
04070,ARKANSAS                 ,CARROLL,"1,051",-267,"2,526","5,392","7,146",,,,,
04080,ARKANSAS                 ,CHICOT,"-4,475","-1,590","-1,857",-203,"-1,241",,,,,
04090,ARKANSAS                 ,CLARK,"-5,391","-4,407","-5,532","-3,060","-4,988",,,,,
04100,ARKANSAS                 ,CLAY,"-8,224","-5,787","-8,360","-5,204","-5,412",,,,,
04110,ARKANSAS                 ,CLEBURNE,"-18,728","-10,638","-8,625","-2,398","-2,791",,,,,
04120,ARKANSAS                 ,CLEVELAND,"-5,622","-2,410","-3,176",-481,"-1,170",,,,,
04130,ARKANSAS                 ,COLUMBIA,"-13,052","-2,262","-3,129","-2,547","-3,078",,,,,
04140,ARKANSAS                 ,CONWAY,"-19,282","-7,281","-5,285","-2,249","-1,860",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-53,923","-52,915","-35,407","-25,249","-28,571",,,,,
04160,ARKANSAS                 ,CRAWFORD,"-13,610","-14,686","3,580","1,700","28,087",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-15,256","-15,362","-18,537","-13,345","-19,069",,,,,
04180,ARKANSAS                 ,CROSS,"-8,220","-7,671","-5,589","-2,758","-2,789",,,,,
04190,ARKANSAS                 ,DALLAS,"-5,383","-1,795","-1,976",-782,"-1,467",,,,,
04200,ARKANSAS                 ,DESHA,"-7,809","-3,367","-3,285","-1,220","-1,323",,,,,
