"AGED -- PUERTO RICO 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40380,PUERTO RICO,JUNCOS,"1,463","1,069,654",60.90,"945,848",53.85,"23,112","80,192","20,501",531,"1,182,641",185.51,0.917
40390,PUERTO RICO,LAJAS,"1,169","861,960",61.43,"769,032",54.81,"24,257","35,754","32,915",438,"1,124,656",213.61,0.888
40400,PUERTO RICO,LARES,"1,770","1,859,830",87.55,"1,684,372",79.29,"38,573","107,724","29,160",486,"1,101,529",188.65,0.967
40410,PUERTO RICO,LAS MARIAS,412,"283,594",57.27,"245,341",49.54,"11,955","3,337","22,959",63,"102,099",133.11,0.942
40420,PUERTO RICO,LAS PIEDRAS,"1,542","978,832",52.87,"877,931",47.42,"11,854","77,194","11,851",704,"1,633,551",193.27,0.982
40430,PUERTO RICO,LOIZA,"2,167","1,392,004",53.51,"1,093,596",42.04,"82,373","75,370","140,664",668,"1,411,097",175.92,0.843
40440,PUERTO RICO,LUQUILLO,236,"137,749",48.61,"129,596",45.73,"3,094","2,997","2,061",51,"164,523",267.94,0.883
40450,PUERTO RICO,MANATI,"2,136","1,857,015",72.44,"1,715,873",66.93,"35,371","90,670","15,099",725,"2,000,761",229.81,0.928
40460,PUERTO RICO,MARICAO,190,"225,479",98.55,"203,338",88.87,"6,141","4,183","11,816",30,"70,714",193.72,0.929
40470,PUERTO RICO,MAUNABO,489,"459,562",78.29,"415,791",70.83,"4,685","33,980","5,104",147,"395,280",223.44,1.029
40480,PUERTO RICO,MAYAGUEZ,"5,466","4,503,676",68.66,"3,966,375",60.47,"152,248","108,485","276,566","2,150","5,588,553",216.59,0.902
40490,PUERTO RICO,MOCA,"1,348","1,160,002",71.68,"1,016,669",62.83,"49,176","65,425","28,730",394,"1,262,462",266.85,0.954
40500,PUERTO RICO,MOROVIS,991,"892,576",74.99,"835,791",70.22,"14,788","34,496","7,500",226,"575,203",211.70,0.951
40510,PUERTO RICO,NAGUABO,"1,026","830,188",67.43,"741,522",60.23,"16,106","60,323","12,235",352,"756,470",178.79,0.940
40520,PUERTO RICO,NARANJITO,"1,091","675,293",51.56,"604,137",46.12,"14,848","41,512","14,796",349,"800,832",190.77,1.004
40530,PUERTO RICO,OROCOVIS,859,"866,789",84.06,"786,587",76.29,"10,287","57,173","12,740",220,"545,771",206.57,0.939
40540,PUERTO RICO,PATILLAS,785,"444,033",47.09,"402,996",42.74,"8,419","26,559","6,058",202,"461,093",189.36,0.945
40550,PUERTO RICO,PENUELAS,840,"981,976",97.39,"831,881",82.50,"40,667","54,292","55,135",291,"746,542",213.54,0.946
40560,PUERTO RICO,PONCE,"8,975","8,519,684",79.11,"7,357,890",68.32,"276,741","382,921","502,131","3,601","10,042,778",232.38,0.948
40570,PUERTO RICO,QUEBRADILLAS,"1,114","686,429",51.31,"626,778",46.85,"8,830","42,702","8,118",356,"835,435",195.56,0.916
40580,PUERTO RICO,RINCON,764,"493,606",53.83,"417,702",45.55,"29,435","15,562","30,905",263,"603,944",191.06,0.844
40590,PUERTO RICO,RIO GRANDE,"1,031","590,145",47.66,"521,747",42.13,"14,879","18,966","34,551",356,"759,091",177.61,0.921
40610,PUERTO RICO,SABANA GRANDE,"1,145","732,664",53.29,"653,709",47.55,"21,881","30,140","26,933",415,"953,074",191.04,0.975
40620,PUERTO RICO,SALINAS,"1,576","1,230,570",65.05,"1,056,758",55.87,"33,375","101,008","39,429",459,"873,444",158.38,0.918
