AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
04140,ARKANSAS                 ,CONWAY,"-49,261","-20,865","-16,111","-5,534","-7,456"
04150,ARKANSAS                 ,CRAIGHEAD,"-138,489","-141,542","-80,306","-47,819","-65,423"
04160,ARKANSAS                 ,CRAWFORD,"-20,595","-48,027","12,073",-237,"59,814"
04170,ARKANSAS                 ,CRITTENDEN,"-33,872","-38,782","-37,651","-31,212","-45,569"
04180,ARKANSAS                 ,CROSS,"-17,653","-18,110","-15,165","-7,441","-12,322"
04190,ARKANSAS                 ,DALLAS,"-17,674","-5,527","-5,799","-3,487","-5,485"
04200,ARKANSAS                 ,DESHA,"-25,499","-10,220","-11,529","-3,525","-3,512"
04210,ARKANSAS                 ,DREW,"-24,430","-13,634","-16,802","-3,764","-3,075"
04220,ARKANSAS                 ,FAULKNER,"-231,808","-94,896","-77,196","-32,087","-37,877"
04230,ARKANSAS                 ,FRANKLIN,"-2,411","-6,572","3,180",-87,"16,671"
04240,ARKANSAS                 ,FULTON,"-8,743","-6,233","-4,576",851,"4,014"
04250,ARKANSAS                 ,GARLAND,"-178,822","-209,911","-250,751","-215,870","-322,750"
04260,ARKANSAS                 ,GRANT,"-49,685","-20,884","-14,846","-6,859","-9,059"
04270,ARKANSAS                 ,GREENE,"-57,808","-58,415","-60,917","-29,695","-36,479"
04280,ARKANSAS                 ,HEMPSTEAD,"-25,876","-12,077","-16,359","-7,300","6,427"
04290,ARKANSAS                 ,HOT SPRING,"-65,922","-33,545","-32,477","-27,618","-53,847"
04300,ARKANSAS                 ,HOWARD,"-10,428","-5,884","-5,694","-3,535",-620
04310,ARKANSAS                 ,INDEPENDENCE,"-178,215","-82,807","-78,956","-9,555","-17,136"
04320,ARKANSAS                 ,IZARD,"-34,355","-16,806","-15,223","-3,978","-2,230"
04330,ARKANSAS                 ,JACKSON,"-55,593","-36,145","-24,276","1,305","3,868"
04340,ARKANSAS                 ,JEFFERSON,"-160,981","-69,822","-58,376","-14,344","-21,916"
04350,ARKANSAS                 ,JOHNSON,"-17,344","-14,644","-14,189","-2,411","2,371"
04360,ARKANSAS                 ,LAFAYETTE,"-6,165","-4,075","-3,555",-996,"3,512"
04370,ARKANSAS                 ,LAWRENCE,"-34,103","-30,081","-24,974","-12,084","-13,751"
04380,ARKANSAS                 ,LEE,"-12,175","-12,923","-14,862","-7,098","-4,748"
04390,ARKANSAS                 ,LINCOLN,"-26,482","-10,774","-9,804","-1,510","-3,791"
04400,ARKANSAS                 ,LITTLE RIVER,"-6,338","-5,161","-1,928","1,012","8,111"
04410,ARKANSAS                 ,LOGAN,"-9,584","-9,036","-2,320",92,"15,950"
04420,ARKANSAS                 ,LONOKE,"-192,812","-77,257","-47,785","-18,814","-23,390"
04430,ARKANSAS                 ,MADISON,"7,502","9,580","12,803","20,410","38,794"
04440,ARKANSAS                 ,MARION,-333,"-7,357","-2,747","1,147","5,388"
04450,ARKANSAS                 ,MILLER,"-19,824","-8,276","-4,192","1,292","27,010"
04460,ARKANSAS                 ,MISSISSIPPI,"-91,989","-91,239","-64,557","-35,676","-28,144"
04470,ARKANSAS                 ,MONROE,"-23,005","-13,753","-12,140","-4,359","-1,910"
04480,ARKANSAS                 ,MONTGOMERY,"-9,613","-15,675","-14,600","-12,901","-19,998"
04490,ARKANSAS                 ,NEVADA,"-15,477","-7,117","-7,418","-3,075","1,365"
04500,ARKANSAS                 ,NEWTON,"2,972","5,342","8,818","17,964","13,204"
04510,ARKANSAS                 ,OUACHITA,"-45,268","-13,766","-18,817","-8,805","-10,550"
04520,ARKANSAS                 ,PERRY,"-26,562","-11,499","-7,898","-2,746","-4,509"
04530,ARKANSAS                 ,PHILLIPS,"-1,722","-25,185","-20,754","-12,889","-18,846"
04540,ARKANSAS                 ,PIKE,"-9,966","-12,158","-13,216","-12,202","-22,541"
04550,ARKANSAS                 ,POINSETT,"-47,635","-47,422","-26,438","-13,437","-23,066"
04560,ARKANSAS                 ,POLK,"-7,904","-12,093","-17,664","-10,213","-6,578"
04570,ARKANSAS                 ,POPE,"-139,781","-60,547","-56,995","-11,147","-13,588"
04580,ARKANSAS                 ,PRAIRIE,"-31,939","-16,214","-12,252","-3,037","-3,549"
04590,ARKANSAS                 ,PULASKI,"-1,178,836","-472,608","-280,907","-113,787","-142,439"
04600,ARKANSAS                 ,RANDOLPH,"-35,072","-28,330","-26,126","-10,740","-8,688"
04610,ARKANSAS                 ,ST. FRANCIS,"-34,511","-40,130","-42,275","-24,365","-13,959"
04620,ARKANSAS                 ,SALINE,"-255,700","-99,833","-65,728","-27,609","-40,176"
04630,ARKANSAS                 ,SCOTT,"-1,205","-4,873",442,-771,"9,148"
04640,ARKANSAS                 ,SEARCY,"-7,528","-3,116",764,"5,254","4,989"
04650,ARKANSAS                 ,SEBASTIAN,"-32,289","-52,887","23,501",-340,"126,913"
04660,ARKANSAS                 ,SEVIER,"-5,367","-2,671","-2,516",656,"3,670"
