"IPPS and OPPS Wage Indices by Fiscal Year -- Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,,
County code,State,County name,CBSA 2013,IPPS Wage 2007 A,IPPS Wage 2007 B,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2013,
1540,AL,PIKE,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1550,AL,RANDOLPH,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1560,AL,RUSSELL,17980, 0.8530 , 0.8530 , 0.9020 , 0.9028 , 0.8781 , 0.8781 , 0.9073 , 0.8873 ,
1570,AL,ST. CLAIR,13820, 0.8889 , 0.8889 , 0.8856 , 0.8754 , 0.8512 , 0.8512 , 0.8587 , 0.8458 ,
1580,AL,SHELBY,13820, 0.8889 , 0.8889 , 0.8856 , 0.8754 , 0.8512 , 0.8512 , 0.8587 , 0.8458 ,
1590,AL,SUMTER,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1600,AL,TALLADEGA,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1610,AL,TALLAPOOSA,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1620,AL,TUSCALOOSA,46220, 0.8761 , 0.8761 , 0.8531 , 0.8731 , 0.8942 , 0.8942 , 0.9061 , 0.8753 ,
1630,AL,WALKER,13820, 0.8889 , 0.8889 , 0.8856 , 0.8754 , 0.8512 , 0.8512 , 0.8587 , 0.8458 ,
1640,AL,WASHINGTON,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1650,AL,WILCOX,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1660,AL,WINSTON,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
2013,AK,ALEUTIANS EAST,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2016,AK,ALEUTIANS WEST,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2020,AK,ANCHORAGE,11260, 1.1904 , 1.1927 , 1.2084 , 1.1852 , 1.1920 , 1.1920 , 1.2573 , 1.2727 ,
2050,AK,BETHEL,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2060,AK,BRISTOL BAY,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2068,AK,DENALI,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2070,AK,DILLINGHAM,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2090,AK,FAIRBANKS NORTH STAR,21820, 1.0993 , 1.0993 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2100,AK,HAINES,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2105,AK,HOONAH-ANGOON,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2110,AK,JUNEAU,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2122,AK,KENAI PENINSULA,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2130,AK,KETCHIKAN GATEWAY,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2150,AK,KODIAK ISLAND,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2164,AK,LAKE AND PENINSULA,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2170,AK,MATANUSKA-SUSITNA,11260, 1.1904 , 1.1927 , 1.2084 , 1.1852 , 1.1920 , 1.1920 , 1.2573 , 1.2727 ,
2180,AK,NOME,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2185,AK,NORTH SLOPE,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2188,AK,NORTHWEST ARCTIC,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2195,AK,PETERSBURG,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2198,AK,PRINCE OF WALES-HYDER,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2220,AK,SITKA,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2230,AK,SKAGWAY,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2240,AK,SOUTHEAST FAIRBANKS,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2261,AK,VALDEZ-CORDOVA,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2270,AK,WADE HAMPTON,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2275,AK,WRANGELL,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2282,AK,YAKUTAT,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
2290,AK,YUKON-KOYUKUK,NA, 1.0702 , 1.0702 , 1.2084 , 1.1852 , 1.1636 , 1.1636 , 1.2573 , 1.2727 ,
3000,AZ,APACHE,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3010,AZ,COCHISE,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3020,AZ,COCONINO,22380, 1.1538 , 1.1538 , 1.1552 , 1.1609 , 1.2450 , 1.2450 , 1.2394 , 1.1974 ,
3030,AZ,GILA,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3040,AZ,GRAHAM,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3050,AZ,GREENLEE,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3055,AZ,LA PAZ,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3060,AZ,MARICOPA,38060, 1.0146 , 1.0146 , 1.0111 , 1.0224 , 1.0472 , 1.0472 , 1.0463 , 1.0569 ,
3070,AZ,MOHAVE,29420, -   , -   , 0.9334 , 0.9801 , 1.0590 , 1.0590 , 1.0236 , 1.0569 ,
3080,AZ,NAVAJO,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3090,AZ,PIMA,46060, 0.9390 , 0.9390 , 0.9417 , 0.9407 , 0.9686 , 0.9686 , 0.9643 , 1.0569 ,
3100,AZ,PINAL,38060, 1.0146 , 1.0146 , 1.0111 , 1.0224 , 1.0472 , 1.0472 , 1.0463 , 1.0569 ,
3110,AZ,SANTA CRUZ,NA, 0.9269 , 0.9269 , 0.8855 , 0.8824 , 0.8801 , 0.8801 , 0.9088 , 1.0569 ,
3120,AZ,YAVAPAI,39140, 0.9748 , 0.9748 , 0.9961 , 1.0160 , 1.0169 , 1.0169 , 1.2257 , 1.1804 ,
3130,AZ,YUMA,49740, 0.9269 , 0.9269 , 1.0086 , 0.9866 , 0.9284 , 0.9284 , 0.9408 , 1.0569 ,
4000,AR,ARKANSAS,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4010,AR,ASHLEY,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4020,AR,BAXTER,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4030,AR,BENTON,22220, 0.9027 , 0.9027 , 0.8872 , 0.9097 , 0.8787 , 0.8787 , 0.8604 , 0.9284 ,
4040,AR,BOONE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4050,AR,BRADLEY,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4060,AR,CALHOUN,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4070,AR,CARROLL,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4080,AR,CHICOT,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4090,AR,CLARK,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4100,AR,CLAY,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4110,AR,CLEBURNE,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4120,AR,CLEVELAND,38220, 0.8717 , 0.8717 , 0.8152 , 0.8243 , 0.7767 , 0.7767 , 0.8269 , 0.8009 ,
4130,AR,COLUMBIA,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4140,AR,CONWAY,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4150,AR,CRAIGHEAD,27860, 0.8345 , 0.8345 , 0.8503 , 0.8423 , 0.7796 , 0.7796 , 0.7794 , 0.8125 ,
4160,AR,CRAWFORD,22900, 0.7850 , 0.7850 , -   , 0.7814 , 0.7994 , 0.7994 , 0.7713 , 0.7923 ,
4170,AR,CRITTENDEN,32820, 0.9307 , 0.9307 , 0.9314 , 0.9294 , 0.9265 , 0.9265 , 0.9244 , 0.8967 ,
4180,AR,CROSS,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
4190,AR,DALLAS,NA, 0.7475 , 0.7475 , 0.7516 , 0.7645 , 0.7559 , 0.7559 , 0.7479 , 0.7501 ,
