"ESRD -- PUERTO RICO 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
40650,PUERTO RICO              ,SAN LORENZO            ,29,"205,773",591.30,"197,553",567.68,"2,357","3,932","1,931",27,"705,238","2,176.66",
40660,PUERTO RICO              ,SAN SEBASTIAN          ,34,"279,890",686.00,"254,114",622.83,"5,292","14,109","6,374",29,"875,601","2,516.09",
40670,PUERTO RICO              ,SANTA ISABEL           ,15,"199,199","1,106.66","162,957",905.32,"9,875","13,262","13,103",11,"425,902","3,226.53",
40680,PUERTO RICO              ,TOA ALTA               ,48,"387,209",672.24,"372,024",645.88,"4,578","6,310","4,296",39,"1,073,760","2,294.36",
40690,PUERTO RICO              ,TOA BAJA               ,21,"286,746","1,137.88","279,025","1,107.24","1,484","6,116",118,15,"444,723","2,470.68",
40700,PUERTO RICO              ,TRUJILLO ALTO          ,38,"365,301",801.10,"340,679",747.10,"11,035","5,533","8,052",30,"838,521","2,329.23",
40710,PUERTO RICO              ,UTUADO                 ,8,"54,282",565.44,"51,875",540.36,214,"2,184",7,7,"246,716","2,937.10",
40720,PUERTO RICO              ,VEGA ALTA              ,23,"314,701","1,140.22","301,119","1,091.01","2,430","11,055",95,19,"645,205","2,829.85",
40730,PUERTO RICO              ,VEGA BAJA              ,42,"499,747",991.56,"471,188",934.90,"4,364","23,780",413,38,"1,202,072","2,636.12",
40740,PUERTO RICO              ,VIEQUES                ,33,"336,035",848.57,"324,276",818.88,"1,257","9,267","1,234",26,"659,561","2,113.98",
40750,PUERTO RICO              ,VILLALBA               ,31,"463,016","1,244.67","397,435","1,068.37","19,337","19,993","26,251",26,"875,254","2,805.30",
40760,PUERTO RICO              ,YABUCOA                ,37,"370,979",835.54,"347,901",783.56,"1,186","19,960","1,931",34,"1,046,108","2,563.99",
40770,PUERTO RICO              ,YAUCO                  ,40,"310,763",647.42,"273,607",570.01,"14,251","13,903","9,001",35,"1,175,587","2,799.02",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
