DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
04540,ARKANSAS                 ,PIKE,61,-167,-494,568,"1,395",,,,,
04550,ARKANSAS                 ,POINSETT,"6,581","4,889","2,892","5,799","6,491",,,,,
04560,ARKANSAS                 ,POLK,14,537,"-1,137",326,763,,,,,
04570,ARKANSAS                 ,POPE,264,-623,-740,"1,320","3,847",,,,,
04580,ARKANSAS                 ,PRAIRIE,-346,-544,-998,367,"2,057",,,,,
04590,ARKANSAS                 ,PULASKI,"-26,265","-14,407","-6,129","6,111","8,281",,,,,
04600,ARKANSAS                 ,RANDOLPH,615,615,22,727,"1,745",,,,,
04610,ARKANSAS                 ,ST. FRANCIS,-554,"-1,026",-374,-452,-482,,,,,
04620,ARKANSAS                 ,SALINE,"-8,315","-3,124",-976,"1,146","1,629",,,,,
04630,ARKANSAS                 ,SCOTT,201,-321,119,483,"3,382",,,,,
04640,ARKANSAS                 ,SEARCY,135,-174,-340,28,580,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"1,884","-1,266","4,128","3,868","18,062",,,,,
04660,ARKANSAS                 ,SEVIER,-50,-45,-152,431,302,,,,,
04670,ARKANSAS                 ,SHARP,708,-601,-200,662,"2,554",,,,,
04680,ARKANSAS                 ,STONE,171,-75,-212,189,286,,,,,
04690,ARKANSAS                 ,UNION,606,-810,"-2,494","1,005","4,557",,,,,
04700,ARKANSAS                 ,VAN BUREN,"-1,717",-241,335,-445,127,,,,,
04710,ARKANSAS                 ,WASHINGTON,"15,983","25,513","16,581","47,685","57,760",,,,,
04720,ARKANSAS                 ,WHITE,-467,"-1,853","-2,224","2,572","7,696",,,,,
04730,ARKANSAS                 ,WOODRUFF,152,-388,-491,361,546,,,,,
04740,ARKANSAS                 ,YELL,-49,-808,-375,54,954,,,,,
05000,CALIFORNIA               ,ALAMEDA,"335,930","377,766","267,123","158,040","258,468",,,,,
05010,CALIFORNIA               ,ALPINE,0,0,0,0,277,,,,,
05020,CALIFORNIA               ,AMADOR,"6,957","9,203","9,309","4,837","8,258",,,,,
05030,CALIFORNIA               ,BUTTE,"24,983","26,825","32,179","3,778","-27,865",,,,,
05040,CALIFORNIA               ,CALAVERAS,"28,315","21,057","10,522","10,998","14,668",,,,,
05050,CALIFORNIA               ,COLUSA,"5,241","3,060","1,280","5,908","2,751",,,,,
