AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"109,422","52,578","55,531","49,856","10,229",,,,,
03000,ARIZONA                  ,APACHE,"304,708","312,917","254,517","54,910","19,492",,,,,
03010,ARIZONA                  ,COCHISE,"2,026,746","2,048,094","2,184,753","1,818,821","1,899,416",,,,,
03020,ARIZONA                  ,COCONINO,"596,895","609,975","257,493","-641,867","-519,110",,,,,
03030,ARIZONA                  ,GILA,"638,673","685,470","575,000","205,795","252,312",,,,,
03040,ARIZONA                  ,GRAHAM,"332,775","385,462","342,789","243,977","251,214",,,,,
03050,ARIZONA                  ,GREENLEE,"107,481","119,562","135,955","76,555","98,950",,,,,
03055,ARIZONA                  ,LA PAZ,"219,820","174,155","128,269","81,701","46,550",,,,,
03060,ARIZONA                  ,MARICOPA,"16,575,143","17,549,509","12,156,199","4,710,929","5,891,538",,,,,
03070,ARIZONA                  ,MOHAVE,"-2,472,330","1,347,027","3,051,466","1,189,169","1,370,483",,,,,
03080,ARIZONA                  ,NAVAJO,"686,028","637,696","499,095","-86,522","-61,639",,,,,
03090,ARIZONA                  ,PIMA,"14,920,012","15,675,682","14,718,419","11,790,270","12,378,085",,,,,
03100,ARIZONA                  ,PINAL,"1,627,112","1,678,186","1,323,923","711,294","752,701",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"418,862","450,693","443,500","355,957","377,047",,,,,
03120,ARIZONA                  ,YAVAPAI,"1,723,012","1,730,952","1,308,610","3,094,398","-1,274,214",,,,,
03130,ARIZONA                  ,YUMA,"3,585,598","1,879,063","2,709,746","3,641,846","3,421,433",,,,,
04000,ARKANSAS                 ,ARKANSAS,"-326,969","-141,212","-88,358","-43,994","-26,639",,,,,
04010,ARKANSAS                 ,ASHLEY,"-287,773","-75,729","-27,514","-36,478","-54,033",,,,,
04020,ARKANSAS                 ,BAXTER,"-39,260","-159,440","-50,211","-69,623","23,271",,,,,
04030,ARKANSAS                 ,BENTON,"794,086","994,034","732,453","1,440,665","1,386,983",,,,,
04040,ARKANSAS                 ,BOONE,"145,147","148,051","180,747","470,648","329,296",,,,,
04050,ARKANSAS                 ,BRADLEY,"-185,688","-64,892","-42,758","-26,667","-20,998",,,,,
04060,ARKANSAS                 ,CALHOUN,"-101,035","-14,754","-11,942","-14,170","-15,911",,,,,
04070,ARKANSAS                 ,CARROLL,"65,634","75,938","67,641","149,386","145,237",,,,,
04080,ARKANSAS                 ,CHICOT,"-116,383","-34,589","-19,313","-5,256","-25,525",,,,,
04090,ARKANSAS                 ,CLARK,"-263,947","-113,839","-72,280","-61,564","-75,796",,,,,
04100,ARKANSAS                 ,CLAY,"-207,883","-161,096","-131,469","-113,351","-86,442",,,,,
04110,ARKANSAS                 ,CLEBURNE,"-553,870","-252,028","-160,943","-60,681","-58,549",,,,,
04120,ARKANSAS                 ,CLEVELAND,"-64,236","-26,107","-15,858","-9,623","-6,886",,,,,
04130,ARKANSAS                 ,COLUMBIA,"-303,899","-80,561","-40,310","-41,715","-36,745",,,,,
04140,ARKANSAS                 ,CONWAY,"-427,285","-120,895","-64,178","-43,624","-37,731",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-938,707","-837,431","-487,837","-448,726","-356,455",,,,,
04160,ARKANSAS                 ,CRAWFORD,-895,"-64,171","60,834","9,998","251,942",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-359,553","-339,152","-305,424","-299,968","-279,599",,,,,
04180,ARKANSAS                 ,CROSS,"-151,821","-128,812","-82,020","-87,207","-70,028",,,,,
04190,ARKANSAS                 ,DALLAS,"-127,463","-45,669","-22,527","-19,293","-17,954",,,,,
04200,ARKANSAS                 ,DESHA,"-166,314","-45,251","-30,922","-13,342","-14,147",,,,,
04210,ARKANSAS                 ,DREW,"-129,751","-56,238","-34,285","-21,753","-20,593",,,,,
04220,ARKANSAS                 ,FAULKNER,"-1,285,483","-535,051","-271,947","-172,950","-133,464",,,,,
04230,ARKANSAS                 ,FRANKLIN,"-4,525","-23,296","9,336","-1,728","63,956",,,,,
04240,ARKANSAS                 ,FULTON,"-69,357","-37,812","-25,757","-2,287","6,853",,,,,
04250,ARKANSAS                 ,GARLAND,"-758,026","-955,695","-860,884","-874,246","-1,073,373",,,,,
04260,ARKANSAS                 ,GRANT,"-374,515","-122,695","-73,192","-52,132","-41,472",,,,,
04270,ARKANSAS                 ,GREENE,"-442,772","-379,246","-369,973","-245,001","-202,613",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-145,828","-35,488","-20,248","7,500","24,862",,,,,
04290,ARKANSAS                 ,HOT SPRING,"-448,096","-187,886","-162,821","-188,840","-204,332",,,,,
04300,ARKANSAS                 ,HOWARD,"-72,296","-34,292","-25,978","-11,040","-3,712",,,,,
