AGED -- 2011  REIMBURSEMENT FOR COST CONTRACTS - FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
04660,ARKANSAS                 ,SEVIER,0,0,0,,,,,,,,,
04670,ARKANSAS                 ,SHARP,0,0,948,,,,,,,,,
04680,ARKANSAS                 ,STONE,"38,788","35,791","10,022",,,,,,,,,
04690,ARKANSAS                 ,UNION,"13,732","13,732","5,493",,,,,,,,,
04700,ARKANSAS                 ,VAN BUREN,0,0,"8,148",,,,,,,,,
04710,ARKANSAS                 ,WASHINGTON,"19,322","18,721","10,512",,,,,,,,,
04720,ARKANSAS                 ,WHITE,"99,368","90,680","141,997",,,,,,,,,
04730,ARKANSAS                 ,WOODRUFF,0,0,0,,,,,,,,,
04740,ARKANSAS                 ,YELL,"20,402","18,027","13,525",,,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"2,836,576","2,271,133","746,135",,,,,,,,,
05010,CALIFORNIA               ,ALPINE,0,0,0,,,,,,,,,
05020,CALIFORNIA               ,AMADOR,"12,797","11,888","14,794",,,,,,,,,
05030,CALIFORNIA               ,BUTTE,"596,460","527,874","343,718",,,,,,,,,
05040,CALIFORNIA               ,CALAVERAS,"131,057","128,843","49,679",,,,,,,,,
05050,CALIFORNIA               ,COLUSA,0,0,"1,694",,,,,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"6,349,793","5,667,895","1,512,191",,,,,,,,,
05070,CALIFORNIA               ,DEL NORTE,0,0,0,,,,,,,,,
05080,CALIFORNIA               ,EL DORADO,"170,091","162,442","53,067",,,,,,,,,
05090,CALIFORNIA               ,FRESNO,"163,666","147,928","137,842",,,,,,,,,
05100,CALIFORNIA               ,GLENN,0,0,"6,894",,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"25,335","25,028","18,317",,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"5,815","5,130","10,670",,,,,,,,,
05130,CALIFORNIA               ,INYO,0,0,"1,876",,,,,,,,,
05140,CALIFORNIA               ,KERN,"482,355","430,391","282,372",,,,,,,,,
05150,CALIFORNIA               ,KINGS,"64,719","57,813","15,184",,,,,,,,,
05160,CALIFORNIA               ,LAKE,"148,386","144,620","18,799",,,,,,,,,
05170,CALIFORNIA               ,LASSEN,"34,403","32,611","18,844",,,,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"3,384,911","2,900,096","1,429,124",,,,,,,,,
05300,CALIFORNIA               ,MADERA,"26,080","23,515","13,297",,,,,,,,,
05310,CALIFORNIA               ,MARIN,"551,299","525,369","143,762",,,,,,,,,
05320,CALIFORNIA               ,MARIPOSA,"2,134","2,133","4,211",,,,,,,,,
05330,CALIFORNIA               ,MENDOCINO,"310,005","301,130","37,998",,,,,,,,,
05340,CALIFORNIA               ,MERCED,"79,322","74,155","22,066",,,,,,,,,
05350,CALIFORNIA               ,MODOC,"4,112","3,346","5,239",,,,,,,,,
