"DISABLED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
05110,CALIFORNIA,HUMBOLDT,"5,277","614,424",9.70,"614,424",9.70,0,0,0,"4,904",0,0
05120,CALIFORNIA,IMPERIAL,"3,577","39,925",0.93,"39,926",0.93,0,0,0,"3,252",0,0
05130,CALIFORNIA,INYO,299,"3,429",0.96,"3,429",0.96,0,0,0,275,0,0
05140,CALIFORNIA,KERN,"15,459","1,708,518",9.21,"1,708,519",9.21,0,0,0,"13,575",0,0
05150,CALIFORNIA,KINGS,"2,422","67,818",2.33,"67,818",2.33,0,0,0,"2,154",0,0
05160,CALIFORNIA,LAKE,"3,631","305,609",7.01,"305,610",7.01,0,0,0,"3,343",0,0
05170,CALIFORNIA,LASSEN,827,0,0.00,0,0.00,0,0,0,738,0,0
05200,CALIFORNIA,LOS ANGELES,"98,012","13,740,530",11.68,"13,740,531",11.68,0,0,0,"84,194",0,0
05300,CALIFORNIA,MADERA,"2,569","137,699",4.47,"137,700",4.47,0,0,0,"2,268",0,0
05310,CALIFORNIA,MARIN,"2,751","574,821",17.41,"574,820",17.41,0,0,0,"2,389",0,0
05320,CALIFORNIA,MARIPOSA,519,"79,328",12.74,"79,328",12.74,0,0,0,457,0,0
05330,CALIFORNIA,MENDOCINO,"3,477","138,482",3.32,"138,482",3.32,0,0,0,"3,258",0,0
