AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
04080,ARKANSAS,CHICOT,"-67,783","-82,982","-60,212","-58,275","-56,303"
04090,ARKANSAS,CLARK,"-164,184","-179,396","-139,171","-102,237","-29,668"
04100,ARKANSAS,CLAY,"-209,672","-199,962","-149,844","-107,168","-119,773"
04110,ARKANSAS,CLEBURNE,"-192,662","-191,135","-152,237","-116,419","-98,638"
04120,ARKANSAS,CLEVELAND,"-37,356","-25,703","-33,994","-28,380","-20,640"
04130,ARKANSAS,COLUMBIA,"-190,377","-192,662","-150,534","-131,433","-107,329"
04140,ARKANSAS,CONWAY,"-157,377","-158,737","-128,926","-123,769","-97,575"
04150,ARKANSAS,CRAIGHEAD,"-421,524","-361,384","-196,944","-128,544","-365,054"
04160,ARKANSAS,CRAWFORD,"-124,405","89,168","18,115","-56,881","70,529"
04170,ARKANSAS,CRITTENDEN,"-571,133","-564,581","-432,099","-265,762","-245,902"
04180,ARKANSAS,CROSS,"-125,552","-102,934","-86,746","-44,490","-73,270"
04190,ARKANSAS,DALLAS,"-56,187","-62,514","-41,977","-36,433","-29,330"
04200,ARKANSAS,DESHA,"-59,697","-57,701","-50,670","-44,578","-30,919"
04210,ARKANSAS,DREW,"-82,090","-66,620","-85,167","-64,263","-52,380"
04220,ARKANSAS,FAULKNER,"-605,369","-539,450","-546,183","-500,659","-416,402"
04230,ARKANSAS,FRANKLIN,"78,256","117,131","95,512","64,899","102,241"
04240,ARKANSAS,FULTON,"-18,961","-14,759","-19,961","-14,153","-14,954"
04250,ARKANSAS,GARLAND,"-1,843,761","-1,988,162","-1,477,535","-598,561","224,822"
04260,ARKANSAS,GRANT,"-172,730","-157,211","-128,593","-94,121","-85,134"
04270,ARKANSAS,GREENE,"-538,881","-508,344","-390,642","-272,066","-347,514"
04280,ARKANSAS,HEMPSTEAD,"-159,000","-93,903","-148,249","-144,833","-79,674"
04290,ARKANSAS,HOT SPRING,"-482,003","-467,121","-400,289","-217,948","-31,716"
04300,ARKANSAS,HOWARD,"-94,935","-99,471","-94,851","-87,140","-47,196"
04310,ARKANSAS,INDEPENDENCE,"-95,137","-72,385","-68,481","-53,714","-56,390"
04320,ARKANSAS,IZARD,"-22,133","-25,717","-28,018","-29,077","-21,805"
04330,ARKANSAS,JACKSON,"-149,230","-123,313","-87,453","-70,078","-59,182"
04340,ARKANSAS,JEFFERSON,"-176,457","-213,739","-185,324","-176,869","-132,004"
04350,ARKANSAS,JOHNSON,"-93,817","-53,000","-56,742","-55,303","-38,442"
04360,ARKANSAS,LAFAYETTE,"-82,252","-64,681","-61,647","-70,593","-35,997"
04370,ARKANSAS,LAWRENCE,"-167,915","-109,474","-75,810","-35,820","-78,329"
04380,ARKANSAS,LEE,"-78,552","-67,546","-58,824","-36,479","-35,814"
04390,ARKANSAS,LINCOLN,"-26,985","-23,700","-28,106","-25,074","-20,676"
04400,ARKANSAS,LITTLE RIVER,"-145,484","-82,312","-115,307","-124,859","-75,596"
04410,ARKANSAS,LOGAN,"30,159","69,564","80,921","28,197","86,157"
04420,ARKANSAS,LONOKE,"-483,866","-411,961","-397,234","-313,590","-280,640"
04430,ARKANSAS,MADISON,"-29,539","-24,697","-169,992","-164,306","-74,760"
04440,ARKANSAS,MARION,"-11,972","-22,115","-33,131","-32,829","-26,977"
04450,ARKANSAS,MILLER,"-386,978","-255,785","-333,373","-309,679","-187,731"
04460,ARKANSAS,MISSISSIPPI,"-286,330","-282,640","-157,161","-95,511","-155,168"
04470,ARKANSAS,MONROE,"-99,943","-90,712","-61,760","-55,896","-43,701"
04480,ARKANSAS,MONTGOMERY,"-130,021","-161,588","-117,657","-41,199","22,110"
04490,ARKANSAS,NEVADA,"-70,181","-55,002","-58,414","-65,914","-34,397"
04500,ARKANSAS,NEWTON,"-11,064","-12,168","-36,763","-31,598","-19,644"
04510,ARKANSAS,OUACHITA,"-131,364","-114,482","-90,439","-83,638","-55,772"
04520,ARKANSAS,PERRY,"-98,132","-77,579","-72,538","-60,032","-57,054"
04530,ARKANSAS,PHILLIPS,"-157,667","-160,363","-124,463","-86,929","-78,487"
04540,ARKANSAS,PIKE,"-129,860","-148,854","-123,348","-54,048","15,347"
04550,ARKANSAS,POINSETT,"-165,081","-124,976","-2,771","-8,796","-122,793"
04560,ARKANSAS,POLK,"-99,066","-102,362","-90,574","-32,435","22,817"
04570,ARKANSAS,POPE,"-401,772","-383,812","-337,602","-325,685","-251,060"
04580,ARKANSAS,PRAIRIE,"-83,353","-69,347","-70,308","-47,286","-39,630"
04590,ARKANSAS,PULASKI,"-3,071,619","-2,858,658","-2,612,308","-2,192,404","-1,796,098"
04600,ARKANSAS,RANDOLPH,"-108,915","-82,219","-49,120","-24,884","-55,281"
04610,ARKANSAS,ST. FRANCIS,"-209,882","-213,381","-181,124","-97,472","-114,474"
04620,ARKANSAS,SALINE,"-598,468","-573,735","-498,028","-405,489","-299,090"
04630,ARKANSAS,SCOTT,"14,168","55,565","49,331","37,113","42,583"
04640,ARKANSAS,SEARCY,"-33,109","-25,941","-37,454","-33,777","-24,760"
04650,ARKANSAS,SEBASTIAN,"17,810","404,391","264,680","44,683","303,122"
