DISABLED -- 2014  REIMBURSEMENT FOR COST CONTRACTS FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE                        DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
04610,ARKANSAS,ST. FRANCIS,0,0,0,,,,,,
04620,ARKANSAS,SALINE,"16,704","16,606","60,117",,,,,,
04630,ARKANSAS,SCOTT,0,0,0,,,,,,
04640,ARKANSAS,SEARCY,0,0,0,,,,,,
04650,ARKANSAS,SEBASTIAN,0,0,"4,059",,,,,,
04660,ARKANSAS,SEVIER,0,0,0,,,,,,
04670,ARKANSAS,SHARP,0,0,0,,,,,,
04680,ARKANSAS,STONE,0,0,0,,,,,,
04690,ARKANSAS,UNION,0,0,"5,461",,,,,,
04700,ARKANSAS,VAN BUREN,0,0,0,,,,,,
04710,ARKANSAS,WASHINGTON,0,0,191,,,,,,
04720,ARKANSAS,WHITE,"6,516","6,516","8,612",,,,,,
04730,ARKANSAS,WOODRUFF,0,0,0,,,,,,
04740,ARKANSAS,YELL,0,0,0,,,,,,
05000,CALIFORNIA,ALAMEDA,0,0,"2,205",,,,,,
05010,CALIFORNIA,ALPINE,0,0,0,,,,,,
05020,CALIFORNIA,AMADOR,0,0,0,,,,,,
05030,CALIFORNIA,BUTTE,0,0,0,,,,,,
05040,CALIFORNIA,CALAVERAS,0,0,"1,285",,,,,,
05050,CALIFORNIA,COLUSA,0,0,0,,,,,,
05060,CALIFORNIA,CONTRA COSTA,"230,264","215,575","110,515",,,,,,
05070,CALIFORNIA,DEL NORTE,0,0,808,,,,,,
05080,CALIFORNIA,EL DORADO,0,0,0,,,,,,
05090,CALIFORNIA,FRESNO,0,0,0,,,,,,
05100,CALIFORNIA,GLENN,0,0,0,,,,,,
05110,CALIFORNIA,HUMBOLDT,0,0,"2,198",,,,,,
05120,CALIFORNIA,IMPERIAL,0,0,0,,,,,,
05130,CALIFORNIA,INYO,0,0,0,,,,,,
05140,CALIFORNIA,KERN,0,0,901,,,,,,
05150,CALIFORNIA,KINGS,0,0,0,,,,,,
05160,CALIFORNIA,LAKE,0,0,457,,,,,,
05170,CALIFORNIA,LASSEN,0,0,0,,,,,,
05200,CALIFORNIA,LOS ANGELES,"10,475","10,475","3,478",,,,,,
05300,CALIFORNIA,MADERA,0,0,0,,,,,,
05310,CALIFORNIA,MARIN,0,0,"14,796",,,,,,
05320,CALIFORNIA,MARIPOSA,0,0,0,,,,,,
05330,CALIFORNIA,MENDOCINO,0,0,0,,,,,,
05340,CALIFORNIA,MERCED,0,0,0,,,,,,
05350,CALIFORNIA,MODOC,0,0,0,,,,,,
05360,CALIFORNIA,MONO,0,0,0,,,,,,
05370,CALIFORNIA,MONTEREY,0,0,0,,,,,,
05380,CALIFORNIA,NAPA,0,0,0,,,,,,
05390,CALIFORNIA,NEVADA,0,0,0,,,,,,
05400,CALIFORNIA,ORANGE,0,0,"14,286",,,,,,
05410,CALIFORNIA,PLACER,0,0,"2,186",,,,,,
05420,CALIFORNIA,PLUMAS,0,0,975,,,,,,
05430,CALIFORNIA,RIVERSIDE,0,0,"2,745",,,,,,
05440,CALIFORNIA,SACRAMENTO,0,0,"3,100",,,,,,
05450,CALIFORNIA,SAN BENITO,0,0,0,,,,,,
