AGED -- 2014  REIMBURSEMENT FOR COST CONTRACTS FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE                        DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
05320,CALIFORNIA,MARIPOSA,0,0,69,,,,,,
05330,CALIFORNIA,MENDOCINO,0,0,"18,192",,,,,,
05340,CALIFORNIA,MERCED,0,0,"16,714",,,,,,
05350,CALIFORNIA,MODOC,0,0,"1,027",,,,,,
05360,CALIFORNIA,MONO,0,0,0,,,,,,
05370,CALIFORNIA,MONTEREY,"107,564","107,564","24,454",,,,,,
05380,CALIFORNIA,NAPA,"64,623","64,623","38,548",,,,,,
05390,CALIFORNIA,NEVADA,"74,512","74,229","27,882",,,,,,
05400,CALIFORNIA,ORANGE,"279,976","276,451","188,003",,,,,,
05410,CALIFORNIA,PLACER,"217,534","217,167","125,636",,,,,,
05420,CALIFORNIA,PLUMAS,"230,445","230,367","230,591",,,,,,
05430,CALIFORNIA,RIVERSIDE,"177,127","176,504","183,677",,,,,,
05440,CALIFORNIA,SACRAMENTO,"480,712","471,849","336,911",,,,,,
05450,CALIFORNIA,SAN BENITO,0,0,0,,,,,,
05460,CALIFORNIA,SAN BERNARDINO,"576,295","573,826","574,798",,,,,,
05470,CALIFORNIA,SAN DIEGO,"264,095","261,256","177,404",,,,,,
05480,CALIFORNIA,SAN FRANCISCO,"713,521","662,974","170,672",,,,,,
05490,CALIFORNIA,SAN JOAQUIN,"667,955","667,281","344,568",,,,,,
05500,CALIFORNIA,SAN LUIS OBISPO,"47,624","47,624","31,774",,,,,,
05510,CALIFORNIA,SAN MATEO,"411,022","402,972","283,328",,,,,,
05520,CALIFORNIA,SANTA BARBARA,0,0,"7,309",,,,,,
05530,CALIFORNIA,SANTA CLARA,"906,471","833,595","361,890",,,,,,
05540,CALIFORNIA,SANTA CRUZ,"37,701","37,453","41,128",,,,,,
05550,CALIFORNIA,SHASTA,"44,933","44,864","41,103",,,,,,
05560,CALIFORNIA,SIERRA,0,0,"2,641",,,,,,
05570,CALIFORNIA,SISKIYOU,0,0,"3,911",,,,,,
05580,CALIFORNIA,SOLANO,"410,793","406,076","235,449",,,,,,
05590,CALIFORNIA,SONOMA,"483,987","467,469","256,158",,,,,,
05600,CALIFORNIA,STANISLAUS,"214,629","213,635","63,741",,,,,,
05610,CALIFORNIA,SUTTER,0,0,"10,241",,,,,,
05620,CALIFORNIA,TEHAMA,"54,611","54,500","30,644",,,,,,
05630,CALIFORNIA,TRINITY,0,0,0,,,,,,
05640,CALIFORNIA,TULARE,"31,747","31,747","7,639",,,,,,
05650,CALIFORNIA,TUOLUMNE,"7,477","7,477","76,604",,,,,,
05660,CALIFORNIA,VENTURA,"254,753","225,040","72,142",,,,,,
05670,CALIFORNIA,YOLO,0,0,"5,592",,,,,,
05680,CALIFORNIA,YUBA,"14,723","14,723","9,572",,,,,,
06000,COLORADO,ADAMS,"2,227,411","2,154,574","1,218,281",,,,,,
06010,COLORADO,ALAMOSA,"860,453","854,821","358,324",,,,,,
06020,COLORADO,ARAPAHOE,"3,402,750","3,345,157","1,956,514",,,,,,
06030,COLORADO,ARCHULETA,"312,338","311,363","449,181",,,,,,
06040,COLORADO,BACA,"2,242","2,242","11,758",,,,,,
06050,COLORADO,BENT,"78,300","78,300","57,811",,,,,,
06060,COLORADO,BOULDER,"3,373,511","3,343,064","2,126,664",,,,,,
06070,COLORADO,CHAFFEE,"1,248,477","1,235,238","792,762",,,,,,
06080,COLORADO,CHEYENNE,0,0,"28,241",,,,,,
06090,COLORADO,CLEAR CREEK,"72,043","71,569","89,269",,,,,,
06100,COLORADO,CONEJOS,"694,466","677,743","418,018",,,,,,
06110,COLORADO,COSTILLA,"141,222","131,892","80,958",,,,,,
06120,COLORADO,CROWLEY,"110,289","110,157","39,690",,,,,,
06130,COLORADO,CUSTER,"56,581","47,977","85,156",,,,,,
06140,COLORADO,DELTA,"3,537,865","3,487,135","2,182,681",,,,,,
06150,COLORADO,DENVER,"2,247,705","2,136,949","1,373,217",,,,,,
06160,COLORADO,DOLORES,"48,657","48,657","105,630",,,,,,
06170,COLORADO,DOUGLAS,"931,761","901,948","587,041",,,,,,
06180,COLORADO,EAGLE,"701,488","687,365","507,187",,,,,,
06190,COLORADO,ELBERT,"243,136","238,183","107,974",,,,,,
06200,COLORADO,EL PASO,"1,418,794","1,401,153","1,051,425",,,,,,
06210,COLORADO,FREMONT,"649,593","641,140","419,466",,,,,,
06220,COLORADO,GARFIELD,"1,935,324","1,921,276","1,200,266",,,,,,
06230,COLORADO,GILPIN,"111,200","110,739","39,453",,,,,,
06240,COLORADO,GRAND,"657,776","653,010","209,223",,,,,,
06250,COLORADO,GUNNISON,"119,769","116,407","164,330",,,,,,
06260,COLORADO,HINSDALE,0,0,"7,341",,,,,,
06270,COLORADO,HUERFANO,"509,067","499,974","295,316",,,,,,
06280,COLORADO,JACKSON,"14,855","14,738","15,403",,,,,,
06290,COLORADO,JEFFERSON,"3,752,502","3,680,037","2,961,694",,,,,,
06300,COLORADO,KIOWA,0,0,"12,997",,,,,,
06310,COLORADO,KIT CARSON,"72,543","72,104","141,441",,,,,,
06320,COLORADO,LAKE,"199,932","194,377","151,280",,,,,,
06330,COLORADO,LA PLATA,"1,623,477","1,622,680","1,272,816",,,,,,
06340,COLORADO,LARIMER,"1,775,670","1,761,361","1,241,511",,,,,,
06350,COLORADO,LAS ANIMAS,"651,443","643,510","355,990",,,,,,
06360,COLORADO,LINCOLN,"107,592","107,177","125,289",,,,,,
06370,COLORADO,LOGAN,"312,980","312,481","209,613",,,,,,
06380,COLORADO,MESA,"19,557,350","19,266,669","10,215,125",,,,,,
06390,COLORADO,MINERAL,"53,921","53,921","22,609",,,,,,
06400,COLORADO,MOFFAT,"425,485","417,714","388,240",,,,,,
06410,COLORADO,MONTEZUMA,"1,059,081","1,045,817","833,060",,,,,,
06420,COLORADO,MONTROSE,"2,807,477","2,779,538","2,176,171",,,,,,
06430,COLORADO,MORGAN,"609,255","597,784","316,793",,,,,,
06440,COLORADO,OTERO,"464,441","463,474","269,803",,,,,,
06450,COLORADO,OURAY,"354,476","354,032","156,322",,,,,,
06460,COLORADO,PARK,"111,249","110,670","101,048",,,,,,
06470,COLORADO,PHILLIPS,"258,260","239,240","101,683",,,,,,
06480,COLORADO,PITKIN,"142,455","142,164","124,289",,,,,,
06490,COLORADO,PROWERS,"149,357","144,509","140,468",,,,,,
06500,COLORADO,PUEBLO,"4,010,787","3,948,454","2,414,520",,,,,,
06510,COLORADO,RIO BLANCO,"593,587","589,783","484,029",,,,,,
06520,COLORADO,RIO GRANDE,"918,063","906,535","589,036",,,,,,
06530,COLORADO,ROUTT,"175,685","172,167","258,717",,,,,,
06540,COLORADO,SAGUACHE,"381,979","370,683","305,121",,,,,,
06550,COLORADO,SAN JUAN,0,0,910,,,,,,
06560,COLORADO,SAN MIGUEL,"276,857","264,335","118,431",,,,,,
06570,COLORADO,SEDGWICK,"23,527","23,095","108,828",,,,,,
06580,COLORADO,SUMMIT,"392,558","388,658","208,705",,,,,,
06590,COLORADO,TELLER,"119,022","118,831","89,339",,,,,,
06600,COLORADO,WASHINGTON,"55,204","54,872","41,057",,,,,,
06610,COLORADO,WELD,"1,960,128","1,944,027","1,465,315",,,,,,
06620,COLORADO,YUMA,"23,547","23,547","112,460",,,,,,
06630,COLORADO,BROOMFIELD,"425,048","420,900","326,860",,,,,,
07000,CONNECTICUT,FAIRFIELD,"24,819","24,702","21,750",,,,,,
07010,CONNECTICUT,HARTFORD,"69,071","68,529","25,995",,,,,,
07020,CONNECTICUT,LITCHFIELD,0,0,294,,,,,,
07030,CONNECTICUT,MIDDLESEX,0,0,"1,211",,,,,,
07040,CONNECTICUT,NEW HAVEN,"32,469","31,967","19,367",,,,,,
07050,CONNECTICUT,NEW LONDON,0,0,0,,,,,,
07060,CONNECTICUT,TOLLAND,"27,871","27,871","23,053",,,,,,
07070,CONNECTICUT,WINDHAM,0,0,0,,,,,,
08000,DELAWARE,KENT,"12,696","12,650","8,462",,,,,,
08010,DELAWARE,NEW CASTLE,"34,456","31,256","7,279",,,,,,
08020,DELAWARE,SUSSEX,"49,783","49,422","35,083",,,,,,
09000,DISTRICT OF COLUMBIA,THE DISTRICT,"16,108,442","15,400,560","4,684,812",,,,,,
10000,FLORIDA,ALACHUA,"43,048","43,048","7,390",,,,,,
10010,FLORIDA,BAKER,0,0,0,,,,,,
10020,FLORIDA,BAY,"53,776","53,691","26,152",,,,,,
10030,FLORIDA,BRADFORD,0,0,0,,,,,,
10040,FLORIDA,BREVARD,"153,057","152,725","98,633",,,,,,
10050,FLORIDA,BROWARD,"84,564","81,350","105,164",,,,,,
10060,FLORIDA,CALHOUN,"4,167","4,167","2,485",,,,,,
10070,FLORIDA,CHARLOTTE,"140,232","137,893","138,579",,,,,,
10080,FLORIDA,CITRUS,"48,560","48,474","24,428",,,,,,
10090,FLORIDA,CLAY,-510,-379,"45,697",,,,,,
10100,FLORIDA,COLLIER,"105,415","104,958","109,532",,,,,,
10110,FLORIDA,COLUMBIA,"27,425","27,425","18,576",,,,,,
10120,FLORIDA,MIAMI-DADE,"27,089","25,775","12,017",,,,,,
10130,FLORIDA,DE SOTO,"43,736","43,674","5,505",,,,,,
10140,FLORIDA,DIXIE,"5,333","5,333","4,238",,,,,,
10150,FLORIDA,DUVAL,"129,104","127,531","35,420",,,,,,
10160,FLORIDA,ESCAMBIA,0,0,"16,268",,,,,,
10170,FLORIDA,FLAGLER,"134,631","134,375","21,386",,,,,,
10180,FLORIDA,FRANKLIN,0,0,0,,,,,,
10190,FLORIDA,GADSDEN,0,0,0,,,,,,
10200,FLORIDA,GILCHRIST,0,0,0,,,,,,
10210,FLORIDA,GLADES,0,0,0,,,,,,
10220,FLORIDA,GULF,0,0,0,,,,,,
10230,FLORIDA,HAMILTON,0,0,0,,,,,,
10240,FLORIDA,HARDEE,0,0,515,,,,,,
10250,FLORIDA,HENDRY,"3,518","3,518","10,772",,,,,,
10260,FLORIDA,HERNANDO,"4,676","4,676","40,484",,,,,,
10270,FLORIDA,HIGHLANDS,"66,733","66,733","31,790",,,,,,
10280,FLORIDA,HILLSBOROUGH,"305,266","303,992","107,444",,,,,,
10290,FLORIDA,HOLMES,0,0,0,,,,,,
10300,FLORIDA,INDIAN RIVER,"128,691","118,653","50,966",,,,,,
10310,FLORIDA,JACKSON,0,0,"1,618",,,,,,
10320,FLORIDA,JEFFERSON,0,0,0,,,,,,
10330,FLORIDA,LAFAYETTE,0,0,0,,,,,,
