AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
03070,ARIZONA,MOHAVE,-2776365.4,-2868723.28,-2767085.57,-1544830.58,-422948.56,-1572084
03080,ARIZONA,NAVAJO,-172349.44,-267703.89,-209766.79,-108457.21,-235771.26,-775501.07
03090,ARIZONA,PIMA,-6245410.35,-5789973.12,-7059574.33,-3803386.31,-2019164.51,-7128636.19
03100,ARIZONA,PINAL,-2330491.33,-2809265.67,-2891246,-1682675.63,-724931.07,-2422581.27
03110,ARIZONA,SANTA CRUZ,-259189.54,-272790.36,-303157.5,-206383.32,-57905.87,-233533.29
03120,ARIZONA,YAVAPAI,-2423515.21,-2894593.75,-2105785.5,-1024334.67,-297443.39,-1167021.77
03130,ARIZONA,YUMA,-548233.42,-894119.69,-732239.33,-480304.59,-110752.68,-423473.55
04000,ARKANSAS,ARKANSAS,-375079.62,-319243.06,-283895.77,-192256.45,-37850.1,-135779.48
04010,ARKANSAS,ASHLEY,-222250.82,-180042.76,-203974.31,-142483.05,-31107.72,-111047.17
04020,ARKANSAS,BAXTER,-526763.6,-637423.36,-452429.99,-271656.77,-31841.47,-206295.09
04030,ARKANSAS,BENTON,-904329.55,-935903.34,-819175.02,-441373.41,-177961.69,-685531.03
04040,ARKANSAS,BOONE,-600281.04,-681063.19,-736640.27,-496907.66,-67961.9,-245844.46
04050,ARKANSAS,BRADLEY,-91026.21,-84692.59,-91080.6,-87463.23,-19638.05,-60049.23
04060,ARKANSAS,CALHOUN,-43025.99,-31022.68,-30656.04,-26698.63,-5580.55,-16987.47
04070,ARKANSAS,CARROLL,-163141.97,-177046.75,-165748.68,-109929.83,-29935.28,-103420.48
04080,ARKANSAS,CHICOT,-188005.54,-163374.49,-161955.97,-128334.77,-23364.01,-97907.92
04090,ARKANSAS,CLARK,-169179.67,-198893.43,-175542.17,-137535.03,-33602.92,-89673.35
04100,ARKANSAS,CLAY,-412933.67,-443767.81,-413191.63,-242167.03,-48760.95,-152906.62
04110,ARKANSAS,CLEBURNE,-436942.81,-480753.99,-447506.42,-270012.32,-59891.35,-199964.76
04120,ARKANSAS,CLEVELAND,-44951.71,-21488.43,-42161.39,-26003.43,-8211.95,-29763.06
04130,ARKANSAS,COLUMBIA,-353493.71,-372262.34,-258482.4,-177534.66,-39750.46,-161590.98
04140,ARKANSAS,CONWAY,-254350.37,-225079.5,-228348.47,-215156.88,-38390.29,-141105.08
04150,ARKANSAS,CRAIGHEAD,-1399012.81,-1289402.49,-1301419.13,-911398.38,-194050.53,-735348.89
04160,ARKANSAS,CRAWFORD,-571850.42,-475031.09,-413971.79,-336755.85,-114092.94,-406803.87
04170,ARKANSAS,CRITTENDEN,-1405705.43,-1489512.95,-1357273.34,-964767.67,-256138.73,-758297.45
04180,ARKANSAS,CROSS,-263372.58,-213162.45,-218767.55,-160923.12,-49920.34,-158501.46
04190,ARKANSAS,DALLAS,-66934.56,-83968.68,-68167.97,-68873.58,-4257.84,-48078.44
04200,ARKANSAS,DESHA,-74481.51,-81049.32,-101383.73,-46308.86,-22547.32,-55951.03
04210,ARKANSAS,DREW,-152952.19,-150197.53,-173430.14,-99673.13,-24988.08,-108225.63
04220,ARKANSAS,FAULKNER,-662611.97,-617687.94,-789815.82,-581542.95,-159794.51,-579523.96
04230,ARKANSAS,FRANKLIN,-156153.1,-127024.72,-128390.26,-101113.76,-30949.31,-143295.82
04240,ARKANSAS,FULTON,-119593.36,-117533.34,-102928.46,-74414.58,-15819.52,-56166.29
04250,ARKANSAS,GARLAND,-1316234.63,-1816069.48,-1345079.21,-778410.31,-238684.02,-910702.68
04260,ARKANSAS,GRANT,-151607.65,-178506.61,-172170.44,-100735.46,-27452.74,-138452.47
04270,ARKANSAS,GREENE,-908444.78,-898126.34,-784367.61,-489223.61,-81910.59,-345241.58
04280,ARKANSAS,HEMPSTEAD,-51431.24,-41814.01,-203482.93,-135252.56,-7817.33,-29080.95
04290,ARKANSAS,HOT SPRING,-210692.83,-343759.6,-175422.6,-170525.71,-1321.01,22250.74
04300,ARKANSAS,HOWARD,-112920.3,-185173.83,-150819.15,-124321.17,-19975.33,-81474.57
04310,ARKANSAS,INDEPENDENCE,-1302100.32,-1345474.09,-1102068.54,-790928.73,-127155.4,-536802.93
04320,ARKANSAS,IZARD,-273343.68,-280725.05,-241060.72,-186618.59,-27733.59,-106264.54
04330,ARKANSAS,JACKSON,-396230.89,-317213.97,-315231.86,-239220.14,-31983.81,-155942.84
04340,ARKANSAS,JEFFERSON,-222049.12,-319753.72,-283597.85,-221642.63,-55840.22,-240469.71
04350,ARKANSAS,JOHNSON,-300464.96,-298781.77,-267364.18,-168519.41,-47176.25,-188216.44
04360,ARKANSAS,LAFAYETTE,-98721.76,-129241.63,-93171.26,-93783.96,-11302.14,-47568.1
04370,ARKANSAS,LAWRENCE,-430657.77,-368103.57,-393168.12,-214611.44,-41725.37,-175335.28
04380,ARKANSAS,LEE,-121472.08,-103870.77,-72278.03,4887.65,-30707.75,-102910.96
04390,ARKANSAS,LINCOLN,-36471.6,-40252.45,-47238.75,-50411.78,-5696.4,-31549.83
04400,ARKANSAS,LITTLE RIVER,-159454.68,-193067.23,-219045.86,-167295.06,-33101.55,-109545.41
04410,ARKANSAS,LOGAN,-205998.86,-177092.25,-172192.08,-141320.3,-37844.89,-178077.33
04420,ARKANSAS,LONOKE,-679879.27,-541829.32,-592089.99,-358112.47,-103317.06,-394959.27
04430,ARKANSAS,MADISON,-96879.9,-105869.17,-83547.6,-69189.37,-18136.15,-76736.14
04440,ARKANSAS,MARION,-137345.25,-208119.85,-133087.92,-101804.17,-16404.63,-76674
04450,ARKANSAS,MILLER,-450730.78,-634983.4,-618825.58,-437671.66,-73140.06,-293588.76
04460,ARKANSAS,MISSISSIPPI,-653429.46,-892961.06,-746909.52,-615057.05,-164652.8,-617466.48
04470,ARKANSAS,MONROE,-220699.9,-195020.61,-145818.76,-101834.37,-23125.58,-88416.65
04480,ARKANSAS,MONTGOMERY,-79436.96,-144915.11,-112835.87,-45852.17,-15230.47,-63029.58
04490,ARKANSAS,NEVADA,-64245.3,-104315.69,-40257.07,-37282.59,-2868.27,-7182.03
04500,ARKANSAS,NEWTON,-97185.39,-121253.77,-119420.22,-67439.93,-7701.21,-40764.57
04510,ARKANSAS,OUACHITA,-349697.27,-295418.64,-265476.74,-175339.34,-44043.19,-147090.24
04520,ARKANSAS,PERRY,-126546.55,-92451.69,-111096.32,-70714.83,-17127.29,-83361.99
04530,ARKANSAS,PHILLIPS,-403141.24,-346760,-266526.9,-162028.98,-62938.04,-250351.63
04540,ARKANSAS,PIKE,-76381.8,-167266.34,-127655.97,-67760.16,-22005.52,-75399.5
04550,ARKANSAS,POINSETT,-540272.84,-523707.25,-410224.21,-263543.42,-69886.57,-261940.65
04560,ARKANSAS,POLK,-110392.8,-161181.14,-101846.52,-85744.2,-39178.31,-138214.59
04570,ARKANSAS,POPE,-849901.97,-704060.98,-707144.87,-512027.66,-55087.92,-181869.79
04580,ARKANSAS,PRAIRIE,-207703.92,-155917.66,-197079.01,-88902.97,-23507.71,-78692.65
04590,ARKANSAS,PULASKI,-3992785.26,-3942827.38,-3749018.44,-2577837.75,-903983.92,-3288311.62
04600,ARKANSAS,RANDOLPH,-309478.36,-287121.47,-220137.99,-143847.64,-42347.38,-162986.21
04610,ARKANSAS,ST. FRANCIS,-229049.03,-212135.71,-190131.94,-99925.26,-102060.24,-328841.14
04620,ARKANSAS,SALINE,-593453.66,-641281.91,-665641.6,-390658.05,-134115.67,-424729.31
04630,ARKANSAS,SCOTT,-117013.98,-79801.19,-126520.04,-44873.53,-20191.39,-77275.4
04640,ARKANSAS,SEARCY,-99603.54,-95024.14,-129132.67,-75846.83,-12199.01,-57184.22
04650,ARKANSAS,SEBASTIAN,-1222350.37,-978572.16,-788812.31,-706286.65,-263186.12,-1009993.36
04660,ARKANSAS,SEVIER,-117082.29,-183557.12,-171709.95,-112794.21,-20062.26,-63180.91
04670,ARKANSAS,SHARP,-610363.99,-665732.25,-591699.16,-356238.7,-62025.59,-251371.29
04680,ARKANSAS,STONE,-235500.94,-260282.83,-207299.1,-162795.45,-19167.76,-103050.49
04690,ARKANSAS,UNION,-219453.67,-301501.53,-278146.52,-181470,-33389.41,-140393.51
04700,ARKANSAS,VAN BUREN,-212671.62,-188663.81,-205982.03,-147190.33,-26566.19,-104137.88
04710,ARKANSAS,WASHINGTON,-744709.2,-672377.62,-701502.87,-486540.96,-178875.32,-651874.49
04720,ARKANSAS,WHITE,-1464521.47,-1395127.9,-1642318.66,-984001.79,-127221.55,-584450.78
04730,ARKANSAS,WOODRUFF,-177528.5,-138266.68,-178579.36,-115029.74,-13409.75,-87278.43
04740,ARKANSAS,YELL,-331633.78,-403763.63,-345217.66,-195373.52,-29399.23,-97119.89
05000,CALIFORNIA,ALAMEDA,-21690495.09,-22270298.55,-20975745.31,-15985389.31,-2118937.46,-7192945.64
05010,CALIFORNIA,ALPINE,-4116.59,-7695.35,-2860.55,-21325.37,-794.37,-3142.63
05020,CALIFORNIA,AMADOR,-855207.49,-910754.98,-1125205.36,-893443.49,-87480.46,-254616.16
