AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
03000,ARIZONA,APACHE,"13,782","5,363","-4,464","-88,687","-18,153"
03010,ARIZONA,COCHISE,"135,304","159,795","104,712","-277,404","290,474"
03020,ARIZONA,COCONINO,"-376,313","-377,674","-369,313","-331,737","-294,637"
03030,ARIZONA,GILA,"-271,827","-332,685","-330,754","-301,230","-156,763"
03040,ARIZONA,GRAHAM,"44,377","40,973","23,788","-72,964","52,862"
03050,ARIZONA,GREENLEE,"7,121","6,886","3,314","-16,569","12,352"
03055,ARIZONA,LAPAZ,"64,685","47,611","36,017","-94,189","7,468"
03060,ARIZONA,MARICOPA,"-497,341","-178,353","89,663","-1,436,959","-258,521"
03070,ARIZONA,MOHAVE,"117,861","168,073","-28,895","48,078","527,073"
03080,ARIZONA,NAVAJO,"84,655","65,220","29,362","-261,588","34,439"
03090,ARIZONA,PIMA,"287,542","588,349","324,317","-1,374,865","1,856,551"
03100,ARIZONA,PINAL,"14,731","48,486","93,051","-97,861","36,995"
03110,ARIZONA,SANTA CRUZ,"8,393","22,462","21,477","-49,778","55,864"
03120,ARIZONA,YAVAPAI,"-488,302","-1,549,737","-1,555,797","-1,065,886","-313,026"
03130,ARIZONA,YUMA,"677,753","647,834","517,564","-30,032","529,044"
04000,ARKANSAS,ARKANSAS,"-40,829","-30,845","-30,859","-30,468","-33,391"
04010,ARKANSAS,ASHLEY,"-52,299","-55,153","-51,860","-46,063","-40,553"
04020,ARKANSAS,BAXTER,"-141,030","-105,166","-118,751","-106,207","-88,895"
04030,ARKANSAS,BENTON,"-71,086","-72,503","-476,766","-542,554","-281,597"
04040,ARKANSAS,BOONE,"17,827","-31,066","-127,783","-124,618","5,139"
04050,ARKANSAS,BRADLEY,"-17,330","-17,132","-18,342","-16,510","-15,666"
04060,ARKANSAS,CALHOUN,"-9,094","-10,913","-12,892","-8,610","-8,800"
04070,ARKANSAS,CARROLL,"-11,696","-12,336","-56,185","-55,553","-23,235"
04080,ARKANSAS,CHICOT,"-23,107","-22,123","-19,654","-16,500","-15,260"
04090,ARKANSAS,CLARK,"-38,557","-43,161","-38,390","-24,336","-8,171"
04100,ARKANSAS,CLAY,"-40,250","-46,991","-33,885","-28,565","-38,854"
04110,ARKANSAS,CLEBURNE,"-58,099","-52,827","-71,307","-57,956","-54,361"
04120,ARKANSAS,CLEVELAND,"-15,392","-14,769","-18,509","-17,405","-14,833"
04130,ARKANSAS,COLUMBIA,"-73,389","-73,156","-72,315","-66,815","-60,287"
04140,ARKANSAS,CONWAY,"-35,592","-34,765","-37,199","-34,587","-32,961"
04150,ARKANSAS,CRAIGHEAD,"-79,537","-60,614","-32,064","-35,874","-120,804"
04160,ARKANSAS,CRAWFORD,"-42,151","26,782",-298,"-37,056","10,582"
04170,ARKANSAS,CRITTENDEN,"-84,209","-95,369","-93,960","-63,886","-55,754"
04180,ARKANSAS,CROSS,"-18,508","-18,835","-15,049","-11,788","-19,734"
04190,ARKANSAS,DALLAS,"-14,957","-15,931","-14,980","-11,104","-12,305"
04200,ARKANSAS,DESHA,"-25,757","-23,286","-22,363","-20,175","-20,029"
04210,ARKANSAS,DREW,"-28,415","-26,218","-20,452","-23,951","-18,688"
04220,ARKANSAS,FAULKNER,"-180,180","-167,559","-162,182","-169,364","-159,036"
04230,ARKANSAS,FRANKLIN,"8,606","20,801","9,819",-987,"17,848"
04240,ARKANSAS,FULTON,"-26,165","-25,219","-30,020","-30,433","-26,182"
04250,ARKANSAS,GARLAND,"-602,369","-644,432","-540,765","-234,330","72,992"
04260,ARKANSAS,GRANT,"-35,000","-37,185","-35,278","-32,660","-30,504"
04270,ARKANSAS,GREENE,"-113,400","-101,506","-81,739","-74,339","-103,032"
04280,ARKANSAS,HEMPSTEAD,"-42,595","-22,558","-26,652","-32,739","-21,470"
