"DISABLED - PUERTO RICO - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B . REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
40570,PUERTO RICO,QUEBRADILLAS,449,"371,223",68.90,"358,473",66.53,"3,709","4,018","5,022",94,"162,478",144.04,0.939,
40580,PUERTO RICO,RINCON,155,"88,467",47.56,"81,276",43.70,"2,328",461,"4,401",44,"76,510",144.91,0.900,
40590,PUERTO RICO,RIO GRANDE,248,"189,467",63.66,"180,164",60.54,"2,316",716,"6,271",46,"83,720",151.67,0.933,
40610,PUERTO RICO,SABANA GRANDE,243,"193,277",66.28,"177,465",60.86,"4,000","1,484","10,327",62,"97,523",131.08,1.065,
40620,PUERTO RICO,SALINAS,655,"693,074",88.18,"646,469",82.25,"12,682","11,373","22,548",188,"384,875",170.60,0.919,
40630,PUERTO RICO,SAN GERMAN,273,"322,798",98.53,"306,701",93.62,"5,501","2,324","8,270",80,"312,882",325.92,0.929,
40640,PUERTO RICO,SAN JUAN,"3,851","4,688,140",101.45,"4,442,156",96.13,"78,470","41,800","125,714","1,139","2,486,879",181.95,1.001,
40650,PUERTO RICO,SAN LORENZO,556,"468,146",70.17,"460,124",68.96,"1,442","4,867","1,712",158,"347,443",183.25,0.962,
40660,PUERTO RICO,SAN SEBASTIAN,429,"447,408",86.91,"419,044",81.40,"10,366","4,218","13,779",117,"241,828",172.24,0.967,
40670,PUERTO RICO,SANTA ISABEL,270,"179,680",55.46,"160,606",49.57,"5,190","2,273","11,610",55,"73,593",111.50,0.984,
40680,PUERTO RICO,TOA ALTA,730,"827,631",94.48,"784,082",89.51,"15,504","13,536","14,507",192,"281,299",122.09,0.912,
40690,PUERTO RICO,TOA BAJA,283,"237,346",69.89,"217,695",64.10,"7,675","2,258","9,717",83,"120,684",121.17,0.992,
40700,PUERTO RICO,TRUJILLO ALTO,476,"343,300",60.10,"324,082",56.74,"5,567","1,611","12,038",137,"377,678",229.73,0.966,
40710,PUERTO RICO,UTUADO,319,"180,323",47.11,"177,749",46.43,810,"1,333",430,51,"71,751",117.24,0.905,
40720,PUERTO RICO,VEGA ALTA,450,"292,124",54.10,"278,296",51.54,"4,815","2,264","6,748",115,"190,775",138.24,1.021,
40730,PUERTO RICO,VEGA BAJA,863,"882,146",85.18,"850,962",82.17,"13,157","9,180","8,845",270,"538,617",166.24,0.976,
40740,PUERTO RICO,VIEQUES,397,"518,315",108.80,"484,885",101.78,"13,382","6,566","13,482",117,"225,485",160.60,0.881,
40750,PUERTO RICO,VILLALBA,360,"399,923",92.57,"362,935",84.01,"14,438","2,633","19,915",79,"180,467",190.37,1.027,
40760,PUERTO RICO,YABUCOA,801,"421,577",43.86,"395,518",41.15,"14,003","4,474","7,581",180,"236,565",109.52,0.923,
40770,PUERTO RICO,YAUCO,539,"600,403",92.83,"559,631",86.52,"11,631","4,550","24,590",131,"339,549",216.00,0.965,
,,,,,,,,,,,,,,,
