DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
04510,ARKANSAS,OUACHITA,"-40,889","-29,119","-34,714","-26,184","-18,122"
04520,ARKANSAS,PERRY,"-33,952","-28,484","-16,352","-11,751","-12,310"
04530,ARKANSAS,PHILLIPS,"-39,133","-29,172","-35,725","-27,023","-32,130"
04540,ARKANSAS,PIKE,"-27,385","-27,876","-23,700","-10,036",-97
04550,ARKANSAS,POINSETT,"-64,252","-54,109","-41,430","-20,643","-36,375"
04560,ARKANSAS,POLK,"-34,531","-39,033","-23,552","-10,532","1,049"
04570,ARKANSAS,POPE,"-110,268","-98,483","-100,760","-91,392","-66,119"
04580,ARKANSAS,PRAIRIE,"-28,282","-12,715","-16,161","-7,592","-9,667"
04590,ARKANSAS,PULASKI,"-918,021","-821,983","-791,995","-680,978","-580,127"
04600,ARKANSAS,RANDOLPH,"-32,149","-25,575","-17,666","-15,193","-24,396"
04610,ARKANSAS,ST. FRANCIS,"-77,193","-61,851","-44,442","-37,910","-38,085"
04620,ARKANSAS,SALINE,"-142,612","-121,803","-105,811","-97,389","-78,435"
04630,ARKANSAS,SCOTT,"-3,181","7,399","14,348","14,509","12,071"
04640,ARKANSAS,SEARCY,"-7,304","-9,022","-17,823","-9,717","-8,640"
04650,ARKANSAS,SEBASTIAN,"-86,973","35,419","12,372","-25,119","76,103"
04660,ARKANSAS,SEVIER,"-29,595","-22,941","-21,996","-22,301","-12,315"
04670,ARKANSAS,SHARP,"-32,134","-18,806","-16,611","-9,617","-9,838"
04680,ARKANSAS,STONE,"-10,192","-12,092","-9,871","-6,019","-8,615"
04690,ARKANSAS,UNION,"-44,670","-47,800","-49,154","-35,893","-29,188"
04700,ARKANSAS,VAN BUREN,"-38,254","-23,143","-29,160","-21,985","-16,553"
04710,ARKANSAS,WASHINGTON,"-81,339","-77,386","-358,547","-328,985","-163,843"
04720,ARKANSAS,WHITE,"-71,879","-75,303","-74,060","-59,560","-48,170"
04730,ARKANSAS,WOODRUFF,"-9,099","-8,461","-6,489","-10,525","-8,560"
04740,ARKANSAS,YELL,"-36,049","-44,466","-36,699","-38,938","-26,489"
05000,CALIFORNIA,ALAMEDA,"3,924,772","3,871,306","3,396,688","2,006,084","1,471,943"
05010,CALIFORNIA,ALPINE,"1,014",-720,"1,688",-29,"-4,082"
05020,CALIFORNIA,AMADOR,"347,320","376,131","463,840","267,878","49,347"
05030,CALIFORNIA,BUTTE,"1,845,799","1,922,889","1,814,372","1,340,793","902,294"
05040,CALIFORNIA,CALAVERAS,"171,316","302,850","296,862","146,050","39,401"
05050,CALIFORNIA,COLUSA,"78,854","84,051","95,664","46,613","53,540"
05060,CALIFORNIA,CONTRA COSTA,"2,486,036","2,922,216","2,979,931","1,669,350","1,089,634"
05070,CALIFORNIA,DEL NORTE,"83,081","81,992","68,105","68,921","53,617"
05080,CALIFORNIA,EL DORADO,"768,661","1,025,141","952,221","602,483","241,962"
05090,CALIFORNIA,FRESNO,"4,236,102","3,781,419","3,535,241","2,438,106","1,579,526"
05100,CALIFORNIA,GLENN,"154,964","145,041","140,517","121,058","64,257"
05110,CALIFORNIA,HUMBOLDT,"615,101","407,821","249,499","469,633","208,692"
05120,CALIFORNIA,IMPERIAL,"745,918","753,459","672,173","421,406","226,325"
05130,CALIFORNIA,INYO,"24,446","27,927","38,481","11,011","-5,885"
05140,CALIFORNIA,KERN,"4,073,111","3,610,316","3,219,894","2,445,045","1,649,924"
05150,CALIFORNIA,KINGS,"523,992","544,279","514,940","341,685","208,051"
05160,CALIFORNIA,LAKE,"440,594","361,024","289,185","126,878","171,443"
05170,CALIFORNIA,LASSEN,"34,107","6,352","-4,559","-8,540","-70,595"
05200,CALIFORNIA,LOS ANGELES,"31,443,169","28,737,692","24,948,808","18,682,053","11,410,136"
05300,CALIFORNIA,MADERA,"487,926","491,839","505,520","304,720","213,528"
05310,CALIFORNIA,MARIN,"547,284","563,908","545,910","393,891","228,882"
05320,CALIFORNIA,MARIPOSA,"82,373","51,939","57,304","35,865","16,152"
05330,CALIFORNIA,MENDOCINO,"148,002","446,291","381,765","255,904","117,386"
05340,CALIFORNIA,MERCED,"952,559","868,518","696,924","362,011","215,869"
05350,CALIFORNIA,MODOC,"26,811","26,196","18,526","9,908","-11,350"
05360,CALIFORNIA,MONO,"17,254","20,562","13,485","1,643","-8,175"
05370,CALIFORNIA,MONTEREY,"1,142,963","809,450","752,563","464,530","546,491"
05380,CALIFORNIA,NAPA,"401,828","340,480","246,018","111,358","64,458"
05390,CALIFORNIA,NEVADA,"710,507","664,581","555,369","385,132","179,650"
05400,CALIFORNIA,ORANGE,"5,236,703","4,465,398","4,501,260","3,006,366","1,914,413"
05410,CALIFORNIA,PLACER,"1,399,387","1,382,349","1,571,927","874,782","520,216"
05420,CALIFORNIA,PLUMAS,"54,584","70,104","98,380",-181,"-60,057"
05430,CALIFORNIA,RIVERSIDE,"5,912,919","5,653,175","5,220,237","3,476,260","2,084,301"
05440,CALIFORNIA,SACRAMENTO,"8,804,344","9,571,219","10,103,195","6,055,589","2,995,619"
05450,CALIFORNIA,SAN BENITO,"161,491","111,610","93,893","49,780","74,847"
05460,CALIFORNIA,SAN BERNARDINO,"6,363,324","5,410,508","5,429,045","3,710,385","2,367,521"
05470,CALIFORNIA,SAN DIEGO,"9,306,946","8,945,342","8,135,162","5,596,275","3,422,303"
05480,CALIFORNIA,SAN FRANCISCO,"3,482,396","3,389,998","3,264,681","2,210,205","1,199,188"
05490,CALIFORNIA,SAN JOAQUIN,"4,610,744","4,098,467","3,943,258","2,703,357","621,794"
05500,CALIFORNIA,SAN LUIS OBISPO,"782,435","578,733","596,949","477,086","318,847"
05510,CALIFORNIA,SAN MATEO,"1,033,522","815,092","814,918","554,176","386,441"
05520,CALIFORNIA,SANTA BARBARA,"1,182,818","1,258,661","1,130,383","789,529","534,501"
05530,CALIFORNIA,SANTA CLARA,"3,235,714","2,420,924","1,753,919","959,127","854,030"
05540,CALIFORNIA,SANTA CRUZ,"1,071,429","913,872","608,381","346,489","363,233"
05550,CALIFORNIA,SHASTA,"1,242,086","857,081","207,523","710,719","140,920"
05560,CALIFORNIA,SIERRA,"1,376","17,461","1,864",802,"2,880"
05570,CALIFORNIA,SISKIYOU,"103,123","182,888","109,860","112,178","78,740"
05580,CALIFORNIA,SOLANO,"994,875","1,102,857","1,060,681","579,254","312,474"
05590,CALIFORNIA,SONOMA,"1,613,711","1,528,997","1,277,372","713,112","523,234"
05600,CALIFORNIA,STANISLAUS,"1,592,829","1,519,867","932,965","164,157","-369,816"
05610,CALIFORNIA,SUTTER,"355,607","820,984","801,053","195,474","101,715"
05620,CALIFORNIA,TEHAMA,"289,641","216,617","169,966","138,777","67,403"
05630,CALIFORNIA,TRINITY,"205,074","120,112","34,270","98,562","28,729"
05640,CALIFORNIA,TULARE,"1,869,837","1,934,114","1,529,881","1,069,952","717,752"
05650,CALIFORNIA,TUOLUMNE,"195,503","178,689","105,074","102,470","33,826"
05660,CALIFORNIA,VENTURA,"2,059,586","1,430,764","689,270","734,979","386,852"
05670,CALIFORNIA,YOLO,"816,724","719,657","656,737","340,853","242,062"
05680,CALIFORNIA,YUBA,"307,652","718,560","639,136","220,863","93,546"
06000,COLORADO,ADAMS,"-484,411","-516,658","-388,510","-293,281","-243,798"
06010,COLORADO,ALAMOSA,"-3,483","-4,344","-9,250","-8,826","-3,722"
06020,COLORADO,ARAPAHOE,"-672,755","-710,803","-552,698","-396,228","-305,042"
06030,COLORADO,ARCHULETA,"-3,103","1,791","-2,007","5,257","1,982"
06040,COLORADO,BACA,"-3,577","-8,765","-3,689","-4,116","-1,773"
06050,COLORADO,BENT,"-1,161","-4,292","-6,203","-4,768","2,536"
06060,COLORADO,BOULDER,"-211,843","-214,766","-187,617","-159,693","-26,323"
06070,COLORADO,CHAFFEE,"-4,955","-18,081","-16,133",-301,"-5,731"
06080,COLORADO,CHEYENNE,"-3,551",-315,"-1,466",-889,"-1,861"
06090,COLORADO,CLEAR CREEK,"-5,561","-10,266","-5,461","-5,636","-2,417"
06100,COLORADO,CONEJOS,"-3,990","-3,604","-4,407","-2,409","-7,377"
06110,COLORADO,COSTILLA,"-6,018","-2,215","-2,076","-2,824","-2,883"
06120,COLORADO,CROWLEY,-898,"-3,880","-4,491","-5,042",288
06130,COLORADO,CUSTER,865,"-3,071","-10,488","-2,583","-3,292"
06140,COLORADO,DELTA,"-9,306","-17,062","-13,771","-7,755","-1,673"
06150,COLORADO,DENVER,"-965,959","-944,011","-746,939","-551,681","-424,085"
06160,COLORADO,DOLORES,0,-60,-814,-188,0
06170,COLORADO,DOUGLAS,"-90,884","-93,685","-84,542","-56,037","-34,951"
06180,COLORADO,EAGLE,"-13,721","-5,420","-7,797","-6,176","2,485"
06190,COLORADO,ELBERT,"-24,961","-30,364","-22,458","-21,716","-12,595"
06200,COLORADO,EL PASO,"-444,955","-410,368","-360,414","-446,496","-198,279"
06210,COLORADO,FREMONT,"-31,286","-25,199","-35,709","-40,092","-24,633"
06220,COLORADO,GARFIELD,"-13,475","-3,866","-3,295","-3,790","-3,900"
06230,COLORADO,GILPIN,"-3,111","-4,871","-3,677","-2,677","-2,983"
06240,COLORADO,GRAND,"-7,626","-8,034","-14,498","-5,111","-3,675"
06250,COLORADO,GUNNISON,"-5,074","-3,035","-2,417",-976,"-2,321"
06260,COLORADO,HINSDALE,0,-616,0,-847,0
06270,COLORADO,HUERFANO,"-4,567","-8,018","-7,731","-6,078",-739
06280,COLORADO,JACKSON,-714,"-5,613",-521,-717,-366
06290,COLORADO,JEFFERSON,"-506,231","-541,405","-413,149","-302,872","-233,568"
06300,COLORADO,KIOWA,"-1,340","-2,890","-1,014",0,-115
06310,COLORADO,KIT CARSON,"-7,468","-4,852","-10,778","-9,182","-4,460"
06320,COLORADO,LAKE,"-3,299","-13,582","-5,177","-3,346","-6,282"
06330,COLORADO,LA PLATA,"-3,914","-15,959","-18,936","-11,515","-7,125"
06340,COLORADO,LARIMER,"-47,765","25,390","-47,341","-83,417","124,520"
06350,COLORADO,LAS ANIMAS,"-16,334","-9,789","-15,484","-16,228",651
06360,COLORADO,LINCOLN,"-11,482","-13,987","-6,449","-9,084","-3,012"
06370,COLORADO,LOGAN,"-4,728",232,"-9,692","-7,382","-5,873"
06380,COLORADO,MESA,"-41,760","-43,846","-29,649","-35,198","-11,583"
06390,COLORADO,MINERAL,*,*,*,*,*
06400,COLORADO,MOFFAT,"1,238","-3,376","-4,104","3,735",624
06410,COLORADO,MONTEZUMA,"-5,152","-1,340","-5,634","-7,918","-6,226"
06420,COLORADO,MONTROSE,"-3,435",744,"-18,243","2,166","-5,740"
06430,COLORADO,MORGAN,"-20,486","-14,128","-11,167","-10,741","-6,197"
06440,COLORADO,OTERO,"-6,924","-13,241","-20,477","-14,632","-1,993"
06450,COLORADO,OURAY,"1,144","-1,720","-5,694","-1,889",-646
06460,COLORADO,PARK,"-13,034","-27,231","-11,472","-8,740","-4,056"
06470,COLORADO,PHILLIPS,"-2,372",-871,-427,-896,-133
06480,COLORADO,PITKIN,"1,700",0,-956,-243,0
06490,COLORADO,PROWERS,"-3,825","-8,848","-10,774","-12,309","-1,811"
06500,COLORADO,PUEBLO,"-90,488","-113,781","-186,280","-194,251","25,155"
06510,COLORADO,RIO BLANCO,-398,"-1,031","-1,714",-382,0
06520,COLORADO,RIO GRANDE,"-12,171","-9,937","-9,752","-7,844","-2,879"
06530,COLORADO,ROUTT,"-1,026","-1,914","-1,059","-5,630","-4,949"
06540,COLORADO,SAGUACHE,"-2,281","-2,180","-3,753","-2,744","-1,767"
06550,COLORADO,SAN JUAN,*,*,*,*,*
06560,COLORADO,SAN MIGUEL,0,-376,-152,0,"-1,243"
06570,COLORADO,SEDGWICK,"-3,182",527,-738,-282,517
06580,COLORADO,SUMMIT,"-2,984","-11,917","-4,146","-4,015","-2,177"
06590,COLORADO,TELLER,"-21,722","-19,230","-15,360","-22,394","-11,194"
06600,COLORADO,WASHINGTON,"-3,979","-2,465",0,-359,"-1,110"
06610,COLORADO,WELD,"-243,339","-59,807","-61,974","-95,014","17,456"
06620,COLORADO,YUMA,"-13,105","-9,281","-1,727","-3,612",-977
06630,COLORADO,BROOMFIELD,"-21,884","-31,922","-22,987","-22,875","-7,860"
07000,CONNECTICUT,FAIRFIELD,"1,585,394","1,395,207","1,143,590","314,269","343,665"
07010,CONNECTICUT,HARTFORD,"-1,904,671","-2,184,952","-1,010,440","-1,747,810","-4,016,002"
07020,CONNECTICUT,LITCHFIELD,"131,317","76,349","285,040","73,278","-168,380"
07030,CONNECTICUT,MIDDLESEX,"64,147","23,599","156,147","52,808","-330,697"
07040,CONNECTICUT,NEW HAVEN,"3,785,129","4,145,884","4,416,594","2,306,508","1,620,002"
07050,CONNECTICUT,NEW LONDON,"639,447","651,377","963,971","650,155","-286,308"
07060,CONNECTICUT,TOLLAND,"-265,896","-358,591","-164,046","-288,393","-547,799"
