SNF Wage Indices by Fiscal Year,,,,,,,,,
SSACD,State,County,CBSA 2016,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014,SNF Wage 2016
04180,AR,CROSS,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04190,AR,DALLAS,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04200,AR,DESHA,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04210,AR,DREW,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04220,AR,FAULKNER,30780,0.8559,0.8546,0.8558,0.8595,0.8629,0.8361
04240,AR,FULTON,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04250,AR,GARLAND,26300,0.9004,0.9151,0.9076,0.8944,0.8474,0.8432
04260,AR,GRANT,30780,0.8559,0.8546,0.8558,0.8595,0.8629,0.8361
04270,AR,GREENE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04280,AR,HEMPSTEAD,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04290,AR,HOT SPRING,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04300,AR,HOWARD,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04310,AR,INDEPENDENCE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04320,AR,IZARD,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04330,AR,JACKSON,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04340,AR,JEFFERSON,38220,0.7281,0.8012,0.7700,0.7847,0.8069,0.7750
04350,AR,JOHNSON,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04360,AR,LAFAYETTE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04370,AR,LAWRENCE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04380,AR,LEE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04390,AR,LINCOLN,38220,0.7281,0.8012,0.7700,0.7847,0.8069,0.7750
04410,AR,LOGAN,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04420,AR,LONOKE,30780,0.8559,0.8546,0.8558,0.8595,0.8629,0.8361
04430,AR,MADISON,22220,0.8775,0.8616,0.9263,0.9288,0.8955,0.8503
04440,AR,MARION,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04450,AR,MILLER,45500,0.8113,0.7748,0.7937,0.7967,0.7428,0.7488
04460,AR,MISSISSIPPI,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04470,AR,MONROE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04480,AR,MONTGOMERY,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04490,AR,NEVADA,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04500,AR,NEWTON,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04510,AR,OUACHITA,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04520,AR,PERRY,30780,0.8559,0.8546,0.8558,0.8595,0.8629,0.8361
04530,AR,PHILLIPS,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04540,AR,PIKE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04550,AR,POINSETT,27860,0.7722,0.7757,0.7718,0.8084,0.7983,0.7818
04560,AR,POLK,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04570,AR,POPE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04580,AR,PRAIRIE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04590,AR,PULASKI,30780,0.8559,0.8546,0.8558,0.8595,0.8629,0.8361
04600,AR,RANDOLPH,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04610,AR,ST. FRANCIS,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04620,AR,SALINE,30780,0.8559,0.8546,0.8558,0.8595,0.8629,0.8361
04630,AR,SCOTT,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
