AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"2,550,110","2,582,372","1,619,832","982,622","1,323,826",,,,,
05070,CALIFORNIA               ,DEL NORTE,"52,481","28,844","18,340","19,517","28,577",,,,,
05080,CALIFORNIA               ,EL DORADO,"758,908","650,690","572,885","369,021","441,652",,,,,
05090,CALIFORNIA               ,FRESNO,"1,701,088","1,621,092","1,456,112","835,652","634,126",,,,,
05100,CALIFORNIA               ,GLENN,"72,471","48,910","46,890","17,712","-4,430",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"584,892","315,418","227,732","314,075","300,582",,,,,
05120,CALIFORNIA               ,IMPERIAL,"97,304","66,187","73,438","-73,175","-303,909",,,,,
05130,CALIFORNIA               ,INYO,"66,938","36,706","36,362","51,757","57,277",,,,,
05140,CALIFORNIA               ,KERN,"1,218,311","828,298","666,213","478,218","-170,416",,,,,
05150,CALIFORNIA               ,KINGS,"215,628","151,357","53,544",-86,"-49,672",,,,,
05160,CALIFORNIA               ,LAKE,"298,874","214,606","151,398","203,494","200,579",,,,,
05170,CALIFORNIA               ,LASSEN,"86,459","42,067","51,092","74,767","55,113",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"15,379,781","12,623,835","4,228,997","8,206,231","5,166,247",,,,,
05300,CALIFORNIA               ,MADERA,"240,648","193,601","199,280","191,121","122,571",,,,,
05310,CALIFORNIA               ,MARIN,"1,008,545","1,032,359","820,397","631,347","730,314",,,,,
05320,CALIFORNIA               ,MARIPOSA,"101,227","60,797","53,765","53,856","43,888",,,,,
05330,CALIFORNIA               ,MENDOCINO,"406,542","248,840","196,335","213,537","174,298",,,,,
05340,CALIFORNIA               ,MERCED,"948,191","719,707","733,467","709,238","587,567",,,,,
05350,CALIFORNIA               ,MODOC,"21,957","14,934","7,468","8,105","5,654",,,,,
05360,CALIFORNIA               ,MONO,"16,865","13,033","8,486","8,467","12,254",,,,,
05370,CALIFORNIA               ,MONTEREY,"2,271,322","1,792,524","1,631,626","1,327,758","789,182",,,,,
05380,CALIFORNIA               ,NAPA,"1,094,668","745,209","877,147","821,053","849,343",,,,,
05390,CALIFORNIA               ,NEVADA,"617,867","334,477","275,237","335,227","310,656",,,,,
05400,CALIFORNIA               ,ORANGE,"4,059,782","2,022,418","569,083","286,841","-913,138",,,,,
05410,CALIFORNIA               ,PLACER,"1,026,073","1,010,953","818,130","590,688","705,290",,,,,
05420,CALIFORNIA               ,PLUMAS,"62,184","27,545","32,856","44,290","37,096",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"2,276,862","1,103,737","5,560","277,053","-876,113",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"3,864,767","3,692,385","3,169,037","2,286,627","2,807,835",,,,,
05450,CALIFORNIA               ,SAN BENITO,"339,980","256,474","224,040","169,584","144,374",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"1,391,947","825,244","34,113","243,057","-432,496",,,,,
05470,CALIFORNIA               ,SAN DIEGO,"4,253,771","3,651,781","3,092,728","1,145,855","-542,263",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"2,583,364","2,444,636","1,845,148","1,284,553","1,576,087",,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"4,494,731","3,718,793","3,573,766","3,029,731","2,329,342",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"1,328,465","739,215","828,424","588,913","238,790",,,,,
05510,CALIFORNIA               ,SAN MATEO,"1,812,686","1,488,426","1,167,136","973,948","964,103",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"1,896,905","1,270,721","995,826","790,285","996,778",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"7,028,102","6,385,855","5,040,669","4,285,393","3,513,312",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"1,656,307","1,381,269","1,267,164","1,205,590","1,196,008",,,,,
05550,CALIFORNIA               ,SHASTA,"1,482,874","1,143,842","893,126","655,227","194,949",,,,,
05560,CALIFORNIA               ,SIERRA,"12,158","6,904","3,581","5,762","6,319",,,,,
05570,CALIFORNIA               ,SISKIYOU,"107,889","78,418","45,721","75,774","30,940",,,,,
05580,CALIFORNIA               ,SOLANO,"905,748","1,246,021","1,311,492","927,307","1,067,395",,,,,
05590,CALIFORNIA               ,SONOMA,"2,861,316","2,447,733","1,468,139","974,794","652,136",,,,,
05600,CALIFORNIA               ,STANISLAUS,"1,476,690","1,271,013","947,610","792,694","964,020",,,,,
05610,CALIFORNIA               ,SUTTER,"444,056","392,903","291,845","316,628","328,111",,,,,
05620,CALIFORNIA               ,TEHAMA,"226,354","154,579","156,111","113,550","69,180",,,,,
05630,CALIFORNIA               ,TRINITY,"97,437","84,075","83,860","59,081","21,115",,,,,
05640,CALIFORNIA               ,TULARE,"546,828","385,463","323,874","19,957","-409,336",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"199,018","140,012","102,846","117,735","125,689",,,,,
05660,CALIFORNIA               ,VENTURA,"3,012,825","2,543,063","2,212,481","1,842,549","1,638,737",,,,,
05670,CALIFORNIA               ,YOLO,"474,686","414,973","323,471","269,447","274,664",,,,,
05680,CALIFORNIA               ,YUBA,"284,882","263,001","201,059","159,860","218,879",,,,,
06000,COLORADO                 ,ADAMS,"-322,118","-245,639","-295,199","-221,306","-199,845",,,,,
06010,COLORADO                 ,ALAMOSA,"28,225","30,175","31,619","20,412","21,595",,,,,
06020,COLORADO                 ,ARAPAHOE,"-593,799","-428,176","-501,100","-453,457","-469,251",,,,,
06030,COLORADO                 ,ARCHULETA,"25,866","11,827","17,601","6,267","5,613",,,,,
06040,COLORADO                 ,BACA,310,-849,457,296,"-1,917",,,,,
06050,COLORADO                 ,BENT,"26,151","24,282","15,912","11,322","4,478",,,,,
06060,COLORADO                 ,BOULDER,"105,431","82,848","121,498","223,335","356,810",,,,,
06070,COLORADO                 ,CHAFFEE,"49,600","36,927","47,358","23,983","23,221",,,,,
06080,COLORADO                 ,CHEYENNE,-131,-218,-609,"-1,045","-1,711",,,,,
06090,COLORADO                 ,CLEAR CREEK,"-8,761","-4,561","-8,352","-7,800","-5,765",,,,,
06100,COLORADO                 ,CONEJOS,"6,469","6,392","2,267","5,382","5,258",,,,,
06110,COLORADO                 ,COSTILLA,"3,602","8,807","4,654","3,898","6,305",,,,,
06120,COLORADO                 ,CROWLEY,"13,082","13,879","10,735","4,778","4,185",,,,,
06130,COLORADO                 ,CUSTER,"1,205","2,279","1,225",-343,-194,,,,,
06140,COLORADO                 ,DELTA,"177,399","100,058","96,551","39,411","37,877",,,,,
06150,COLORADO                 ,DENVER,"-676,785","-508,874","-588,086","-505,102","-443,712",,,,,
06160,COLORADO                 ,DOLORES,"4,488","2,815","3,769","1,158","1,364",,,,,
06170,COLORADO                 ,DOUGLAS,"-67,704","-59,480","-73,028","-64,740","-67,972",,,,,
06180,COLORADO                 ,EAGLE,"19,018","9,327","9,694","2,924","5,240",,,,,
06190,COLORADO                 ,ELBERT,"-16,102","-13,183","-16,978","-9,084","-9,462",,,,,
06200,COLORADO                 ,EL PASO,"-541,487","-766,049","-1,097,349","-695,129","-434,732",,,,,
06210,COLORADO                 ,FREMONT,"134,360","81,386","75,389","47,855","42,714",,,,,
06220,COLORADO                 ,GARFIELD,"114,886","73,048","80,980","35,975","36,788",,,,,
06230,COLORADO                 ,GILPIN,415,-143,"-1,010","-2,368",603,,,,,
06240,COLORADO                 ,GRAND,-870,"-1,051","-3,612","-5,961","-2,238",,,,,
06250,COLORADO                 ,GUNNISON,"12,555","8,220","8,041","3,060",682,,,,,
06260,COLORADO                 ,HINSDALE,"1,142",203,0,-14,634,,,,,
06270,COLORADO                 ,HUERFANO,"2,350","-4,265","1,083","-1,930","-6,674",,,,,
06280,COLORADO                 ,JACKSON,"1,757",-232,-172,257,262,,,,,
06290,COLORADO                 ,JEFFERSON,"-570,337","-359,804","-417,770","-374,400","-373,360",,,,,
06300,COLORADO                 ,KIOWA,815,183,-779,307,"1,278",,,,,
06310,COLORADO                 ,KIT CARSON,"4,118","7,951","7,550",-342,"-1,984",,,,,
