"ESRD - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
02050,ALASKA                   ,BETHEL                 ,2, -   ,0, -   ,0,0,0,0,2,0,0
02060,ALASKA                   ,BRISTOL BAY            ,4, -   ,0, -   ,0,0,0,0,4,0,0
02070,ALASKA                   ,DILLINGHAM             ,3, -   ,0, -   ,0,0,0,0,3,0,0
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,1, -   ,0, -   ,0,0,0,0,1,0,0
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,50, -   ,0, -   ,0,0,0,0,46,0,0
02100,ALASKA                   ,HAINES                 ,1, -   ,0, -   ,0,0,0,0,1,0,0
02110,ALASKA                   ,JUNEAU                 ,28, -   ,0, -   ,0,0,0,0,26,0,0
02120,ALASKA                   ,KENAI-COOK INLET       ,32, -   ,0, -   ,0,0,0,0,32,0,0
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,10, -   ,0, -   ,0,0,0,0,10,0,0
02140,ALASKA                   ,KOBUK                  ,2, -   ,0, -   ,0,0,0,0,2,0,0
02150,ALASKA                   ,KODIAK ISLAND          ,9, -   ,0, -   ,0,0,0,0,9,0,0
02160,ALASKA                   ,KUSKOKWIN              ,1, -   ,0, -   ,0,0,0,0,1,0,0
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,46," 1,552 ",2.81," 1,552 ",2.81,0,0,0,44,0,0
02180,ALASKA                   ,NOME                   ,2, -   ,0, -   ,0,0,0,0,2,0,0
02190,ALASKA                   ,OUTER KETCHIKAN        ,1, -   ,0, -   ,0,0,0,0,1,0,0
02200,ALASKA                   ,PRINCE OF WALES        ,1, -   ,0, -   ,0,0,0,0,1,0,0
02210,ALASKA                   ,SEWARD                 ,4, -   ,0, -   ,0,0,0,0,4,0,0
02220,ALASKA                   ,SITKA                  ,1, -   ,0, -   ,0,0,0,0,1,0,0
02230,ALASKA                   ,SKAGWAY-YAKUTAT        ,1, -   ,0, -   ,0,0,0,0,1,0,0
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,4, -   ,0, -   ,0,0,0,0,4,0,0
