"SNF Wage Indices bt Fiscal Year -- Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,
County code,State,County name,CBSA 2013,SNF Wage 2007,SNF Wage 2008,SNF Wage 2009 A,SNF Wage 2009 B,SNF Wage 2010,SNF Wage 2011,SNF Wage 2013
2100,AK,HAINES,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2105,AK,HOONAH-ANGOON,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2110,AK,JUNEAU,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2122,AK,KENAI PENINSULA,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2130,AK,KETCHIKAN GATEWAY,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2150,AK,KODIAK ISLAND,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2164,AK,LAKE AND PENINSULA,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2170,AK,MATANUSKA-SUSITNA,11260, 1.2023 , 1.1913 , NA , 1.1931 , 1.2013 , 1.1964 , 1.2147 
2180,AK,NOME,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2185,AK,NORTH SLOPE,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2188,AK,NORTHWEST ARCTIC,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2195,AK,PETERSBURG,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2198,AK,PRINCE OF WALES-HYDER,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2220,AK,SITKA,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2230,AK,SKAGWAY,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2240,AK,SOUTHEAST FAIRBANKS,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2261,AK,VALDEZ-CORDOVA,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2270,AK,WADE HAMPTON,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2275,AK,WRANGELL,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2282,AK,YAKUTAT,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2290,AK,YUKON-KOYUKUK,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
3000,AZ,APACHE,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3010,AZ,COCHISE,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3020,AZ,COCONINO,22380, 1.1601 , 1.1687 , NA , 1.1743 , 1.2475 , 1.2443 , 1.2369 
3030,AZ,GILA,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3040,AZ,GRAHAM,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3050,AZ,GREENLEE,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3055,AZ,LA PAZ,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3060,AZ,MARICOPA,38060, 1.0287 , 1.0264 , NA , 1.0379 , 1.0630 , 1.0642 , 1.0477 
3070,AZ,MOHAVE,29420, NA , 0.9333 , NA , 0.9797 , 1.0567 , 1.0235 , 0.9760 
3080,AZ,NAVAJO,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3090,AZ,PIMA,46060, 0.9202 , 0.9245 , NA , 0.9229 , 0.9505 , 0.9480 , 0.9065 
3100,AZ,PINAL,38060, 1.0287 , 1.0264 , NA , 1.0379 , 1.0630 , 1.0642 , 1.0477 
3110,AZ,SANTA CRUZ,NA, 0.8908 , 0.8479 , NA , 0.8453 , 0.8790 , 0.9095 , 0.9182 
3120,AZ,YAVAPAI,39140, 0.9836 , 1.0020 , NA , 1.0221 , 1.0121 , 1.2234 , 1.2009 
3130,AZ,YUMA,49740, 0.9109 , 0.9488 , NA , 0.9281 , 0.9143 , 0.9283 , 0.9517 
4000,AR,ARKANSAS,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4010,AR,ASHLEY,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4020,AR,BAXTER,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4030,AR,BENTON,22220, 0.8865 , 0.8742 , NA , 0.8970 , 0.8775 , 0.8616 , 0.9288 
4040,AR,BOONE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4050,AR,BRADLEY,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4060,AR,CALHOUN,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4070,AR,CARROLL,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4080,AR,CHICOT,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4090,AR,CLARK,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4100,AR,CLAY,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4110,AR,CLEBURNE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4120,AR,CLEVELAND,38220, 0.8383 , 0.7839 , NA , 0.7926 , 0.7281 , 0.8012 , 0.7847 
4130,AR,COLUMBIA,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4140,AR,CONWAY,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4150,AR,CRAIGHEAD,27860, 0.7662 , 0.7790 , NA , 0.7916 , 0.7722 , 0.7757 , 0.8084 
4160,AR,CRAWFORD,22900, 0.7731 , 0.7933 , NA , 0.7697 , 0.7861 , 0.7599 , 0.7848 
4170,AR,CRITTENDEN,32820, 0.9373 , 0.9250 , NA , 0.9232 , 0.9268 , 0.9268 , 0.9049 
4180,AR,CROSS,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4190,AR,DALLAS,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4200,AR,DESHA,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4210,AR,DREW,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4220,AR,FAULKNER,30780, 0.8890 , 0.8863 , NA , 0.8672 , 0.8559 , 0.8546 , 0.8595 
4230,AR,FRANKLIN,22900, 0.7731 , 0.7933 , NA , 0.7697 , 0.7861 , 0.7599 , 0.7848 
4240,AR,FULTON,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4250,AR,GARLAND,26300, 0.8782 , 0.9109 , NA , 0.9113 , 0.9004 , 0.9151 , 0.8944 
4260,AR,GRANT,30780, 0.8890 , 0.8863 , NA , 0.8672 , 0.8559 , 0.8546 , 0.8595 
4270,AR,GREENE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4280,AR,HEMPSTEAD,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4290,AR,HOT SPRING,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4300,AR,HOWARD,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4310,AR,INDEPENDENCE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4320,AR,IZARD,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4330,AR,JACKSON,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4340,AR,JEFFERSON,38220, 0.8383 , 0.7839 , NA , 0.7926 , 0.7281 , 0.8012 , 0.7847 
4350,AR,JOHNSON,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4360,AR,LAFAYETTE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4370,AR,LAWRENCE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4380,AR,LEE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4390,AR,LINCOLN,38220, 0.8383 , 0.7839 , NA , 0.7926 , 0.7281 , 0.8012 , 0.7847 
4400,AR,LITTLE RIVER,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4410,AR,LOGAN,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4420,AR,LONOKE,30780, 0.8890 , 0.8863 , NA , 0.8672 , 0.8559 , 0.8546 , 0.8595 
4430,AR,MADISON,22220, 0.8865 , 0.8742 , NA , 0.8970 , 0.8775 , 0.8616 , 0.9288 
4440,AR,MARION,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4450,AR,MILLER,45500, 0.8104 , 0.7770 , NA , 0.8144 , 0.8113 , 0.7748 , 0.7967 
4460,AR,MISSISSIPPI,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4470,AR,MONROE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4480,AR,MONTGOMERY,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4490,AR,NEVADA,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4500,AR,NEWTON,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4510,AR,OUACHITA,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4520,AR,PERRY,30780, 0.8890 , 0.8863 , NA , 0.8672 , 0.8559 , 0.8546 , 0.8595 
4530,AR,PHILLIPS,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4540,AR,PIKE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4550,AR,POINSETT,27860, 0.7662 , 0.7790 , NA , 0.7916 , 0.7722 , 0.7757 , 0.8084 
4560,AR,POLK,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4570,AR,POPE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4580,AR,PRAIRIE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4590,AR,PULASKI,30780, 0.8890 , 0.8863 , NA , 0.8672 , 0.8559 , 0.8546 , 0.8595 
4600,AR,RANDOLPH,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4610,AR,ST. FRANCIS,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4620,AR,SALINE,30780, 0.8890 , 0.8863 , NA , 0.8672 , 0.8559 , 0.8546 , 0.8595 
4630,AR,SCOTT,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4640,AR,SEARCY,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4650,AR,SEBASTIAN,22900, 0.7731 , 0.7933 , NA , 0.7697 , 0.7861 , 0.7599 , 0.7848 
4660,AR,SEVIER,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4670,AR,SHARP,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4680,AR,STONE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4690,AR,UNION,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4700,AR,VAN BUREN,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4710,AR,WASHINGTON,22220, 0.8865 , 0.8742 , NA , 0.8970 , 0.8775 , 0.8616 , 0.9288 
4720,AR,WHITE,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4730,AR,WOODRUFF,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
4740,AR,YELL,NA, 0.7307 , 0.7371 , NA , 0.7473 , 0.7332 , 0.7222 , 0.7350 
5000,CA,ALAMEDA,36084, 1.5819 , 1.5685 , NA , 1.6092 , 1.6404 , 1.6354 , 1.6654 
5010,CA,ALPINE,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5020,CA,AMADOR,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5030,CA,BUTTE,17020, 1.1053 , 1.1290 , NA , 1.0897 , 1.1198 , 1.1533 , 1.1197 
5040,CA,CALAVERAS,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5050,CA,COLUSA,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5060,CA,CONTRA COSTA,36084, 1.5819 , 1.5685 , NA , 1.6092 , 1.6404 , 1.6354 , 1.6654 
5070,CA,DEL NORTE,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5080,CA,EL DORADO,40900, 1.3372 , 1.3505 , NA , 1.3572 , 1.4073 , 1.4053 , 1.4752 
5090,CA,FRESNO,23420, 1.0943 , 1.0993 , NA , 1.1009 , 1.1267 , 1.1422 , 1.1593 
5100,CA,GLENN,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5110,CA,HUMBOLDT,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5120,CA,IMPERIAL,20940, 0.9076 , 0.8914 , NA , 0.8746 , 0.8766 , 0.9258 , 0.8602 
5130,CA,INYO,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5140,CA,KERN,12540, 1.0725 , 1.1051 , NA , 1.1189 , 1.1232 , 1.1707 , 1.1611 
5150,CA,KINGS,25260, 1.0282 , 1.0499 , NA , 1.0870 , 1.1010 , 1.1205 , 1.0992 
5160,CA,LAKE,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5170,CA,LASSEN,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5200,CA,LOS ANGELES,31084, 1.1760 , 1.1771 , NA , 1.2208 , 1.2039 , 1.2130 , 1.2293 
5210,CA,LOS ANGELES,31084, 1.1760 , 1.1771 , NA , 1.2208 , 1.2039 , 1.2130 , 1.2293 
5300,CA,MADERA,31460, 0.8154 , 0.8069 , NA , 0.7939 , 0.7958 , 0.7986 , 0.8050 
5310,CA,MARIN,41884, 1.5165 , 1.5195 , NA , 1.5529 , 1.5874 , 1.5733 , 1.6327 
5320,CA,MARIPOSA,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5330,CA,MENDOCINO,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5340,CA,MERCED,32900, 1.1471 , 1.2120 , NA , 1.2243 , 1.2123 , 1.2359 , 1.2996 
5350,CA,MODOC,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5360,CA,MONO,NA, 1.1454 , 1.2023 , NA , 1.2275 , 1.2051 , 1.2056 , 1.2567 
5370,CA,MONTEREY,41500, 1.4337 , 1.4775 , NA , 1.4987 , 1.5207 , 1.5686 , 1.6074 
