"DISABLED - HOSPICE - 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
02050,ALASKA                   ,BETHEL                 ,87, -   ,0.00 , -   ,0.00 ,0,0,0,82,0,0
02060,ALASKA                   ,BRISTOL BAY            ,112, -   ,0.00 , -   ,0.00 ,0,0,0,99,0,0
02070,ALASKA                   ,DILLINGHAM             ,53, -   ,0.00 , -   ,0.00 ,0,0,0,50,0,0
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,23, -   ,0.00 , -   ,0.00 ,0,0,0,21,0,0
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,1249, -   ,0.00 , -   ,0.00 ,0,0,0,1097,0,0
02100,ALASKA                   ,HAINES                 ,44, -   ,0.00 , -   ,0.00 ,0,0,0,41,0,0
02110,ALASKA                   ,JUNEAU                 ,637, 703 ,0.09 , 703 ,0.09 ,0,0,0,562,0,0
02120,ALASKA                   ,KENAI-COOK INLET       ,1170, -   ,0.00 , -   ,0.00 ,0,0,0,1054,0,0
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,267," 10,579 ",3.30 ," 10,579 ",3.30 ,0,0,0,239,0,0
02140,ALASKA                   ,KOBUK                  ,61, -   ,0.00 , -   ,0.00 ,0,0,0,53,0,0
02150,ALASKA                   ,KODIAK ISLAND          ,69, -   ,0.00 , -   ,0.00 ,0,0,0,56,0,0
02160,ALASKA                   ,KUSKOKWIN              ,21, -   ,0.00 , -   ,0.00 ,0,0,0,16,0,0
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,1541," 44,660 ",2.42 ," 44,660 ",2.42 ,0,0,0,1382,0,0
02180,ALASKA                   ,NOME                   ,83, -   ,0.00 , -   ,0.00 ,0,0,0,70,0,0
02190,ALASKA                   ,OUTER KETCHIKAN        ,40, -   ,0.00 , -   ,0.00 ,0,0,0,36,0,0
02200,ALASKA                   ,PRINCE OF WALES        ,67, -   ,0.00 , -   ,0.00 ,0,0,0,58,0,0
02210,ALASKA                   ,SEWARD                 ,93, -   ,0.00 , -   ,0.00 ,0,0,0,82,0,0
02220,ALASKA                   ,SITKA                  ,141, -   ,0.00 , -   ,0.00 ,0,0,0,130,0,0
02230,ALASKA                   ,SKAGWAY-YAKUTAT        ,44, -   ,0.00 , -   ,0.00 ,0,0,0,40,0,0
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,78, -   ,0.00 , -   ,0.00 ,0,0,0,69,0,0
02250,ALASKA                   ,UPPER YUKON            ,22, -   ,0.00 , -   ,0.00 ,0,0,0,20,0,0
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,155, -   ,0.00 , -   ,0.00 ,0,0,0,137,0,0
02270,ALASKA                   ,WADE HAMPTON           ,67, -   ,0.00 , -   ,0.00 ,0,0,0,62,0,0
02280,ALASKA                   ,WRANGELL-PETERSBURG    ,111, -   ,0.00 , -   ,0.00 ,0,0,0,101,0,0
02290,ALASKA                   ,YUKON-KOYUKUK          ,73, -   ,0.00 , -   ,0.00 ,0,0,0,68,0,0
03000,ARIZONA                  ,APACHE                 ,1330," 59,788 ",3.75 ," 59,788 ",3.75 ,0,0,0,1164,0,0
03010,ARIZONA                  ,COCHISE                ,2461," 200,738 ",6.80 ," 200,738 ",6.80 ,0,0,0,2043,0,0
03020,ARIZONA                  ,COCONINO               ,2120," 142,998 ",5.62 ," 142,998 ",5.62 ,0,0,0,1823,0,0
03030,ARIZONA                  ,GILA                   ,1758," 632,904 ",30.00 ," 632,904 ",30.00 ,0,0,0,1564,0,0
03040,ARIZONA                  ,GRAHAM                 ,665," 14,055 ",1.76 ," 14,055 ",1.76 ,0,0,0,582,0,0
03050,ARIZONA                  ,GREENLEE               ,155," 7,200 ",3.87 ," 7,200 ",3.87 ,0,0,0,140,0,0
03055,ARIZONA                  ,LA PAZ                 ,442," 101,821 ",19.20 ," 101,821 ",19.20 ,0,0,0,349,0,0
03060,ARIZONA                  ,MARICOPA               ,40890," 12,241,552 ",24.95 ," 12,241,552 ",24.95 ,0,0,0,31398,0,0
03070,ARIZONA                  ,MOHAVE                 ,5440," 988,777 ",15.15 ," 988,777 ",15.15 ,0,0,0,4712,0,0
03080,ARIZONA                  ,NAVAJO                 ,2339," 111,246 ",3.96 ," 111,246 ",3.96 ,0,0,0,2036,0,0
03090,ARIZONA                  ,PIMA                   ,12672," 2,416,751 ",15.89 ," 2,416,751 ",15.89 ,0,0,0,9765,0,0
03100,ARIZONA                  ,PINAL                  ,4965," 914,351 ",15.35 ," 914,351 ",15.35 ,0,0,0,4052,0,0
