AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
04260,ARKANSAS                 ,GRANT,"61,341","28,610","33,142","-92,018","-104,155"
04270,ARKANSAS                 ,GREENE,"97,981","55,509","54,931","-149,174","-177,893"
04280,ARKANSAS                 ,HEMPSTEAD,"45,095","22,587","23,570","-79,162","-79,268"
04290,ARKANSAS                 ,HOT SPRING,"102,089","51,932","54,607","-154,903","-182,403"
04300,ARKANSAS                 ,HOWARD,"34,932","17,432","21,208","-54,148","-65,943"
04310,ARKANSAS                 ,INDEPENDENCE,"127,364","69,211","72,617","-203,753","-237,567"
04320,ARKANSAS                 ,IZARD,"66,346","40,487","32,712","-73,072","-83,734"
04330,ARKANSAS                 ,JACKSON,"77,787","38,953","40,400","-112,727","-123,426"
04340,ARKANSAS                 ,JEFFERSON,"199,103","99,997","105,198","-305,584","-380,836"
04350,ARKANSAS                 ,JOHNSON,"46,967","30,854","25,748","-70,581","-85,776"
04360,ARKANSAS                 ,LAFAYETTE,"17,341","7,339","10,008","-35,144","-38,860"
04370,ARKANSAS                 ,LAWRENCE,"62,288","31,576","32,755","-91,232","-103,247"
04380,ARKANSAS                 ,LEE,"15,498","8,093","8,499","-33,354","-39,115"
04390,ARKANSAS                 ,LINCOLN,"36,388","18,737","18,357","-51,846","-61,796"
04400,ARKANSAS                 ,LITTLE RIVER,"29,839","16,906","20,883","-66,577","-66,690"
04410,ARKANSAS                 ,LOGAN,"54,524","35,442","30,985","-83,422","-95,782"
04420,ARKANSAS                 ,LONOKE,"164,204","95,783","95,988","-267,500","-314,155"
04430,ARKANSAS                 ,MADISON,"33,411","20,005","19,038","-63,537","-76,443"
04440,ARKANSAS                 ,MARION,"70,603","48,668","36,915","-75,085","-99,959"
04450,ARKANSAS                 ,MILLER,"63,772","44,213","42,092","-155,860","-171,160"
04460,ARKANSAS                 ,MISSISSIPPI,"96,428","57,497","54,972","-174,493","-195,779"
04470,ARKANSAS                 ,MONROE,"34,379","17,715","18,359","-47,231","-51,824"
04480,ARKANSAS                 ,MONTGOMERY,"27,767","17,495","15,915","-38,978","-46,388"
04490,ARKANSAS                 ,NEVADA,"27,513","12,905","14,819","-41,584","-42,058"
04500,ARKANSAS                 ,NEWTON,"18,553","12,970","10,026","-26,685","-32,992"
04510,ARKANSAS                 ,OUACHITA,"70,285","39,594","41,793","-124,080","-138,059"
04520,ARKANSAS                 ,PERRY,"37,353","17,296","17,265","-51,072","-58,290"
04530,ARKANSAS                 ,PHILLIPS,"49,372","23,623","25,087","-91,159","-95,087"
04540,ARKANSAS                 ,PIKE,"32,644","19,104","17,751","-45,319","-56,116"
04550,ARKANSAS                 ,POINSETT,"73,988","38,274","39,482","-123,089","-142,776"
04560,ARKANSAS                 ,POLK,"52,804","34,592","31,344","-86,593","-101,173"
04570,ARKANSAS                 ,POPE,"129,542","84,203","76,355","-217,721","-269,809"
04580,ARKANSAS                 ,PRAIRIE,"33,623","18,036","18,822","-49,819","-56,916"
04590,ARKANSAS                 ,PULASKI,"1,169,868","681,785","661,976","-1,822,698","-2,196,932"
04600,ARKANSAS                 ,RANDOLPH,"47,544","27,003","27,321","-70,965","-80,638"
04610,ARKANSAS                 ,ST. FRANCIS,"36,479","22,898","22,867","-92,085","-111,576"
04620,ARKANSAS                 ,SALINE,"235,226","133,433","125,900","-329,928","-380,018"
04630,ARKANSAS                 ,SCOTT,"28,578","18,093","14,430","-42,381","-49,392"
04640,ARKANSAS                 ,SEARCY,"25,877","17,420","15,121","-41,185","-46,914"
04650,ARKANSAS                 ,SEBASTIAN,"267,834","166,703","146,532","-416,218","-475,139"
04660,ARKANSAS                 ,SEVIER,"25,488","18,183","18,145","-57,275","-64,150"
04670,ARKANSAS                 ,SHARP,"91,557","59,174","50,906","-128,556","-148,434"
04680,ARKANSAS                 ,STONE,"49,368","31,029","30,221","-76,411","-86,700"
04690,ARKANSAS                 ,UNION,"117,252","68,242","66,556","-223,086","-277,830"
04700,ARKANSAS                 ,VAN BUREN,"65,897","40,613","34,874","-93,898","-105,918"
04710,ARKANSAS                 ,WASHINGTON,"343,346","227,866","205,826","-589,303","-707,577"
04720,ARKANSAS                 ,WHITE,"227,578","125,918","124,105","-366,118","-431,809"
04730,ARKANSAS                 ,WOODRUFF,"25,926","12,442","11,349","-36,298","-48,770"
04740,ARKANSAS                 ,YELL,"61,032","39,241","33,469","-94,913","-104,606"
05000,CALIFORNIA               ,ALAMEDA,"-5,395,019","-3,012,138","-731,652","-685,751","-1,152,636"
05010,CALIFORNIA               ,ALPINE,"1,327","1,373","2,913","2,052",869
05020,CALIFORNIA               ,AMADOR,"107,820","121,993","151,612","125,683","41,778"
05030,CALIFORNIA               ,BUTTE,"573,190","688,994","915,965","733,805","235,493"
05040,CALIFORNIA               ,CALAVERAS,"107,152","144,242","192,234","150,629","43,364"
05050,CALIFORNIA               ,COLUSA,"34,990","43,628","59,403","43,891","12,818"
05060,CALIFORNIA               ,CONTRA COSTA,"-4,326,111","-2,493,013","-702,869","-634,745","-1,019,896"
05070,CALIFORNIA               ,DEL NORTE,"65,331","68,621","87,619","53,228","17,086"
05080,CALIFORNIA               ,EL DORADO,"349,542","384,879","474,806","383,381","131,491"
05090,CALIFORNIA               ,FRESNO,"1,343,537","1,463,744","1,903,088","1,477,414","516,706"
05100,CALIFORNIA               ,GLENN,"50,232","68,020","91,703","70,191","21,695"
05110,CALIFORNIA               ,HUMBOLDT,"216,459","250,401","346,635","251,465","92,378"
05120,CALIFORNIA               ,IMPERIAL,"403,741","438,016","454,130","333,079","48,599"
05130,CALIFORNIA               ,INYO,"39,514","31,370","35,650","22,515",-689
05140,CALIFORNIA               ,KERN,"912,772","901,824","1,001,507","801,482","-12,575"
05150,CALIFORNIA               ,KINGS,"182,509","212,395","272,664","221,473","66,446"
05160,CALIFORNIA               ,LAKE,"71,279","143,774","227,841","174,736","44,991"
05170,CALIFORNIA               ,LASSEN,"48,619","53,620","76,841","56,993","26,379"
05200,CALIFORNIA               ,LOS ANGELES,"-15,455,399","-29,162,178","-47,049,604","-39,689,743","-39,345,552"
05300,CALIFORNIA               ,MADERA,"244,142","281,720","377,095","279,228","91,134"
05310,CALIFORNIA               ,MARIN,"-1,486,945","-761,877","-63,122","-62,313","-347,652"
05320,CALIFORNIA               ,MARIPOSA,"37,221","48,311","65,911","53,403","13,304"
05330,CALIFORNIA               ,MENDOCINO,"118,049","168,734","234,644","173,262","47,683"
05340,CALIFORNIA               ,MERCED,"258,161","380,375","591,524","478,357","137,383"
05350,CALIFORNIA               ,MODOC,"23,877","22,102","29,909","18,284","7,622"
05360,CALIFORNIA               ,MONO,"11,231","11,914","20,021","12,687","1,936"
05370,CALIFORNIA               ,MONTEREY,"652,849","874,203","1,245,494","973,011","357,330"
05380,CALIFORNIA               ,NAPA,"-649,753","-272,377","91,489","69,427","-80,552"
