HHA Wage Indices by Fiscal Year,,,,,,,,,
County code,State,County name,CBSA 2013,HHA Wage 2007,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2013
1370,AL,LAMAR,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1380,AL,LAUDERDALE,22520, 0.7843 , 0.7680 , 0.7871 , 0.7998 , 0.8144 , 0.7384 
1390,AL,LAWRENCE,19460, 0.8159 , 0.7885 , 0.7803 , 0.7799 , 0.7621 , 0.7277 
1400,AL,LEE,12220, 0.8096 , 0.8090 , 0.7544 , 0.8138 , 0.7190 , 0.7451 
1410,AL,LIMESTONE,26620, 0.9007 , 0.9146 , 0.9082 , 0.9064 , 0.9191 , 0.8680 
1420,AL,LOWNDES,33860, 0.8009 , 0.8088 , 0.8283 , 0.8304 , 0.8442 , 0.7860 
1430,AL,MACON,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1440,AL,MADISON,26620, 0.9007 , 0.9146 , 0.9082 , 0.9064 , 0.9191 , 0.8680 
1450,AL,MARENGO,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1460,AL,MARION,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1470,AL,MARSHALL,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1480,AL,MOBILE,33660, 0.7913 , 0.8033 , 0.7908 , 0.7785 , 0.7960 , 0.7447 
1490,AL,MONROE,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1500,AL,MONTGOMERY,33860, 0.8009 , 0.8088 , 0.8283 , 0.8304 , 0.8442 , 0.7860 
1510,AL,MORGAN,19460, 0.8159 , 0.7885 , 0.7803 , 0.7799 , 0.7621 , 0.7277 
1520,AL,PERRY,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1530,AL,PICKENS,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1540,AL,PIKE,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1550,AL,RANDOLPH,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1560,AL,RUSSELL,17980, 0.8239 , 0.8729 , 0.8739 , 0.8724 , 0.9027 , 0.8572 
1570,AL,ST. CLAIR,13820, 0.8894 , 0.8898 , 0.8792 , 0.8554 , 0.8611 , 0.8450 
1580,AL,SHELBY,13820, 0.8894 , 0.8898 , 0.8792 , 0.8554 , 0.8611 , 0.8450 
