Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,
County code,State,County name,Locality 2013,Carrier 2013, GPCI WK 2007 , GPCI WK 2008 , GPCI WK 2009 , GPCI WK 2010 , GPCI WK 2011 , GPCI WK 2013 , GPCI PE 2007 , GPCI PE 2008 , GPCI PE 2009 , GPCI PE 2010 , GPCI PE 2011 , GPCI PE 2013 ,GPCI MP 2007,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2013
1330,AL,HENRY,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1340,AL,HOUSTON,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1350,AL,JACKSON,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1360,AL,JEFFERSON,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1370,AL,LAMAR,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1380,AL,LAUDERDALE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1390,AL,LAWRENCE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1400,AL,LEE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1410,AL,LIMESTONE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1420,AL,LOWNDES,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1430,AL,MACON,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1440,AL,MADISON,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
