"ESRD -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,,
01600,ALABAMA,TALLADEGA,194,"4,285,072","1,840.67","3,661,020","1,572.60","126,885","449,301","47,864",187,"7,398,625","3,297.07",,
01610,ALABAMA,TALLAPOOSA,90,"1,259,123","1,165.85","1,107,166","1,025.15","21,439","124,528","5,988",88,"3,571,441","3,382.05",,
01620,ALABAMA,TUSCALOOSA,307,"7,736,237","2,099.96","6,768,116","1,837.17","258,346","625,082","84,691",296,"10,922,190","3,074.94",,
01630,ALABAMA,WALKER,89,"1,516,904","1,420.32","1,308,362","1,225.06","77,386","91,560","39,595",86,"2,994,043","2,901.20",,
01640,ALABAMA,WASHINGTON,37,"507,337","1,142.65","430,653",969.94,"23,951","43,725","9,006",35,"1,140,390","2,715.21",,
01650,ALABAMA,WILCOX,35,"776,545","1,848.92","612,945","1,459.39","23,090","132,315","8,194",35,"1,371,337","3,265.09",,
01660,ALABAMA,WINSTON,29,"332,396",955.16,"293,233",842.62,"11,358","24,001","3,802",28,"872,555","2,596.89",,
02010,ALASKA,ALEUTIAN ISLANDS,2,0,0.00,0,0.00,0,0,0,1,0,0.00,,
02020,ALASKA,ANCHORAGE,325,"5,468,671","1,402.22","4,692,171","1,203.12","125,783","618,413","32,302",302,"11,309,994","3,120.86",,
02040,ALASKA,BARROW-NORTH SLOPE,1,"15,056","1,254.67","15,056","1,254.67",0,0,0,1,"6,777",564.75,,
02050,ALASKA,BETHEL,2,"62,534","2,605.58","52,735","2,197.29","1,075","8,475",248,2,"108,195","4,508.13",,
02060,ALASKA,BRISTOL BAY,4,"77,458","1,613.71","68,637","1,429.94",343,"8,352",124,4,"122,320","2,548.33",,
02070,ALASKA,DILLINGHAM,3,"8,921",247.81,"7,323",203.42,214,"1,259",124,3,"112,453","3,123.69",,
02080,ALASKA,CORDOVA-MC CARTHY,1,0,0.00,"4,027",335.58,953,"2,844",229,1,651,54.25,,
02090,ALASKA,FAIRBANKS NORTH STAR,50,"904,810","1,508.02","814,298","1,357.16","3,990","85,319","1,202",46,"1,753,453","3,176.55",,
02100,ALASKA,HAINES,1,0,0.00,0,0.00,0,0,0,1,0,0.00,,
02110,ALASKA,JUNEAU,28,"868,701","2,585.42","773,659","2,302.56","27,720","63,440","3,880",26,"1,209,606","3,876.94",,
02120,ALASKA,KENAI-COOK INLET,32,"894,916","2,330.51","818,621","2,131.83","11,023","62,973","2,297",32,"958,850","2,497.01",,
02130,ALASKA,KETCHIKAN GATEWAY,10,"516,706","4,305.88","449,751","3,747.93","20,518","39,596","6,840",10,"433,892","3,615.77",,
02140,ALASKA,KOBUK,2,"123,451","5,143.79","111,348","4,639.50",0,"12,103",0,2,"71,342","2,972.58",,
02150,ALASKA,KODIAK ISLAND,9,"170,400","1,577.78","137,623","1,274.29","16,318","13,653","2,804",9,"415,912","3,851.04",,
02160,ALASKA,KUSKOKWIN,1,0,0.00,0,0.00,0,0,0,1,90,7.50,,
02170,ALASKA,MATANUSKA-SUSITNA,46,"1,470,950","2,664.76","1,355,114","2,454.92","13,406","97,858","4,570",44,"1,499,214","2,839.42",,
02180,ALASKA,NOME,2,"42,890","1,787.08","38,065","1,586.04","3,350","1,069",404,2,"90,807","3,783.63",,
02190,ALASKA,OUTER KETCHIKAN,1,0,0.00,0,0.00,0,0,0,1,0,0.00,,
02200,ALASKA,PRINCE OF WALES,1,0,0.00,0,0.00,0,0,0,1,"30,567","2,547.25",,
02210,ALASKA,SEWARD,4,"48,886","1,018.46","41,821",871.27,974,"5,717",372,4,"97,850","2,038.54",,
02220,ALASKA,SITKA,1,"46,419","3,868.25","35,095","2,924.58","3,320","6,731","1,271",1,"67,942","5,661.83",,
02230,ALASKA,SKAGWAY-YAKUTAT,1,"74,073","6,172.75","74,073","6,172.75",0,0,0,1,"25,286","2,107.17",,
02240,ALASKA,SOUTHEAST FAIRBANKS,4,"28,906",602.21,"28,906",602.21,0,0,0,4,"173,332","3,611.08",,
02250,ALASKA,UPPER YUKON,1,0,0.00,0,0.00,0,0,0,1,"1,587",132.25,,
02260,ALASKA,VALDEZ-CHITNA-WHITIER,3,"30,402",844.50,"27,540",765.00,398,"2,339",124,3,"161,719","4,492.19",,
02270,ALASKA,WADE HAMPTON,2,"44,224","1,842.67","37,021","1,542.54",982,"5,848",372,2,"51,011","2,125.46",,
02280,ALASKA,WRANGELL-PETERSBURG,1,"22,892","1,907.67","19,245","1,603.75","3,243",0,404,1,"63,995","5,332.92",,
02290,ALASKA,YUKON-KOYUKUK,1,0,0.00,0,0.00,0,0,0,1,"36,018","3,001.50",,
03000,ARIZONA,APACHE,197,"5,082,344","2,149.89","4,435,914","1,876.44","73,728","542,210","30,490",178,"7,035,621","3,293.83",,
03010,ARIZONA,COCHISE,158,"4,876,388","2,571.93","4,046,302","2,134.13","237,987","520,234","71,863",153,"5,279,283","2,875.43",,
03020,ARIZONA,COCONINO,169,"4,699,066","2,317.09","4,047,947","1,996.03","28,693","612,556","9,869",155,"5,735,047","3,083.36",,
03030,ARIZONA,GILA,112,"3,811,411","2,835.87","3,416,976","2,542.39","50,383","319,149","24,901",105,"4,618,567","3,665.53",,
03040,ARIZONA,GRAHAM,47,"1,450,801","2,572.34","1,233,542","2,187.13","44,261","157,140","15,857",44,"1,638,651","3,103.51",,
03050,ARIZONA,GREENLEE,8,"271,195","2,824.95","207,853","2,165.14","20,135","33,701","9,505",8,"348,373","3,628.89",,
03055,ARIZONA,LA PAZ,42,"1,140,566","2,263.03","990,979","1,966.23","26,128","112,428","11,030",40,"1,743,537","3,632.37",,
03060,ARIZONA,MARICOPA,"3,268","87,079,972","2,220.52","74,442,044","1,898.26","2,155,602","9,350,229","1,134,827","3,033","108,926,384","2,992.81",,
