DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX (Adjustment to Part A Reimbursement),,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
05040,CALIFORNIA               ,CALAVERAS,"144,017","150,368","138,147","63,490","97,730",,,,,
05050,CALIFORNIA               ,COLUSA,"42,080","39,309","32,372","21,179","32,644",,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"1,204,971","1,737,348","1,138,549","760,524","931,546",,,,,
05070,CALIFORNIA               ,DEL NORTE,"55,881","27,121","9,751","8,346","15,086",,,,,
05080,CALIFORNIA               ,EL DORADO,"421,210","404,655","300,519","254,852","349,478",,,,,
05090,CALIFORNIA               ,FRESNO,"2,337,603","1,561,963","1,212,303","1,603,801","1,889,343",,,,,
05100,CALIFORNIA               ,GLENN,"95,896","51,135","55,869","59,668","74,666",,,,,
05110,CALIFORNIA               ,HUMBOLDT,"537,088","452,404","276,246","116,583","39,036",,,,,
05120,CALIFORNIA               ,IMPERIAL,"443,384","240,386","243,118","302,813","372,912",,,,,
05130,CALIFORNIA               ,INYO,"-1,553","11,535","14,152","6,082","7,647",,,,,
05140,CALIFORNIA               ,KERN,"2,657,641","1,595,673","1,165,144","1,529,642","1,241,238",,,,,
05150,CALIFORNIA               ,KINGS,"351,454","199,905","214,430","198,675","281,039",,,,,
05160,CALIFORNIA               ,LAKE,"378,842","438,403","382,737","361,508","279,441",,,,,
05170,CALIFORNIA               ,LASSEN,"-6,378","7,839","6,541","14,688","-3,486",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"13,997,729","12,399,108","8,210,368","10,897,253","7,261,386",,,,,
05300,CALIFORNIA               ,MADERA,"402,033","255,189","201,957","203,491","253,950",,,,,
05310,CALIFORNIA               ,MARIN,"260,852","333,053","246,491","151,198","185,197",,,,,
05320,CALIFORNIA               ,MARIPOSA,"71,179","50,876","51,930","45,849","45,521",,,,,
05330,CALIFORNIA               ,MENDOCINO,"241,776","39,954","-123,895","-119,745","189,386",,,,,
05340,CALIFORNIA               ,MERCED,"778,146","600,451","575,201","566,500","477,464",,,,,
05350,CALIFORNIA               ,MODOC,"29,686","24,040","14,570","9,806","6,416",,,,,
05360,CALIFORNIA               ,MONO,"1,041","7,547","2,360","3,560","7,433",,,,,
05370,CALIFORNIA               ,MONTEREY,"1,892,677","1,705,476","1,397,833","769,659","425,231",,,,,
05380,CALIFORNIA               ,NAPA,"528,338","646,425","397,286","262,181","193,977",,,,,
05390,CALIFORNIA               ,NEVADA,"301,529","323,555","323,835","243,128","223,108",,,,,
05400,CALIFORNIA               ,ORANGE,"3,065,973","2,320,913","1,533,460","1,973,955","1,336,994",,,,,
05410,CALIFORNIA               ,PLACER,"493,976","613,548","605,916","460,822","460,898",,,,,
05420,CALIFORNIA               ,PLUMAS,"-11,970","11,896","75,599","18,881","17,880",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"4,245,344","2,407,613","1,745,822","2,212,999","2,019,175",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"4,133,859","4,536,712","4,086,538","2,951,333","3,203,721",,,,,
05450,CALIFORNIA               ,SAN BENITO,"201,141","176,314","150,086","109,263","57,190",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"3,777,167","2,762,296","1,929,636","2,286,938","1,511,014",,,,,
05470,CALIFORNIA               ,SAN DIEGO,"5,887,891","3,502,011","2,645,482","3,546,850","3,738,334",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"1,412,924","2,390,237","1,888,940","1,092,585","1,233,124",,,,,
