"AGED - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01570,ALABAMA                  ,ST  CLAIR              ,5750," 3,573,386.00 ", 51.79 ," 3,573,386.00 ", 51.79 ,0,0,0,5298,0,0
01580,ALABAMA                  ,SHELBY                 ,9283," 6,277,297.00 ", 56.35 ," 6,277,297.00 ", 56.35 ,0,0,0,8433,0,0
01590,ALABAMA                  ,SUMTER                 ,1661," 1,291,683.00 ", 64.80 ," 1,291,683.00 ", 64.80 ,0,0,0,1645,0,0
01600,ALABAMA                  ,TALLADEGA              ,8941," 5,758,688.00 ", 53.67 ," 5,758,688.00 ", 53.67 ,0,0,0,8559,0,0
01610,ALABAMA                  ,TALLAPOOSA             ,6035," 3,559,957.00 ", 49.16 ," 3,559,957.00 ", 49.16 ,0,0,0,5801,0,0
01620,ALABAMA                  ,TUSCALOOSA             ,18580," 9,014,690.00 ", 40.43 ," 9,014,690.00 ", 40.43 ,0,0,0,17542,0,0
01630,ALABAMA                  ,WALKER                 ,8696," 6,687,187.00 ", 64.08 ," 6,687,187.00 ", 64.08 ,0,0,0,8350,0,0
01640,ALABAMA                  ,WASHINGTON             ,2301," 1,482,824.00 ", 53.70 ," 1,482,824.00 ", 53.70 ,0,0,0,2236,0,0
01650,ALABAMA                  ,WILCOX                 ,1589," 1,573,818.00 ", 82.54 ," 1,573,818.00 ", 82.54 ,0,0,0,1550,0,0
01660,ALABAMA                  ,WINSTON                ,3706," 1,947,620.00 ", 43.79 ," 1,947,620.00 ", 43.79 ,0,0,0,3548,0,0
02010,ALASKA                   ,ALEUTIAN ISLANDS       ,291," 9,720.00 ", 2.78 ," 9,720.00 ", 2.78 ,0,0,0,191,0,0
02020,ALASKA                   ,ANCHORAGE              ,22268," 2,679,515.00 ", 10.03 ," 2,679,515.00 ", 10.03 ,0,0,0,19579,0,0
02040,ALASKA                   ,BARROW-NORTH SLOPE     ,333," 6,575.00 ", 1.65 ," 6,575.00 ", 1.65 ,0,0,0,263,0,0
02050,ALASKA                   ,BETHEL                 ,701, -   , -   , -   , -   ,0,0,0,581,0,0
