AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
06020,COLORADO,ARAPAHOE,"-927,029","-1,014,934","-764,668","-493,372","-410,542"
06030,COLORADO,ARCHULETA,"-6,138","-12,919","-12,371","-15,859","-4,752"
06040,COLORADO,BACA,"-1,308","-4,777","-3,049","-1,811",-779
06050,COLORADO,BENT,"-8,275","-8,887","-17,935","-10,299",-755
06060,COLORADO,BOULDER,"-432,007","-319,126","-398,045","-490,846","-107,631"
06070,COLORADO,CHAFFEE,"-29,490","-43,341","-57,204","-39,690","-6,480"
06080,COLORADO,CHEYENNE,"-2,240","-3,461","-1,601","-1,109",-816
06090,COLORADO,CLEAR CREEK,"-16,261","-14,679","-9,344","-3,228","-3,228"
06100,COLORADO,CONEJOS,"-5,556","-8,228","-9,621","-7,897","-1,147"
06110,COLORADO,COSTILLA,"-3,414","-5,618","-11,108","-4,961",-743
06120,COLORADO,CROWLEY,"-6,854","-9,414","-5,799","-5,203",-904
06130,COLORADO,CUSTER,"-3,127","-5,345","-5,540","-3,520",-152
06140,COLORADO,DELTA,"-29,998","-52,954","-70,704","-54,507","-2,241"
06150,COLORADO,DENVER,"-1,047,263","-973,489","-704,839","-440,900","-351,409"
06160,COLORADO,DOLORES,-764,"-2,604","-3,139","-1,990",442
06170,COLORADO,DOUGLAS,"-138,121","-151,091","-136,710","-110,954","-97,738"
06180,COLORADO,EAGLE,"-16,834","-11,271","-16,454","-20,911","-1,183"
06190,COLORADO,ELBERT,"-15,313","-19,982","-21,424","-17,811","-15,166"
06200,COLORADO,EL PASO,"-1,160,914","-974,766","-1,244,141","-460,106","-412,876"
06210,COLORADO,FREMONT,"-48,250","-63,945","-87,056","-74,402","-8,944"
06220,COLORADO,GARFIELD,"-30,760","-46,945","-59,106","-57,485","-3,543"
06230,COLORADO,GILPIN,"-4,910","-2,471","-3,082","-1,964","-1,300"
06240,COLORADO,GRAND,"-8,655","-11,481","-6,451","-5,662","-6,590"
06250,COLORADO,GUNNISON,"-3,888","-3,893","-2,553","-3,997",-801
06260,COLORADO,HINSDALE,-5,-372,-8,-184,-186
06270,COLORADO,HUERFANO,"-10,692","-14,650","-7,904","-5,583",-507
06280,COLORADO,JACKSON,"-1,142",-233,"-1,523","1,807","2,384"
06290,COLORADO,JEFFERSON,"-782,393","-827,973","-554,553","-348,282","-287,819"
06300,COLORADO,KIOWA,-963,"-3,008",-418,"-1,005",-286
06310,COLORADO,KIT CARSON,"-8,614","-11,103","-10,070","-3,963","-4,742"
06320,COLORADO,LAKE,"-4,944","-3,709","-6,198","-2,299","-2,353"
06330,COLORADO,LA PLATA,"-26,740","-43,983","-57,671","-54,661",964
06340,COLORADO,LARIMER,"30,753","278,856","266,643","352,857","517,291"
06350,COLORADO,LAS ANIMAS,"-12,712","-25,736","-27,991","-18,149","-3,971"
06360,COLORADO,LINCOLN,"-5,429","-5,350","-3,971","-1,819","-2,905"
06370,COLORADO,LOGAN,"-26,717","-32,817","-51,897","-41,960","-2,092"
06380,COLORADO,MESA,"-78,270","-97,541","103,839","132,477","147,988"
06390,COLORADO,MINERAL,-980,-423,-933,-433,-26
06400,COLORADO,MOFFAT,"-4,991","-9,462","-11,531","-11,439","-2,241"
06410,COLORADO,MONTEZUMA,"-9,722","-19,396","-30,961","-28,305","-1,908"
06420,COLORADO,MONTROSE,"-35,058","-42,344","-54,747","-44,545",842
06430,COLORADO,MORGAN,"-34,787","-64,077","-65,627","-76,018","-5,373"
06440,COLORADO,OTERO,"-32,157","-48,643","-73,139","-41,072","-5,474"
06450,COLORADO,OURAY,"1,164","-1,751","-3,081","-2,414",513
06460,COLORADO,PARK,"-11,605","-19,605","-9,594","-7,656","-7,196"
06470,COLORADO,PHILLIPS,"-13,086","-18,267","-15,232","-13,785",625
06480,COLORADO,PITKIN,"-3,896","-9,715","-16,357","-14,450",-320
06490,COLORADO,PROWERS,"-15,467","-22,383","-19,935","-18,507","-1,528"
06500,COLORADO,PUEBLO,"-309,564","-407,982","-282,675","-131,015","18,984"
06510,COLORADO,RIO BLANCO,-711,-99,327,404,933
06520,COLORADO,RIO GRANDE,"-15,416","-25,031","-30,703","-20,956","-4,483"
06530,COLORADO,ROUTT,"-4,744","-7,038","-12,786","-13,533","-1,661"
06540,COLORADO,SAGUACHE,"-3,022","-5,969","-6,357","-6,531","-2,065"
06550,COLORADO,SAN JUAN,-203,-242,-257,-158,-10
06560,COLORADO,SAN MIGUEL,78,-647,"-1,967","-3,124",-554
06570,COLORADO,SEDGWICK,"-1,488","-1,676","-1,495","-2,259",-73
06580,COLORADO,SUMMIT,"-11,943","-17,182","-5,885","-8,942","-5,868"
06590,COLORADO,TELLER,"-34,113","-28,080","-24,809","-8,623","-7,494"
06600,COLORADO,WASHINGTON,"-6,492","-11,641","-15,203","-10,477",-226
06610,COLORADO,WELD,"-187,567","-161,796","-166,548","-198,151","-206,430"
06620,COLORADO,YUMA,"-18,706","-21,476","-23,315","-16,135",422
06630,COLORADO,BROOMFIELD,"-47,874","-48,418","-34,179","-37,897","-18,238"
07000,CONNECTICUT,FAIRFIELD,"3,736,007","4,607,608","2,126,799","964,032","564,348"
07010,CONNECTICUT,HARTFORD,"47,459","2,071,301","2,666,859","1,418,880","337,380"
07020,CONNECTICUT,LITCHFIELD,"323,680","315,863","119,641","111,625","-82,101"
07030,CONNECTICUT,MIDDLESEX,"150,365","471,375","494,084","292,757","129,278"
07040,CONNECTICUT,NEW HAVEN,"6,551,715","6,804,023","4,774,029","2,641,889","2,873,985"
