ADJUSTMENTS TO THE 2012-2014 REIMBURSEMENT COMBINED DATA FOR AGED AND DISABLED PARTS A AND B FOR SHARED SAVING PAYMENTS AND SHARED LOSSES MADE TO ACCOUNTABLE CARE ORGANISATIONS.                                                                                                                          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,2012,2013,2014,,
04460,ARKANSAS,MISSISSIPPI,0,"2,682",638,,
04470,ARKANSAS,MONROE,0,593,"6,835",,
04480,ARKANSAS,MONTGOMERY,0,31,"1,834",,
04490,ARKANSAS,NEVADA,0,0,"2,666",,
04500,ARKANSAS,NEWTON,390,480,299,,
04510,ARKANSAS,OUACHITA,0,228,"4,636",,
04520,ARKANSAS,PERRY,0,0,"11,842",,
04530,ARKANSAS,PHILLIPS,0,0,"5,068",,
04540,ARKANSAS,PIKE,0,0,"1,245",,
04550,ARKANSAS,POINSETT,0,"1,376","1,578",,
04560,ARKANSAS,POLK,0,"1,148","4,071",,
04570,ARKANSAS,POPE,0,582,"8,973",,
04580,ARKANSAS,PRAIRIE,0,"1,529","17,757",,
04590,ARKANSAS,PULASKI,0,"3,826","1,023,949",,
04600,ARKANSAS,RANDOLPH,0,348,264,,
04610,ARKANSAS,ST. FRANCIS,0,888,"1,794",,
04620,ARKANSAS,SALINE,0,"2,155","229,654",,
04630,ARKANSAS,SCOTT,0,0,"1,155",,
04640,ARKANSAS,SEARCY,0,963,889,,
04650,ARKANSAS,SEBASTIAN,-157,225,"1,738",,
04660,ARKANSAS,SEVIER,0,0,356,,
04670,ARKANSAS,SHARP,0,0,750,,
04680,ARKANSAS,STONE,0,486,"2,313",,
04690,ARKANSAS,UNION,0,"3,188","9,105",,
04700,ARKANSAS,VAN BUREN,312,0,"13,182",,
04710,ARKANSAS,WASHINGTON,0,"3,376","8,694",,
04720,ARKANSAS,WHITE,0,"2,237","25,843",,
04730,ARKANSAS,WOODRUFF,0,0,"2,135",,
04740,ARKANSAS,YELL,0,"1,739","3,380",,
05000,CALIFORNIA,ALAMEDA,"911,910","824,034","261,764",,
05010,CALIFORNIA,ALPINE,0,0,0,,
05020,CALIFORNIA,AMADOR,652,"2,725","2,651",,
05030,CALIFORNIA,BUTTE,"2,190","6,559","4,272",,
05040,CALIFORNIA,CALAVERAS,"2,694","8,058","5,281",,
05050,CALIFORNIA,COLUSA,652,"1,095",838,,
05060,CALIFORNIA,CONTRA COSTA,"770,951","5,620,667","2,946,977",,
05070,CALIFORNIA,DEL NORTE,779,"1,348",629,,
05080,CALIFORNIA,EL DORADO,"1,906","10,150","5,071",,
05090,CALIFORNIA,FRESNO,"2,759","14,971","7,569",,
05100,CALIFORNIA,GLENN,340,"1,324",317,,
05110,CALIFORNIA,HUMBOLDT,"1,673","2,882","3,236",,
05120,CALIFORNIA,IMPERIAL,"1,637","4,135","1,790",,
05130,CALIFORNIA,INYO,730,"3,662",383,,
05140,CALIFORNIA,KERN,"3,500","22,997","6,455",,
05150,CALIFORNIA,KINGS,0,"5,704",620,,
05160,CALIFORNIA,LAKE,"2,694","2,572","2,955",,
05170,CALIFORNIA,LASSEN,652,978,"1,424",,
05200,CALIFORNIA,LOS ANGELES,"390,639","6,894,804","620,610",,
05300,CALIFORNIA,MADERA,"1,673","5,744","4,044",,
05310,CALIFORNIA,MARIN,"312,870","146,330","10,858",,
05320,CALIFORNIA,MARIPOSA,964,"1,962","2,498",,
05330,CALIFORNIA,MENDOCINO,"13,410","5,369","2,027",,
05340,CALIFORNIA,MERCED,"1,286","3,894","3,707",,
05350,CALIFORNIA,MODOC,390,303,0,,
05360,CALIFORNIA,MONO,"1,403",516,362,,
05370,CALIFORNIA,MONTEREY,"3,074","8,448","4,897",,
05380,CALIFORNIA,NAPA,"8,818","22,033","8,099",,
05390,CALIFORNIA,NEVADA,"4,328","10,785","7,121",,
05400,CALIFORNIA,ORANGE,"5,336,126","8,251,764","5,262,023",,
05410,CALIFORNIA,PLACER,"7,912","12,366","9,527",,
05420,CALIFORNIA,PLUMAS,"2,211","2,252",838,,
05430,CALIFORNIA,RIVERSIDE,"130,730","350,972","162,759",,
05440,CALIFORNIA,SACRAMENTO,"17,751","44,183","25,649",,
05450,CALIFORNIA,SAN BENITO,"1,304",490,"1,392",,
05460,CALIFORNIA,SAN BERNARDINO,"39,768","145,994","44,659",,
05470,CALIFORNIA,SAN DIEGO,"51,304","2,692,533","73,422",,
05480,CALIFORNIA,SAN FRANCISCO,"2,472,783","1,149,069","20,443",,
05490,CALIFORNIA,SAN JOAQUIN,"8,450","24,791","14,565",,
05500,CALIFORNIA,SAN LUIS OBISPO,"3,691","15,102","7,107",,
05510,CALIFORNIA,SAN MATEO,"578,488","281,245","11,544",,
05520,CALIFORNIA,SANTA BARBARA,"2,330","14,989","6,818",,
05530,CALIFORNIA,SANTA CLARA,"25,936","33,087","21,152",,
05540,CALIFORNIA,SANTA CRUZ,"6,125","8,955","5,529",,
05550,CALIFORNIA,SHASTA,"1,927","5,913","5,176",,
05560,CALIFORNIA,SIERRA,681,586,384,,
05570,CALIFORNIA,SISKIYOU,652,"1,929","1,307",,
05580,CALIFORNIA,SOLANO,"38,078","370,583","204,209",,
05590,CALIFORNIA,SONOMA,"54,464","37,616","9,391",,
05600,CALIFORNIA,STANISLAUS,"7,060","10,082","3,677",,
05610,CALIFORNIA,SUTTER,681,"2,022",470,,
05620,CALIFORNIA,TEHAMA,"1,021",757,"2,036",,
05630,CALIFORNIA,TRINITY,"1,021","1,211",524,,
05640,CALIFORNIA,TULARE,"2,083","111,448","2,161",,
05650,CALIFORNIA,TUOLUMNE,"3,281","5,818","3,650",,
05660,CALIFORNIA,VENTURA,"10,267","162,511","15,588",,
05670,CALIFORNIA,YOLO,"1,673","4,017","3,291",,
05680,CALIFORNIA,YUBA,"1,120","1,522","1,005",,
06000,COLORADO,ADAMS,"1,247","5,381","7,198",,
06010,COLORADO,ALAMOSA,0,0,"1,097",,
06020,COLORADO,ARAPAHOE,"4,349","10,415","12,496",,
06030,COLORADO,ARCHULETA,"1,247","3,412","5,510",,
06040,COLORADO,BACA,0,"2,058",383,,
06050,COLORADO,BENT,0,0,0,,
06060,COLORADO,BOULDER,"1,870","3,990","6,450",,
06070,COLORADO,CHAFFEE,312,786,362,,
06080,COLORADO,CHEYENNE,0,0,0,,
06090,COLORADO,CLEAR CREEK,0,168,"1,290",,
06100,COLORADO,CONEJOS,0,185,0,,
06110,COLORADO,COSTILLA,0,303,253,,
06120,COLORADO,CROWLEY,312,187,0,,
06130,COLORADO,CUSTER,623,455,"2,720",,
06140,COLORADO,DELTA,0,0,"1,520",,
06150,COLORADO,DENVER,"1,543","7,579","12,043",,
06160,COLORADO,DOLORES,0,0,0,,
06170,COLORADO,DOUGLAS,577,"3,769","5,827",,
06180,COLORADO,EAGLE,"1,460","2,345","3,276",,
06190,COLORADO,ELBERT,312,516,104,,
06200,COLORADO,EL PASO,"7,122","16,864","21,645",,
06210,COLORADO,FREMONT,390,"1,059","2,476",,
06220,COLORADO,GARFIELD,623,374,"1,083",,
06230,COLORADO,GILPIN,0,0,224,,
06240,COLORADO,GRAND,"1,325","2,391","3,499",,
06250,COLORADO,GUNNISON,0,"1,312","1,789",,
06260,COLORADO,HINSDALE,0,0,0,,
06270,COLORADO,HUERFANO,0,449,400,,
06280,COLORADO,JACKSON,312,0,0,,
06290,COLORADO,JEFFERSON,"3,266","4,945","12,650",,
06300,COLORADO,KIOWA,0,0,0,,
06310,COLORADO,KIT CARSON,340,151,736,,
06320,COLORADO,LAKE,0,0,574,,
06330,COLORADO,LA PLATA,"2,182","3,462","6,163",,
06340,COLORADO,LARIMER,"4,612","7,367","10,223",,
06350,COLORADO,LAS ANIMAS,0,225,0,,
06360,COLORADO,LINCOLN,0,0,0,,
06370,COLORADO,LOGAN,0,"1,529",661,,
06380,COLORADO,MESA,886,"1,144","2,836",,
06390,COLORADO,MINERAL,*,*,*,,
06400,COLORADO,MOFFAT,0,187,159,,
06410,COLORADO,MONTEZUMA,"1,559","1,029","1,568",,
06420,COLORADO,MONTROSE,"1,325",695,"1,247",,
06430,COLORADO,MORGAN,0,714,"1,977",,
06440,COLORADO,OTERO,0,642,853,,
06450,COLORADO,OURAY,0,"2,232","2,367",,
06460,COLORADO,PARK,"1,247","2,606",122,,
06470,COLORADO,PHILLIPS,0,0,977,,
06480,COLORADO,PITKIN,"1,453","3,772","3,886",,
06490,COLORADO,PROWERS,0,0,0,,
06500,COLORADO,PUEBLO,623,"5,077","4,564",,
06510,COLORADO,RIO BLANCO,0,187,0,,
06520,COLORADO,RIO GRANDE,312,856,723,,
06530,COLORADO,ROUTT,623,"1,749","1,847",,
06540,COLORADO,SAGUACHE,0,0,202,,
06550,COLORADO,SAN JUAN,*,*,*,,
06560,COLORADO,SAN MIGUEL,58,571,439,,
06570,COLORADO,SEDGWICK,312,0,0,,
06580,COLORADO,SUMMIT,312,"3,667","2,495",,
06590,COLORADO,TELLER,0,"1,858","1,309",,
06600,COLORADO,WASHINGTON,623,0,"2,677",,
06610,COLORADO,WELD,"1,559","2,942","3,343",,
06620,COLORADO,YUMA,623,0,0,,
06630,COLORADO,BROOMFIELD,577,"1,904","2,504",,
07000,CONNECTICUT,FAIRFIELD,"42,833","284,850","179,271",,
07010,CONNECTICUT,HARTFORD,"3,922","107,262","48,153",,
07020,CONNECTICUT,LITCHFIELD,"1,797","77,351","11,770",,
07030,CONNECTICUT,MIDDLESEX,331,"1,289,397","11,083",,
07040,CONNECTICUT,NEW HAVEN,"17,686","655,191","38,898",,
07050,CONNECTICUT,NEW LONDON,"4,359","147,416","27,384",,
07060,CONNECTICUT,TOLLAND,618,"15,880","13,711",,
07070,CONNECTICUT,WINDHAM,"2,431","43,969","40,388",,
08000,DELAWARE,KENT,0,"11,203","12,921",,
08010,DELAWARE,NEW CASTLE,681,"15,839","52,954",,
