Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Carrier 2016,Locality 2016,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI WK 2015,GPCI WK 2016,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI PE 2015,GPCI PE 2016,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014,GPCI MP 2015,GPCI MP 2016
01420,ALABAMA,Lowndes,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01430,ALABAMA,Macon,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01440,ALABAMA,Madison,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01450,ALABAMA,Marengo,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01460,ALABAMA,Marion,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01470,ALABAMA,Marshall,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01480,ALABAMA,Mobile,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01490,ALABAMA,Monroe,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01500,ALABAMA,Montgomery,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01510,ALABAMA,Morgan,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01520,ALABAMA,Perry,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01530,ALABAMA,Pickens,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
