DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
02210,ALASKA,SEWARD,"-8,419","-10,838","-17,648","-13,397","-3,167","-8,643"
02220,ALASKA,SITKA BOROUGH,"-34,938","-34,170","-9,499","-16,547",-600,-871
02230,ALASKA,SKAGWAY-YAKUTAT,118,-36,"1,082",0,670,"-1,842"
02240,ALASKA,SOUTHEAST FAIRBANKS,"-5,149","-5,870","-5,799","-3,686",-721,"-4,751"
02250,ALASKA,UPPER YUKON,0,-209,"-2,649","1,191",-721,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"-9,031","-17,352","-18,399",-506,"-2,470","-11,204"
02270,ALASKA,WADE HAMPTON,"-28,755","-46,235","-48,376","-65,014","-4,442","-11,883"
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"-5,751","-6,214","-10,723","-5,568","-3,302","-2,183"
02290,ALASKA,YUKON-KOYUKUK,"-5,434","-12,207","-6,856",229,-635,"-2,401"
03000,ARIZONA,APACHE,"10,268","19,048","25,510","52,933","-75,141","-251,286"
03010,ARIZONA,COCHISE,"-228,243","-218,461","-220,950","-102,550","-31,989","-172,030"
03020,ARIZONA,COCONINO,981,"-50,271","8,730","40,551","-21,590","-76,208"
03030,ARIZONA,GILA,"-139,246","-165,592","-172,929","-160,503","-60,338","-126,485"
03040,ARIZONA,GRAHAM,"-36,980","-65,605","-54,493","-29,169","-19,417","-24,814"
03050,ARIZONA,GREENLEE,"-5,490","-9,044","-10,626","-9,512","-2,903","-6,872"
03055,ARIZONA,LAPAZ,"-71,457","-50,456","-63,436","-25,551","-15,661","-24,297"
03060,ARIZONA,MARICOPA,"-2,587,040","-2,767,056","-2,792,011","-1,139,444","-1,997,077","-6,967,245"
03070,ARIZONA,MOHAVE,"-552,409","-415,509","-460,944","-248,317","-77,463","-229,883"
03080,ARIZONA,NAVAJO,"-49,307","-75,598","-37,270","38,968","-60,224","-176,572"
03090,ARIZONA,PIMA,"-1,255,182","-1,190,342","-1,409,614","-568,585","-519,304","-1,851,158"
03100,ARIZONA,PINAL,"-502,359","-596,741","-647,674","-344,793","-171,952","-689,827"
03110,ARIZONA,SANTA CRUZ,"-23,467","-21,561","-54,551","-11,799","-7,001","-31,642"
03120,ARIZONA,YAVAPAI,"-346,865","-427,677","-381,719","-198,137","-81,486","-229,449"
03130,ARIZONA,YUMA,"-119,528","-99,076","-70,456","-59,675","-13,735","-106,012"
04000,ARKANSAS,ARKANSAS,"-76,945","-59,453","-72,480","-26,616","-6,906","-34,115"
04010,ARKANSAS,ASHLEY,"-57,434","-66,183","-41,914","-32,920","-11,764","-48,093"
04020,ARKANSAS,BAXTER,"-91,477","-120,493","-79,099","-55,918","-14,285","-48,150"
04030,ARKANSAS,BENTON,"-141,232","-146,465","-132,429","-110,393","-36,262","-146,289"
04040,ARKANSAS,BOONE,"-132,736","-175,487","-147,570","-110,211","-7,050","-69,349"
04050,ARKANSAS,BRADLEY,"-16,158","-27,128","-30,884","-15,589","-5,304","-22,654"
04060,ARKANSAS,CALHOUN,"-7,829","-11,246","-8,768","-5,981","-5,072","-8,588"
04070,ARKANSAS,CARROLL,"-34,014","-39,266","-34,874","-46,746","-7,242","-27,726"
04080,ARKANSAS,CHICOT,"-36,060","-26,539","-16,143","-30,814","-9,468","-22,237"
04090,ARKANSAS,CLARK,"-42,595","-37,938","-38,224","-13,938","-7,712","-29,488"
04100,ARKANSAS,CLAY,"-90,559","-125,074","-106,712","-59,540","-9,193","-46,542"
04110,ARKANSAS,CLEBURNE,"-94,951","-82,899","-123,138","-64,688","-10,189","-50,259"
04120,ARKANSAS,CLEVELAND,"-24,558","-8,531","-25,986","-18,859","-3,138","-20,633"
04130,ARKANSAS,COLUMBIA,"-86,160","-91,513","-68,537","-44,123","-10,908","-37,830"
04140,ARKANSAS,CONWAY,"-102,660","-58,394","-54,329","-55,668","-9,535","-41,654"
04150,ARKANSAS,CRAIGHEAD,"-479,846","-478,803","-398,046","-288,589","-68,960","-278,464"
04160,ARKANSAS,CRAWFORD,"-199,959","-161,634","-137,869","-76,558","-21,943","-119,369"
04170,ARKANSAS,CRITTENDEN,"-387,241","-363,596","-340,091","-296,222","-76,381","-346,209"
04180,ARKANSAS,CROSS,"-62,439","-81,489","-87,152","-31,819","-7,778","-42,876"
04190,ARKANSAS,DALLAS,"-12,862","-7,647","-15,001","-14,199","-6,798","-10,090"
04200,ARKANSAS,DESHA,"-51,063","-35,740","-21,336","-15,626","-6,019","-33,277"
04210,ARKANSAS,DREW,"-33,254","-44,555","-55,978","-36,811","-9,698","-48,014"
04220,ARKANSAS,FAULKNER,"-170,543","-166,475","-216,119","-203,078","-60,173","-221,102"
04230,ARKANSAS,FRANKLIN,"-33,311","-29,574","-45,729","-26,931","-14,690","-40,066"
04240,ARKANSAS,FULTON,"-28,907","-62,075","-38,844","-13,842","-8,440","-24,445"
04250,ARKANSAS,GARLAND,"-242,083","-349,719","-272,925","-195,991","-50,184","-182,715"
04260,ARKANSAS,GRANT,"-38,195","-27,182","-18,655","-25,826","-10,365","-20,406"
04270,ARKANSAS,GREENE,"-264,420","-224,975","-239,199","-138,013","-31,069","-154,585"
04280,ARKANSAS,HEMPSTEAD,"-36,373","-45,011","-6,435","-40,121","-5,228","-9,429"
04290,ARKANSAS,HOT SPRING,"-45,129","-110,874","-59,905","-45,877","-5,650","-3,708"
04300,ARKANSAS,HOWARD,"-31,100","-41,954","-42,522","-25,532","-2,258","-14,929"
04310,ARKANSAS,INDEPENDENCE,"-406,651","-360,147","-228,542","-272,996","-49,839","-161,735"
04320,ARKANSAS,IZARD,"-59,126","-59,093","-59,979","-39,622","-5,592","-32,108"
04330,ARKANSAS,JACKSON,"-111,446","-143,277","-90,694","-49,135","-15,719","-59,319"
04340,ARKANSAS,JEFFERSON,"-124,722","-98,150","-75,752","-112,532","-34,439","-100,402"
04350,ARKANSAS,JOHNSON,"-71,521","-76,842","-65,583","-34,938","-13,769","-38,839"
04360,ARKANSAS,LAFAYETTE,"-18,424","-33,669","-17,886","-11,257","-3,975","-11,685"
04370,ARKANSAS,LAWRENCE,"-134,341","-100,173","-113,434","-64,908","-21,741","-60,692"
04380,ARKANSAS,LEE,"-15,055","-13,426","-39,278","-18,963","-5,102","-19,575"
04390,ARKANSAS,LINCOLN,"-3,451","-10,043","-14,276","-6,662","-1,738","-15,289"
04400,ARKANSAS,LITTLE RIVER,"-30,043","-65,798","-56,374","-33,430","-11,478","-29,008"
04410,ARKANSAS,LOGAN,"-65,455","-52,253","-35,665","-31,896","-14,914","-43,425"
04420,ARKANSAS,LONOKE,"-164,521","-112,009","-162,657","-106,440","-39,962","-132,281"
04430,ARKANSAS,MADISON,"-36,820","-24,836","-21,908","-9,161","-7,825","-20,567"
04440,ARKANSAS,MARION,"-42,563","-38,697","-46,850","-20,910","-7,325","-18,351"
04450,ARKANSAS,MILLER,"-101,236","-132,558","-140,649","-129,777","-31,286","-89,088"
04460,ARKANSAS,MISSISSIPPI,"-175,864","-326,014","-278,962","-215,935","-74,460","-311,211"
04470,ARKANSAS,MONROE,"-36,928","-22,005","-31,564","-21,233","-6,281","-30,713"
04480,ARKANSAS,MONTGOMERY,"-20,109","-21,717","-14,759","-12,637","-3,256","-14,624"
04490,ARKANSAS,NEVADA,"-19,901","-21,301","-5,591","-18,421",774,"-6,037"
04500,ARKANSAS,NEWTON,"-24,695","-18,156","-25,843","-10,982","-9,631","-18,284"
04510,ARKANSAS,OUACHITA,"-79,312","-57,990","-71,051","-70,270","-6,667","-45,242"
04520,ARKANSAS,PERRY,"-41,302","-52,624","-25,763","-29,507","-7,774","-24,090"
04530,ARKANSAS,PHILLIPS,"-79,176","-70,418","-52,187","-32,153","-23,409","-83,502"
04540,ARKANSAS,PIKE,"-18,112","-27,987","-20,995","-12,268","-4,401","-16,130"
04550,ARKANSAS,POINSETT,"-162,509","-135,489","-181,752","-70,239","-33,264","-78,598"
04560,ARKANSAS,POLK,"-32,094","-36,274","-37,064","-24,829","-9,066","-30,275"
04570,ARKANSAS,POPE,"-268,716","-222,987","-215,220","-152,339","-22,908","-86,007"
04580,ARKANSAS,PRAIRIE,"-64,012","-40,280","-47,576","-22,034","-4,756","-24,284"
04590,ARKANSAS,PULASKI,"-1,047,231","-992,008","-1,024,077","-692,563","-384,243","-1,457,769"
04600,ARKANSAS,RANDOLPH,"-73,125","-75,264","-47,851","-60,400","-13,361","-60,701"
04610,ARKANSAS,ST. FRANCIS,"-88,262","-64,825","-72,468","-41,540","-25,629","-104,686"
04620,ARKANSAS,SALINE,"-145,244","-134,453","-117,341","-96,786","-42,858","-143,406"
