AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
04600,ARKANSAS,RANDOLPH,"-39,893","-45,497","-40,033","-16,510",0
04610,ARKANSAS,ST. FRANCIS,"-92,735","-100,131","-78,050","-34,661",0
04620,ARKANSAS,SALINE,"-529,712","-557,652","-570,565","-279,544",0
04630,ARKANSAS,SCOTT,"-25,854","-26,457","-26,924","-11,505",0
04640,ARKANSAS,SEARCY,"-37,300","-36,939","-31,902","-15,206",0
04650,ARKANSAS,SEBASTIAN,"-166,274","-174,252","-156,231","-62,607",0
04660,ARKANSAS,SEVIER,"-42,426","-45,481","-36,991","-15,126",0
04670,ARKANSAS,SHARP,"-59,376","-59,892","-52,877","-20,725",0
04680,ARKANSAS,STONE,"-34,272","-37,506","-38,017","-15,024",0
04690,ARKANSAS,UNION,"-135,664","-126,845","-110,369","-41,408",0
04700,ARKANSAS,VAN BUREN,"-40,002","-38,891","-36,568","-14,756",0
04710,ARKANSAS,WASHINGTON,"-211,593","-218,087","-202,825","-81,548",0
04720,ARKANSAS,WHITE,"-186,629","-187,285","-171,580","-72,251",0
04730,ARKANSAS,WOODRUFF,"-36,232","-33,678","-31,832","-15,555",0
04740,ARKANSAS,YELL,"-50,193","-54,191","-49,604","-22,564",0
05000,CALIFORNIA,ALAMEDA,"-3,624,594","-3,639,095","-3,701,883","-1,595,154",0
05010,CALIFORNIA,ALPINE,"-1,182",-925,-695,-367,0
05020,CALIFORNIA,AMADOR,"-66,068","-71,026","-62,161","-23,488",0
05030,CALIFORNIA,BUTTE,"-415,480","-413,346","-402,715","-164,357",0
05040,CALIFORNIA,CALAVERAS,"-90,520","-92,834","-93,888","-33,171",0
05050,CALIFORNIA,COLUSA,"-34,864","-41,262","-39,220","-16,975",0
05060,CALIFORNIA,CONTRA COSTA,"-2,539,733","-2,585,657","-2,519,216","-1,106,673",0
05070,CALIFORNIA,DEL NORTE,"-65,768","-65,295","-54,204","-21,350",0
05080,CALIFORNIA,EL DORADO,"-842,536","-869,060","-808,096","-371,002",0
05090,CALIFORNIA,FRESNO,"-4,397,340","-4,541,928","-4,387,746","-1,816,517",0
