"AGED - PUERTO RICO - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B . REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
40520,PUERTO RICO,NARANJITO,972,"1,288,952",110.51,"1,225,569",105.07,"19,341","11,785","32,256",243,"618,207",212.01,1.072,
40530,PUERTO RICO,OROCOVIS,827,"853,604",86.01,"834,772",84.12,"3,741","11,863","3,227",169,"333,566",164.48,1.016,
40540,PUERTO RICO,PATILLAS,743,"710,446",79.68,"661,679",74.21,"23,399","10,623","14,744",156,"376,911",201.34,0.930,
40550,PUERTO RICO,PENUELAS,744,"1,040,759",116.57,"923,289",103.41,"34,130","10,900","72,437",214,"482,067",187.72,0.948,
40560,PUERTO RICO,PONCE,"8,124","10,204,488",104.67,"9,189,463",94.26,"282,914","96,552","635,557",2843,"7,111,962",208.46,0.986,
40570,PUERTO RICO,QUEBRADILLAS,"1,029","1,326,116",107.40,"1,276,890",103.41,"18,797","14,771","15,658",272,"563,700",172.70,0.939,
40580,PUERTO RICO,RINCON,705,"687,884",81.31,"645,674",76.32,"14,465","3,458","24,286",213,"368,920",144.33,0.900,
40590,PUERTO RICO,RIO GRANDE,865,"1,341,914",129.28,"1,219,184",117.46,"51,626","16,533","54,569",266,"567,243",177.71,0.933,
40610,PUERTO RICO,SABANA GRANDE,"1,088","1,144,297",87.65,"1,066,509",81.69,"25,282","9,471","43,033",347,"900,694",216.30,1.065,
40620,PUERTO RICO,SALINAS,"1,613","1,650,756",85.28,"1,553,205",80.24,"29,453","21,982","46,114",420,"779,698",154.70,0.919,
40630,PUERTO RICO,SAN GERMAN,"1,621","1,834,483",94.31,"1,712,672",88.05,"36,629","18,063","67,117",567,"1,250,587",183.80,0.929,
40640,PUERTO RICO,SAN JUAN,"27,457","34,141,801",103.62,"32,730,517",99.34,"547,935","290,122","573,225",14463,"39,452,639",227.32,1.001,
40650,PUERTO RICO,SAN LORENZO,"1,234","1,301,441",87.89,"1,272,139",85.91,"6,455","14,805","8,040",348,"699,272",167.45,0.962,
