DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,0,0,0,0,0,0,0,0,0,0
02290,ALASKA,YUKON-KOYUKUK,0,91,0,91,-67,0,0,0,0,0
03000,ARIZONA,APACHE,"1,537",-49,750,-370,-91,423,-104,662,-546,-447
03010,ARIZONA,COCHISE,"2,809",-677,"1,131",-784,-885,"2,114",-390,"2,181","-1,867","-1,430"
03020,ARIZONA,COCONINO,"-1,306","-1,688","-1,917","-1,489","-4,994","-2,747","-2,995","-3,027","-2,937","-12,320"
03030,ARIZONA,GILA,"3,093",-533,"1,221","-1,719","-1,125","2,030",-375,"1,537","-1,009","-1,947"
03040,ARIZONA,GRAHAM,859,-142,550,-495,-335,734,-147,776,-427,-448
03050,ARIZONA,GREENLEE,110,-6,167,-183,-154,194,-67,327,-59,-117
03055,ARIZONA,LAPAZ,75,-37,655,-757,-270,0,-85,714,-796,-857
03060,ARIZONA,MARICOPA,"-90,877","-90,310","-70,783","-50,441","-50,242","-83,927","-83,212","-72,413","-53,289","-64,361"
03070,ARIZONA,MOHAVE,"-30,903","-26,743","-19,153","-19,506","-20,571","-26,297","-23,058","-23,924","-16,892","-29,420"
03080,ARIZONA,NAVAJO,"1,285",-235,275,-852,-446,854,-338,618,-507,-932
03090,ARIZONA,PIMA,"-50,346","-44,038","-30,186","-16,282","-8,042","-42,034","-38,891","-31,213","-16,757","-8,390"
03100,ARIZONA,PINAL,"-9,730","-11,217","-7,148","-6,068","-6,863","-10,701","-11,720","-9,001","-6,506","-9,811"
