AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
02120,ALASKA,KENAI-COOK INLET DIVISION,0,0,0,0,0,0,0,0,0,0
02130,ALASKA,KETCHIKAN GATEWAY,"29,011","14,230","4,768","4,870","-5,606","40,856","14,924","6,640","8,903","-12,092"
02140,ALASKA,KOBUK,0,0,0,0,0,0,0,0,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,"6,374","1,681","1,107",617,-527,"9,557","1,980","1,249",501,-151
02160,ALASKA,KUSKOKWIN,0,0,0,0,0,0,0,0,0,0
02170,ALASKA,MATANUSKA-SUSITNA,"60,081","61,093","43,963","42,692","46,837","62,942","70,909","56,177","44,457","45,613"
02180,ALASKA,NOME,441,648,239,80,-588,"1,505",0,173,96,-128
02190,ALASKA,OUTER KETCHIKAN DIVISION,0,0,0,0,0,0,0,0,0,0
02200,ALASKA,PRINCE OF WALES,0,0,0,0,0,0,0,0,0,0
02210,ALASKA,SEWARD,0,0,0,0,0,0,0,0,0,0
02220,ALASKA,SITKA BOROUGH,"6,501","2,846","2,566","2,299","-1,896","8,659","4,461","3,056","2,548","-2,906"
02230,ALASKA,SKAGWAY-YAKUTAT,446,355,85,455,-590,"1,538","1,520",225,220,-638
02240,ALASKA,SOUTHEAST FAIRBANKS,711,894,386,538,-500,367,152,69,268,-613
02250,ALASKA,UPPER YUKON,0,0,0,0,0,0,0,0,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,0,0,0,0,0,0,0
02270,ALASKA,WADE HAMPTON,"1,344",470,0,117,"-1,147",864,164,61,0,-431
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,0,0,0,0,0,0,0,0,0,0
02290,ALASKA,YUKON-KOYUKUK,"3,491",743,319,551,-491,"2,222",164,178,282,-420
03000,ARIZONA,APACHE,"2,620",-598,"2,962","-2,187","-3,056","2,519",-722,"2,308","-1,767","-1,926"
03010,ARIZONA,COCHISE,"20,037","-4,212","17,348","-15,036","-19,049","21,807","-5,002","22,835","-18,121","-18,668"
03020,ARIZONA,COCONINO,"-22,885","-14,816","-12,886","-14,030","-51,457","-22,353","-19,180","-18,146","-17,765","-68,853"
03030,ARIZONA,GILA,"22,665","-5,788","21,407","-18,722","-21,175","15,387","-3,578","15,501","-15,795","-19,197"
03040,ARIZONA,GRAHAM,"5,265",-972,"4,343","-2,981","-4,435","8,138","-1,124","6,227","-4,022","-7,747"
03050,ARIZONA,GREENLEE,"1,500",-266,724,-848,"-1,063","3,266",-513,"1,598",-784,"-1,286"
03055,ARIZONA,LAPAZ,"2,189",-647,"5,349","-3,193","-3,410","2,671","-1,074","8,888","-4,447","-5,464"
03060,ARIZONA,MARICOPA,"-1,043,682","-1,009,381","-793,685","-606,599","-634,159","-881,181","-881,873","-763,135","-605,928","-726,247"
03070,ARIZONA,MOHAVE,"-325,704","-249,463","-199,110","-177,244","-239,033","-225,729","-190,158","-182,435","-156,015","-225,454"
03080,ARIZONA,NAVAJO,"11,630","-2,107","8,542","-7,813","-7,027","11,926","-2,597","11,195","-9,716","-10,425"
03090,ARIZONA,PIMA,"-613,732","-557,826","-389,266","-193,189","-111,569","-587,377","-528,273","-395,844","-220,959","-114,036"
03100,ARIZONA,PINAL,"-82,421","-73,211","-62,364","-48,991","-52,476","-51,615","-47,363","-42,844","-36,442","-51,499"
03110,ARIZONA,SANTA CRUZ,"2,361",-985,"2,979","-2,860","-3,714","3,799","-1,135","5,779","-4,013","-4,151"
03120,ARIZONA,YAVAPAI,"267,814","-407,717","-437,093","-421,134","252,487","183,201","-320,526","-428,962","-402,985","281,626"
03130,ARIZONA,YUMA,"234,967","223,292","217,809","188,512","154,623","177,618","152,392","189,426","178,860","127,947"
04000,ARKANSAS,ARKANSAS,"-4,359",-82,709,"-4,605","-5,488","-6,004",-131,990,"-6,644","-7,905"
04010,ARKANSAS,ASHLEY,"-5,308",-135,"1,169","-6,848","-7,225","-7,038",-170,"1,838","-10,448","-11,561"
