"AGED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
02020,ALASKA,ANCHORAGE,"26,379","4,355,620",13.76,"4,355,620",13.76,0,0,0,"22,883",0,0
02040,ALASKA,BARROW DIVISION,363,"8,079",1.85,"8,078",1.85,0,0,0,280,0,0
02050,ALASKA,BETHEL,734,"5,431",0.62,"5,431",0.62,0,0,0,614,0,0
02060,ALASKA,BRISTOL BAY BOROUGH,568,"40,834",5.99,"40,834",5.99,0,0,0,516,0,0
02070,ALASKA,DILLINGHAM,439,0,0.00,0,0.00,0,0,0,352,0,0
02080,ALASKA,CORDOVA-MC CARTHY,268,0,0.00,0,0.00,0,0,0,243,0,0
02090,ALASKA,FAIRBANKS NORTH STAR,"7,039","1,370,407",16.22,"1,370,406",16.22,0,0,0,"6,267",0,0
02100,ALASKA,HAINES,433,"11,693",2.25,"11,693",2.25,0,0,0,398,0,0
02110,ALASKA,JUNEAU,"3,785","562,492",12.38,"562,492",12.38,0,0,0,"3,408",0,0
02120,ALASKA,KENAI-COOK INLET DIVISION,"7,157","251,453",2.93,"251,454",2.93,0,0,0,"6,505",0,0
02130,ALASKA,KETCHIKAN GATEWAY,"1,780","85,283",3.99,"85,283",3.99,0,0,0,"1,617",0,0
02140,ALASKA,KOBUK,444,0,0.00,0,0.00,0,0,0,344,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,787,0,0.00,0,0.00,0,0,0,677,0,0
02160,ALASKA,KUSKOKWIN,213,0,0.00,0,0.00,0,0,0,153,0,0
