DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
03080,ARIZONA,NAVAJO,"-1,513","-4,485","-2,146","-6,056","-8,206"
03090,ARIZONA,PIMA,"-88,089","-95,897","-51,169","-23,682","-2,445"
03100,ARIZONA,PINAL,"-25,546","-20,550","-14,794","-12,296","-8,803"
03110,ARIZONA,SANTA CRUZ,"-2,523",-542,-372,-275,63
03120,ARIZONA,YAVAPAI,-751,"-61,320","-43,285","-28,029","10,069"
03130,ARIZONA,YUMA,"26,076","18,332","20,748","22,863","19,015"
04000,ARKANSAS,ARKANSAS,-536,-70,-292,-375,-847
04010,ARKANSAS,ASHLEY,-718,-44,-34,"-2,437","-1,335"
04020,ARKANSAS,BAXTER,"-2,952","-1,269",-931,"-2,073","-1,899"
04030,ARKANSAS,BENTON,"-11,064","-13,411","-37,364","-33,507","-10,785"
04040,ARKANSAS,BOONE,"-3,685",-143,"-2,326","-3,712","-3,802"
04050,ARKANSAS,BRADLEY,168,-7,-125,-971,-521
04060,ARKANSAS,CALHOUN,-99,-248,44,-195,-347
04070,ARKANSAS,CARROLL,"-1,694","-1,961","-5,231","-2,501","-3,010"
04080,ARKANSAS,CHICOT,-18,-485,2,"-1,362","-1,398"
04090,ARKANSAS,CLARK,"-1,448","-1,475","-1,159",-965,"-1,290"
04100,ARKANSAS,CLAY,-617,30,-215,-683,-474
04110,ARKANSAS,CLEBURNE,-559,-330,-248,"-1,267","-3,137"
04120,ARKANSAS,CLEVELAND,621,-685,-163,-651,"-1,359"
04130,ARKANSAS,COLUMBIA,"-6,824",-491,-797,"-4,079","-1,621"
04140,ARKANSAS,CONWAY,-837,-495,"-1,536","-3,404","-2,571"
04150,ARKANSAS,CRAIGHEAD,"5,155","2,538",-396,"-13,661","-8,636"
04160,ARKANSAS,CRAWFORD,"-9,083","-5,471","-8,296","-14,086","-4,036"
04170,ARKANSAS,CRITTENDEN,"-13,753","-10,992","-13,732","-5,232","-8,680"
