"DISABLED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
01490,ALABAMA,MONROE,"1,101","2,638,514",199.71,"2,472,761",187.16,"77,593","53,306","34,853","1,018","4,729,891",387.19,0.925,
01500,ALABAMA,MONTGOMERY,"5,988","17,925,119",249.46,"16,851,308",234.51,"389,344","565,332","119,134","5,165","19,952,398",321.92,0.931,
01510,ALABAMA,MORGAN,"4,570","13,195,919",240.63,"12,675,002",231.13,"171,878","279,898","69,140","4,165","22,631,949",452.82,0.970,
01520,ALABAMA,PERRY,627,"1,714,178",227.83,"1,598,877",212.50,"39,474","57,437","18,388",594,"1,951,128",273.73,0.992,
01530,ALABAMA,PICKENS,"1,272","3,792,498",248.46,"3,548,838",232.50,"102,039","104,668","36,952","1,162","4,932,813",353.76,0.919,
01540,ALABAMA,PIKE,"1,044","2,879,707",229.86,"2,726,199",217.61,"65,435","71,510","16,562",957,"3,960,409",344.86,0.894,
01550,ALABAMA,RANDOLPH,963,"3,705,850",320.69,"3,509,024",303.65,"85,454","86,979","24,392",902,"3,991,178",368.73,0.967,
01560,ALABAMA,RUSSELL,"2,178","7,467,429",285.71,"7,012,705",268.32,"170,743","219,524","64,455","1,973","8,358,504",353.04,0.981,
01570,ALABAMA,ST. CLAIR,"1,765","5,320,615",251.21,"4,952,634",233.84,"169,153","92,244","106,583","1,486","6,723,896",377.07,0.957,
01580,ALABAMA,SHELBY,"2,074","5,885,966",236.50,"5,520,525",221.81,"158,831","123,638","82,969","1,708","8,352,621",407.52,0.921,
01590,ALABAMA,SUMTER,859,"2,782,696",269.95,"2,639,368",256.05,"54,910","73,069","15,348",808,"3,058,918",315.48,0.970,
01600,ALABAMA,TALLADEGA,"4,083","10,553,100",215.39,"9,900,740",202.07,"234,817","286,461","131,080","3,617","14,944,891",344.32,0.926,
01610,ALABAMA,TALLAPOOSA,"2,441","6,189,979",211.32,"5,851,508",199.76,"127,189","169,354","41,926","2,232","9,835,647",367.22,0.987,
01620,ALABAMA,TUSCALOOSA,"7,508","25,176,604",279.44,"23,350,044",259.17,"786,259","731,268","309,031","6,811","29,663,202",362.93,0.979,
01630,ALABAMA,WALKER,"3,095","9,937,695",267.57,"9,153,096",246.45,"344,368","233,841","206,389","2,774","13,229,963",397.44,1.029,
01640,ALABAMA,WASHINGTON,816,"1,989,834",203.21,"1,861,968",190.15,"63,670","39,968","24,228",742,"2,771,862",311.31,0.918,
01650,ALABAMA,WILCOX,925,"2,456,465",221.30,"2,274,470",204.91,"79,206","72,828","29,959",878,"3,692,836",350.50,0.915,
01660,ALABAMA,WINSTON,"1,184","4,548,947",320.17,"4,293,335",302.18,"100,910","104,248","50,453","1,101","5,807,676",439.58,0.992,
02010,ALASKA,ALEUTIANS ISLANDS,40,"298,347",621.56,"285,595",594.99,"1,865","10,662",223,35,"233,985",557.11,0.752,
02020,ALASKA,ANCHORAGE,"5,475","24,000,711",365.31,"22,807,229",347.14,"438,123","641,497","113,860","4,870","24,989,631",427.61,0.864,
02040,ALASKA,BARROW DIVISION,75,"342,648",380.72,"331,314",368.13,996,"9,778",560,65,"365,510",468.60,0.864,
02050,ALASKA,BETHEL,93,"500,873",448.81,"480,683",430.72,"3,294","16,258",637,84,"232,418",230.57,0.811,
02060,ALASKA,BRISTOL BAY BOROUGH,106,"524,627",412.44,"504,168",396.36,"2,246","16,747","1,465",94,"465,286",412.49,0.782,
02070,ALASKA,DILLINGHAM,64,"247,579",322.37,"211,604",275.53,"22,600","12,163","1,210",62,"323,476",434.78,0.893,
02080,ALASKA,CORDOVA-MC CARTHY,19,"99,908",438.19,"84,422",370.27,"10,202","2,435","2,848",17,"89,020",436.37,0.715,
02090,ALASKA,FAIRBANKS NORTH STAR,"1,328","5,066,724",317.94,"4,889,829",306.84,"46,885","117,347","12,662","1,175","4,938,155",350.22,0.789,
02100,ALASKA,HAINES,46,"482,819",874.67,"460,308",833.89,"10,670","6,695","5,145",42,"360,575",715.43,0.784,
02110,ALASKA,JUNEAU,674,"3,156,241",390.24,"3,027,965",374.38,"53,793","64,755","9,727",602,"3,041,800",421.07,0.800,
02120,ALASKA,KENAI-COOK INLET DIVISION,"1,182","4,246,729",299.40,"4,142,374",292.05,"34,854","58,646","10,853","1,066","6,098,913",476.78,0.841,
02130,ALASKA,KETCHIKAN GATEWAY,279,"1,257,284",375.53,"1,220,048",364.41,"14,643","17,559","5,032",257,"1,498,528",485.90,0.894,
02140,ALASKA,KOBUK,62,"283,291",380.77,"273,799",368.01,0,"9,491",0,57,"292,962",428.31,0.901,
02150,ALASKA,KODIAK ISLAND BOROUGH,85,"926,437",908.27,"892,130",874.64,"21,741","11,092","1,472",71,"377,066",442.57,0.753,
02160,ALASKA,KUSKOKWIN,17,"91,098",446.56,"86,059",421.86,503,"4,423",111,15,"83,683",464.91,0.811,
02170,ALASKA,MATANUSKA-SUSITNA,"1,547","6,600,455",355.55,"6,358,988",342.54,"87,747","135,959","17,759","1,376","7,801,119",472.45,0.877,
02180,ALASKA,NOME,83,"620,881",623.37,"597,421",599.82,"2,724","20,209",525,73,"604,010",689.51,0.841,
02190,ALASKA,OUTER KETCHIKAN DIVISION,35,"188,953",449.89,"185,346",441.30,0,"3,607",0,33,"131,852",332.96,0.934,
02200,ALASKA,PRINCE OF WALES,65,"232,142",297.62,"220,443",282.62,"6,199","4,132","1,367",58,"493,590",709.18,0.934,
02210,ALASKA,SEWARD,99,"314,397",264.64,"296,636",249.69,"5,500","10,093","2,167",88,"569,073",538.89,0.841,
02220,ALASKA,SITKA BOROUGH,141,"706,357",417.47,"685,960",405.41,"7,842","9,746","2,808",131,"1,512,675",962.26,0.902,
02230,ALASKA,SKAGWAY-YAKUTAT,47,"705,232","1,250.41","682,269","1,209.70","3,893","17,746","1,322",42,"332,476",659.67,0.724,
02240,ALASKA,SOUTHEAST FAIRBANKS,62,"292,921",393.71,"277,851",373.46,"2,178","12,556",335,55,"183,708",278.35,0.870,
02250,ALASKA,UPPER YUKON,21,0,0.00,0,0.00,0,0,0,21,"40,364",160.17,0.864,
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,171,"682,702",332.70,"660,705",321.98,"6,856","13,553","1,586",153,"653,716",356.05,0.715,
02270,ALASKA,WADE HAMPTON,67,"348,054",432.90,"327,040",406.77,"5,676","13,783","1,554",63,"582,098",769.97,0.967,
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,103,"515,686",417.22,"503,633",407.47,"6,855","3,234","1,963",94,"478,386",424.10,0.832,
02290,ALASKA,YUKON-KOYUKUK,66,"152,868",193.02,"140,913",177.92,"4,408","7,021",525,63,"179,707",237.71,0.816,
03000,ARIZONA,APACHE,"1,366","5,856,331",357.27,"5,513,284",336.34,"133,702","155,720","53,623","1,217","4,961,878",339.76,0.911,
03010,ARIZONA,COCHISE,"2,248","6,511,174",241.37,"5,819,878",215.74,"384,051","138,730","168,513","1,893","7,442,316",327.62,0.881,
03020,ARIZONA,COCONINO,"2,043","9,289,915",378.93,"8,845,748",360.82,"83,289","315,564","45,314","1,755","7,300,945",346.67,0.850,
03030,ARIZONA,GILA,"1,555","5,750,912",308.19,"5,497,489",294.61,"113,917","81,718","57,786","1,382","5,765,625",347.66,0.933,
03040,ARIZONA,GRAHAM,556,"1,476,075",221.23,"1,399,318",209.73,"36,314","26,235","14,206",471,"1,601,599",283.37,0.844,
03050,ARIZONA,GREENLEE,132,"171,179",108.07,"156,755",98.96,"6,107","4,783","3,533",118,"343,830",242.82,0.811,
03055,ARIZONA,LAPAZ,422,"1,519,586",300.08,"1,437,481",283.86,"47,375","20,298","14,430",353,"1,572,851",371.31,0.918,
03060,ARIZONA,MARICOPA,"39,378","152,002,865",321.67,"141,688,581",299.85,"4,220,263","3,458,301","2,635,718","30,544","147,046,715",401.19,0.918,
03070,ARIZONA,MOHAVE,"4,871","16,500,447",282.29,"15,770,375",269.80,"302,398","307,116","120,557","4,218","17,272,335",341.24,0.949,
03080,ARIZONA,NAVAJO,"2,212","8,521,731",321.04,"8,080,488",304.42,"152,967","217,546","70,729","1,948","7,923,311",338.95,0.883,
03090,ARIZONA,PIMA,"11,772","41,006,052",290.28,"36,079,631",255.41,"2,596,187","1,004,989","1,325,243","9,164","37,238,749",338.63,0.897,
03100,ARIZONA,PINAL,"5,214","20,127,794",321.69,"19,078,456",304.92,"449,707","393,015","206,613","4,306","20,890,719",404.29,0.907,
03110,ARIZONA,SANTA CRUZ,412,"853,022",172.54,"780,368",157.84,"36,421","20,186","16,045",332,"1,327,583",333.23,0.800,
03120,ARIZONA,YAVAPAI,"4,758","14,114,686",247.21,"13,468,566",235.89,"257,070","263,644","125,405","3,907","17,297,881",368.95,0.864,
03130,ARIZONA,YUMA,"2,267","8,822,869",324.32,"8,401,012",308.82,"155,268","192,714","73,874","1,975","8,261,780",348.60,0.959,
04000,ARKANSAS,ARKANSAS,692,"2,184,273",263.04,"2,088,446",251.50,"30,115","48,429","17,281",628,"2,413,502",320.26,0.885,
04010,ARKANSAS,ASHLEY,891,"2,958,312",276.68,"2,799,085",261.79,"65,396","68,108","25,722",819,"3,448,308",350.87,0.944,
04020,ARKANSAS,BAXTER,"1,654","4,477,204",225.57,"4,352,617",219.30,"47,029","60,969","16,588","1,500","6,524,532",362.47,0.958,
04030,ARKANSAS,BENTON,"3,754","10,701,157",237.55,"10,342,109",229.58,"112,537","190,800","55,710","3,183","13,799,501",361.28,0.949,
