"IPPS and OPPS Provider Indices by Fiscal Year — Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
Provider Number,CBSA 2016,SSA Code,State,County,IPPS Provider  2010 A,IPPS Provider  2010 B,IPPS Provider  2011,IPPS Provider  2012,IPPS Provider  2013,IPPS Provider  2014,IPPS Provider  2016
040134,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040147,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040074,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040047,NA,04600,AR,RANDOLPH,0.7676,0.7676,0.7516,0.7445,0.7538,0.751,0.737
040019,NA,04610,AR,ST. FRANCIS,0.8936,0.8936,0.7732,0.7661,0.7754,0.7662,0.7522
040084,30780,04620,AR,SALINE,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040062,22900,04650,AR,SEBASTIAN,0.7994,0.7994,0.7713,0.7691,0.7923,0.762,0.8553
040055,22900,04650,AR,SEBASTIAN,0.7994,0.7994,0.7713,0.7691,0.7923,0.762,0.7469
040088,NA,04690,AR,UNION,0.7925,0.7925,0.8163,0.804,0.7841,0.785,0.7585
040152,22220,04710,AR,WASHINGTON,,,0.8604,0.9154,0.9284,0.8936,0.8658
040022,22220,04710,AR,WASHINGTON,0.8787,0.8787,0.8604,0.9154,0.9284,0.8936,0.8658
040004,22220,04710,AR,WASHINGTON,0.8787,0.8787,0.8604,0.9154,0.9284,0.8936,0.8658
040014,NA,04720,AR,WHITE,0.8455,0.8455,0.8461,0.8455,0.8413,0.8415,0.8143
040011,NA,04740,AR,YELL,0.7559,0.7559,0.7479,0.7408,0.7501,0.7441,0.7301
050488,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050075,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050002,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050305,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050195,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050283,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050211,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050512,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050320,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050043,36084,05000,CA,ALAMEDA,1.6059,1.6043,1.6174,1.6111,1.6648,1.665,1.7175
050773,36084,05000,CA,ALAMEDA,,,,,,1.6462,1.7175
050014,NA,05020,CA,AMADOR,1.3354,1.3341,1.3602,1.3318,1.4203,1.2773,1.5686
050039,17020,05030,CA,BUTTE,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050225,17020,05030,CA,BUTTE,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050030,17020,05030,CA,BUTTE,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050434,NA,05050,CA,COLUSA,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050276,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050072,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050079,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050496,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050760,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050689,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050180,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050523,36084,05060,CA,CONTRA COSTA,1.5857,1.5841,1.5852,1.5498,1.609,1.6439,1.6893
050417,NA,05070,CA,DEL NORTE,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050352,40900,05080,CA,EL DORADO,1.3594,1.3581,1.3602,1.3318,1.4203,1.4887,1.5686
050254,40900,05080,CA,EL DORADO,1.3594,1.3581,1.3602,1.3318,1.4203,1.4887,1.5686
050492,23420,05090,CA,FRESNO,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050708,23420,05090,CA,FRESNO,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050397,23420,05090,CA,FRESNO,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
050710,23420,05090,CA,FRESNO,1.1831,1.182,1.187,1.195,1.2282,1.2477,1.3012
