AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
03040,ARIZONA                  ,GRAHAM,"16,734","9,441","-3,988","-11,425","-130,812",,,,,
03050,ARIZONA                  ,GREENLEE,"1,473",-164,"-1,387","-5,915","-29,714",,,,,
03055,ARIZONA                  ,LA PAZ,"39,807","39,707","23,235",-288,"-122,164",,,,,
03060,ARIZONA                  ,MARICOPA,"506,476","-712,894","-548,600","-579,052","-1,735,289",,,,,
03070,ARIZONA                  ,MOHAVE,"249,899","-72,695","-59,186","-333,050","-216,313",,,,,
03080,ARIZONA                  ,NAVAJO,"76,648","37,092","10,451","-31,490","-314,669",,,,,
03090,ARIZONA                  ,PIMA,"-239,013","-747,904","-630,611","-1,177,739","-2,942,712",,,,,
03100,ARIZONA                  ,PINAL,"63,440","-36,014","-22,249","-22,625","-181,049",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-9,602","-21,413","-20,301","-32,767","-101,847",,,,,
03120,ARIZONA                  ,YAVAPAI,"395,566","-139,833","-1,252,645","-1,238,127","-701,368",,,,,
03130,ARIZONA                  ,YUMA,"195,420","488,561","439,938","251,106","-283,325",,,,,
04000,ARKANSAS                 ,ARKANSAS,"-46,211","-29,250","-23,267","-25,626","-20,429",,,,,
04010,ARKANSAS                 ,ASHLEY,"-34,130","-32,727","-38,223","-35,902","-26,933",,,,,
04020,ARKANSAS                 ,BAXTER,"-64,282","-74,539","-47,561","-68,886","-42,299",,,,,
04030,ARKANSAS                 ,BENTON,"-123,354","33,126","36,059","-379,449","-389,567",,,,,
04040,ARKANSAS                 ,BOONE,"-74,294","8,273","-41,419","-148,192","-133,279",,,,,
04050,ARKANSAS                 ,BRADLEY,"-15,069","-12,892","-13,758","-15,563","-11,934",,,,,
04060,ARKANSAS                 ,CALHOUN,"-5,534","-6,177","-7,708","-8,970","-4,445",,,,,
04070,ARKANSAS                 ,CARROLL,"-14,978","-2,816","-3,853","-47,338","-41,942",,,,,
04080,ARKANSAS                 ,CHICOT,"-16,798","-11,849","-12,585","-11,154","-6,413",,,,,
04090,ARKANSAS                 ,CLARK,"-36,381","-33,906","-39,323","-36,511","-19,019",,,,,
04100,ARKANSAS                 ,CLAY,"-24,461","-14,944","-13,720","-6,591","2,772",,,,,
04110,ARKANSAS                 ,CLEBURNE,"-55,538","-41,277","-36,678","-50,659","-36,430",,,,,
04120,ARKANSAS                 ,CLEVELAND,"-14,662","-11,251","-11,023","-14,474","-11,476",,,,,
