AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-38,619","-42,190","-5,325","-30,581","-57,608",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-56,525","-68,504","-59,849","-46,665","-11,919",,,,,
04180,ARKANSAS                 ,CROSS,"-10,521",128,"9,730","3,178","-3,055",,,,,
04190,ARKANSAS                 ,DALLAS,"-8,147",542,"5,002","1,956","-2,266",,,,,
04200,ARKANSAS                 ,DESHA,"-7,811","7,261","6,943","3,102","-2,532",,,,,
04210,ARKANSAS                 ,DREW,"-19,078","3,112","14,135","11,137","-4,398",,,,,
04220,ARKANSAS                 ,FAULKNER,"-108,907","-74,232","-77,512","-82,641","-88,098",,,,,
04230,ARKANSAS                 ,FRANKLIN,"-17,021","-20,218","-5,356","-11,473","-28,059",,,,,
04240,ARKANSAS                 ,FULTON,"-14,209",730,"8,779","4,080","-1,614",,,,,
04250,ARKANSAS                 ,GARLAND,"-291,644","-260,926","-355,479","-253,096","-148,404",,,,,
04260,ARKANSAS                 ,GRANT,"-21,842","-9,419","-15,380","-11,140","-11,937",,,,,
04270,ARKANSAS                 ,GREENE,"-27,971","2,561","25,218","16,825","-13,494",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-30,645","-5,753","4,479","-3,353","-5,900",,,,,
04290,ARKANSAS                 ,HOT SPRING,"-34,720","-9,610","-8,350","-4,239","-15,887",,,,,
04300,ARKANSAS                 ,HOWARD,"-14,962","-4,508","5,488","2,260","-5,652",,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-33,189","1,434","32,263","24,959","-12,096",,,,,
04320,ARKANSAS                 ,IZARD,"-11,954",-919,"10,648","5,661","-3,791",,,,,
04330,ARKANSAS                 ,JACKSON,"-24,812","-2,736","14,648","11,364","-10,581",,,,,
04340,ARKANSAS                 ,JEFFERSON,"58,379","168,009","17,280","65,889","20,901",,,,,
04350,ARKANSAS                 ,JOHNSON,"-12,296",-611,"5,366","3,348","-3,726",,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-12,884","-4,680","1,844","-2,830","-4,350",,,,,
04370,ARKANSAS                 ,LAWRENCE,"-15,641","1,585","7,568","5,606","-4,097",,,,,
04380,ARKANSAS                 ,LEE,"-2,869","-1,349",-583,"-1,112","-2,979",,,,,
04390,ARKANSAS                 ,LINCOLN,"10,626","33,619","5,839","18,984","7,329",,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-20,215","-5,032","5,476","-2,272","-4,509",,,,,
04410,ARKANSAS                 ,LOGAN,"-17,682","-3,847","14,161","5,757","-9,062",,,,,
04420,ARKANSAS                 ,LONOKE,"-58,948","-37,143","-36,636","-40,428","-41,884",,,,,
04430,ARKANSAS                 ,MADISON,"-16,334","-8,259","-11,091","-47,414","-32,432",,,,,
04440,ARKANSAS                 ,MARION,"-10,785",-600,"7,617","5,563","-6,088",,,,,
04450,ARKANSAS                 ,MILLER,"-185,042","-142,461","-107,440","-115,153","-94,789",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-26,057","1,810","22,491","9,253","-18,273",,,,,
04470,ARKANSAS                 ,MONROE,"-7,628","-4,175","2,865",-257,"-3,218",,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-8,043",-808,"5,119","2,251","-3,318",,,,,
