"DISABLED -- PUERTO RICO 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PART A AND/OR PART B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
STATE,CODE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
40460,PUERTO RICO              ,MARICAO,27,"14,602",44.52,"14,602",44.52,0,0,0,5,"1,972",32.35,0.901,,,,,,
40470,PUERTO RICO              ,MAUNABO,240,"115,205",39.91,"103,068",35.70,"1,972","7,502","2,661",55,"74,163",111.70,1.048,,,,,,
40480,PUERTO RICO              ,MAYAGUEZ,"1,039","1,212,109",97.19,"1,102,721",88.42,"56,057","14,748","38,581",257,"629,005",203.70,0.944,,,,,,
40490,PUERTO RICO              ,MOCA,429,"150,674",29.25,"135,162",26.24,"5,592","6,917","3,002",107,"199,963",155.62,0.936,,,,,,
40500,PUERTO RICO              ,MOROVIS,450,"195,759",36.25,"181,935",33.69,"4,279","8,089","1,454",87,"78,600",74.71,0.994,,,,,,
40510,PUERTO RICO              ,NAGUABO,379,"176,484",38.76,"161,801",35.54,"2,261","9,958","2,463",91,"197,608",179.81,0.896,,,,,,
40520,PUERTO RICO              ,NARANJITO,497,"255,669",42.81,"243,945",40.85,"1,373","6,603","3,745",124,"301,877",202.60,1.038,,,,,,
40530,PUERTO RICO              ,OROCOVIS,481,"244,278",42.26,"225,514",39.01,"3,686","10,587","4,490",104,"131,114",104.98,0.966,,,,,,
40540,PUERTO RICO              ,PATILLAS,361,"228,719",52.71,"208,678",48.09,"3,834","13,567","2,638",77,"76,565",82.15,0.899,,,,,,
40550,PUERTO RICO              ,PENUELAS,233,"201,176",71.75,"176,635",62.99,"6,721","8,856","8,962",61,"85,163",116.34,0.919,,,,,,
40560,PUERTO RICO              ,PONCE,"2,040","1,780,719",72.71,"1,557,198",63.59,"51,880","57,171","114,468",554,"1,021,438",153.46,0.942,,,,,,
40570,PUERTO RICO              ,QUEBRADILLAS,502,"346,102",57.37,"316,901",52.53,"6,959","17,488","4,753",122,"202,919",137.76,0.947,,,,,,
40580,PUERTO RICO              ,RINCON,158,"48,449",25.55,"43,845",23.13,"1,364",323,"2,916",39,"92,118",195.58,0.910,,,,,,
40590,PUERTO RICO              ,RIO GRANDE,274,"99,850",30.29,"82,539",25.03,"4,672","4,341","8,297",51,"85,367",139.49,0.940,,,,,,
40610,PUERTO RICO              ,SABANA GRANDE,259,"255,017",82.03,"233,695",75.17,"6,515","6,049","8,756",70,"96,597",113.51,0.999,,,,,,
40620,PUERTO RICO              ,SALINAS,705,"779,921",92.08,"658,709",77.77,"36,973","55,286","28,951",211,"295,340",116.37,0.909,,,,,,
40630,PUERTO RICO              ,SAN GERMAN,305,"252,930",69.05,"206,981",56.51,"10,183","15,224","20,541",105,"281,204",222.12,0.915,,,,,,
40640,PUERTO RICO              ,SAN JUAN,"4,045","3,996,796",82.33,"3,542,341",72.97,"111,695","187,794","154,966","1,249","2,763,234",184.23,1.001,,,,,,
40650,PUERTO RICO              ,SAN LORENZO,559,"308,057",45.90,"282,065",42.03,"5,325","15,675","4,991",179,"385,300",179.05,0.983,,,,,,
40660,PUERTO RICO              ,SAN SEBASTIAN,459,"209,114",37.89,"195,092",35.35,"3,846","4,711","5,464",135,"258,088",159.11,0.956,,,,,,
40670,PUERTO RICO              ,SANTA ISABEL,276,"105,052",31.69,"93,731",28.27,"1,783","4,993","4,544",66,"47,622",59.97,0.960,,,,,,
40680,PUERTO RICO              ,TOA ALTA,770,"287,891",31.12,"258,564",27.95,"7,131","15,168","7,027",221,"282,014",106.22,0.917,,,,,,
40690,PUERTO RICO              ,TOA BAJA,300,"191,133",53.03,"173,675",48.19,"7,355","4,173","5,929",83,"153,525",153.99,0.918,,,,,,
40700,PUERTO RICO              ,TRUJILLO ALTO,516,"384,798",62.03,"351,154",56.61,"11,179","15,744","6,720",157,"321,005",169.57,0.970,,,,,,
40710,PUERTO RICO              ,UTUADO,320,"151,678",39.45,"135,871",35.34,"2,543","9,762","3,501",61,"70,962",96.94,0.906,,,,,,
40720,PUERTO RICO              ,VEGA ALTA,472,"243,268",42.93,"222,841",39.32,"4,109","9,106","7,211",120,"231,462",159.96,0.994,,,,,,
40730,PUERTO RICO              ,VEGA BAJA,876,"740,156",70.36,"695,836",66.15,"14,084","25,243","4,991",277,"592,745",177.73,0.961,,,,,,
40740,PUERTO RICO              ,VIEQUES,392,"276,755",58.70,"252,147",53.48,"5,898","7,228","11,481",119,"179,828",125.32,0.816,,,,,,
40750,PUERTO RICO              ,VILLALBA,380,"432,961",94.89,"398,960",87.43,"6,484","15,675","11,839",81,"146,670",149.82,1.021,,,,,,
