DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
03070,ARIZONA                  ,MOHAVE,"131,731","76,579","33,416","18,294","15,688",,,,,,
03080,ARIZONA                  ,NAVAJO,"36,733","21,094","10,632","6,424","6,178",,,,,,
03090,ARIZONA                  ,PIMA,"283,790","149,199","80,427","52,799","48,450",,,,,,
03100,ARIZONA                  ,PINAL,"129,255","71,131","45,443","32,713","34,928",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"9,216","5,187","2,085","1,232","1,635",,,,,,
03120,ARIZONA                  ,YAVAPAI,"138,510","81,656","48,729","37,755","36,138",,,,,,
03130,ARIZONA                  ,YUMA,"67,208","31,242","19,633","15,712","15,750",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"10,207","-15,746","-19,239","4,548","4,352",,,,,,
04010,ARKANSAS                 ,ASHLEY,"16,166","-24,321","-28,462","7,833","7,296",,,,,,
04020,ARKANSAS                 ,BAXTER,"32,316","-50,046","-53,170","9,990","8,884",,,,,,
04030,ARKANSAS                 ,BENTON,"41,177","-72,749","-81,094","19,296","19,807",,,,,,
04040,ARKANSAS                 ,BOONE,"20,509","-41,902","-43,140","6,736","6,481",,,,,,
04050,ARKANSAS                 ,BRADLEY,"9,019","-13,203","-16,156","3,837","3,426",,,,,,
04060,ARKANSAS                 ,CALHOUN,"3,141","-4,671","-5,323","1,587","1,243",,,,,,
04070,ARKANSAS                 ,CARROLL,"8,884","-17,697","-21,561","3,249","2,659",,,,,,
04080,ARKANSAS                 ,CHICOT,"5,700","-13,404","-12,172","1,977","1,359",,,,,,
04090,ARKANSAS                 ,CLARK,"10,022","-16,046","-18,059","3,905","3,873",,,,,,
04100,ARKANSAS                 ,CLAY,"8,260","-15,273","-17,448","2,528","2,137",,,,,,
04110,ARKANSAS                 ,CLEBURNE,"17,132","-28,228","-30,960","7,413","6,345",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"6,039","-11,762","-10,293","2,179","2,283",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"17,046","-23,480","-24,776","10,084","9,346",,,,,,
04140,ARKANSAS                 ,CONWAY,"14,325","-26,339","-26,803","5,986","5,757",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"53,440","-92,465","-105,846","23,138","22,249",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"25,590","-43,546","-46,253","10,976","11,191",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"12,530","-44,873","-48,744","4,747","5,695",,,,,,
04180,ARKANSAS                 ,CROSS,"6,848","-14,036","-15,598","2,979","2,536",,,,,,
04190,ARKANSAS                 ,DALLAS,"5,495","-10,096","-13,653","2,432","1,964",,,,,,
04200,ARKANSAS                 ,DESHA,"8,979","-14,021","-12,906","2,757","2,711",,,,,,
04210,ARKANSAS                 ,DREW,"11,527","-26,610","-23,620","4,844","4,887",,,,,,
04220,ARKANSAS                 ,FAULKNER,"44,503","-71,766","-80,861","18,529","19,377",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"7,377","-11,411","-12,548","3,450","3,186",,,,,,
04240,ARKANSAS                 ,FULTON,"9,085","-12,170","-14,271","2,238","2,153",,,,,,
04250,ARKANSAS                 ,GARLAND,"55,542","-96,248","-110,784","26,118","25,350",,,,,,
04260,ARKANSAS                 ,GRANT,"10,621","-16,691","-19,849","3,383","3,145",,,,,,
04270,ARKANSAS                 ,GREENE,"24,560","-40,856","-46,009","11,406","10,525",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"6,718","-14,226","-13,032","2,983","3,047",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"18,843","-31,977","-37,681","8,586","7,701",,,,,,
04300,ARKANSAS                 ,HOWARD,"7,196","-12,235","-11,106","3,393","3,094",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"28,772","-48,686","-53,575","11,045","11,249",,,,,,
04320,ARKANSAS                 ,IZARD,"8,997","-13,286","-17,197","3,539","3,007",,,,,,
04330,ARKANSAS                 ,JACKSON,"15,985","-28,848","-27,259","6,258","5,801",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"42,509","-86,389","-84,450","16,371","16,995",,,,,,
04350,ARKANSAS                 ,JOHNSON,"10,304","-17,422","-18,458","5,096","5,129",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"4,591","-6,222","-6,620","2,769","3,063",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"13,711","-22,107","-25,289","5,042","4,952",,,,,,
04380,ARKANSAS                 ,LEE,"3,710","-7,871","-7,241","1,319",954,,,,,,
04390,ARKANSAS                 ,LINCOLN,"4,540","-12,563","-11,018","2,838","2,835",,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"5,641","-10,814","-12,155","3,528","3,201",,,,,,
04410,ARKANSAS                 ,LOGAN,"10,931","-17,539","-16,949","4,480","4,280",,,,,,
04420,ARKANSAS                 ,LONOKE,"34,867","-62,701","-60,863","14,038","13,463",,,,,,
04430,ARKANSAS                 ,MADISON,"8,624","-17,690","-18,440","3,838","3,819",,,,,,
04440,ARKANSAS                 ,MARION,"9,591","-16,885","-17,609","3,406","3,779",,,,,,
04450,ARKANSAS                 ,MILLER,"14,399","-31,608","-28,066","9,891","10,105",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"25,902","-52,039","-49,112","8,596","8,900",,,,,,
04470,ARKANSAS                 ,MONROE,"4,555","-6,934","-8,437","1,867","1,648",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"4,337","-7,226","-7,667","2,156","1,621",,,,,,
04490,ARKANSAS                 ,NEVADA,"5,303","-8,937","-9,261","1,978","2,039",,,,,,
