"ESRD- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
4190,ARKANSAS,DALLAS,13,778,4.99,778,4.99,0,0,0,12,0,0
4200,ARKANSAS,DESHA,32,"1,168",3.04,"1,167",3.04,0,0,0,32,0,0
4210,ARKANSAS,DREW,30,"2,916",8.1,"2,917",8.1,0,0,0,30,0,0
4220,ARKANSAS,FAULKNER,125,"4,615",3.08,"4,615",3.08,0,0,0,122,0,0
4230,ARKANSAS,FRANKLIN,13,0,0,0,0,0,0,0,13,0,0
4240,ARKANSAS,FULTON,14,"2,266",13.49,"2,266",13.49,0,0,0,14,0,0
4250,ARKANSAS,GARLAND,127,"54,089",35.49,"54,089",35.49,0,0,0,124,0,0
4260,ARKANSAS,GRANT,8,0,0,0,0,0,0,0,8,0,0
4270,ARKANSAS,GREENE,36,"1,690",3.91,"1,690",3.91,0,0,0,36,0,0
4280,ARKANSAS,HEMPSTEAD,42,0,0,0,0,0,0,0,41,0,0
4290,ARKANSAS,HOT SPRING,36,0,0,0,0,0,0,0,35,0,0
4300,ARKANSAS,HOWARD,27,0,0,0,0,0,0,0,26,0,0
4310,ARKANSAS,INDEPENDENCE,38,0,0,0,0,0,0,0,37,0,0
4320,ARKANSAS,IZARD,7,"4,340",51.67,"4,340",51.67,0,0,0,7,0,0
4330,ARKANSAS,JACKSON,29,"7,658",22.01,"7,658",22.01,0,0,0,25,0,0
4340,ARKANSAS,JEFFERSON,171,"26,254",12.79,"26,254",12.79,0,0,0,163,0,0
4350,ARKANSAS,JOHNSON,24,"5,541",19.24,"5,540",19.24,0,0,0,23,0,0
4360,ARKANSAS,LAFAYETTE,17,0,0,0,0,0,0,0,15,0,0
4370,ARKANSAS,LAWRENCE,20,0,0,0,0,0,0,0,20,0,0
4380,ARKANSAS,LEE,23,0,0,0,0,0,0,0,23,0,0
4390,ARKANSAS,LINCOLN,15,396,2.2,396,2.2,0,0,0,15,0,0
4400,ARKANSAS,LITTLE RIVER,17,"2,383",11.68,"2,384",11.69,0,0,0,16,0,0
4410,ARKANSAS,LOGAN,19,"5,320",23.33,"5,320",23.33,0,0,0,19,0,0
4420,ARKANSAS,LONOKE,64,"4,225",5.5,"4,225",5.5,0,0,0,59,0,0
4430,ARKANSAS,MADISON,21,0,0,0,0,0,0,0,20,0,0
4440,ARKANSAS,MARION,13,"6,408",41.08,"6,408",41.08,0,0,0,12,0,0
4450,ARKANSAS,MILLER,63,"62,036",82.06,"62,035",82.06,0,0,0,62,0,0
4460,ARKANSAS,MISSISSIPPI,91,"28,283",25.9,"28,283",25.9,0,0,0,90,0,0
4470,ARKANSAS,MONROE,20,0,0,0,0,0,0,0,20,0,0
4480,ARKANSAS,MONTGOMERY,5,"17,760",296,"17,760",296,0,0,0,5,0,0
4490,ARKANSAS,NEVADA,16,0,0,0,0,0,0,0,16,0,0
4500,ARKANSAS,NEWTON,1,0,0,0,0,0,0,0,1,0,0
4510,ARKANSAS,OUACHITA,50,396,0.66,396,0.66,0,0,0,49,0,0
4520,ARKANSAS,PERRY,8,"1,241",12.93,"1,241",12.93,0,0,0,8,0,0
4530,ARKANSAS,PHILLIPS,60,"37,918",52.66,"37,918",52.66,0,0,0,60,0,0
4540,ARKANSAS,PIKE,17,264,1.29,263,1.29,0,0,0,17,0,0
4550,ARKANSAS,POINSETT,41,"6,287",12.78,"6,287",12.78,0,0,0,40,0,0
4560,ARKANSAS,POLK,21,"47,787",189.63,"47,787",189.63,0,0,0,21,0,0
4570,ARKANSAS,POPE,53,"20,561",32.33,"20,562",32.33,0,0,0,48,0,0
4580,ARKANSAS,PRAIRIE,10,0,0,0,0,0,0,0,10,0,0
4590,ARKANSAS,PULASKI,649,"80,332",10.31,"80,331",10.31,0,0,0,619,0,0
4600,ARKANSAS,RANDOLPH,17,0,0,0,0,0,0,0,17,0,0
4610,ARKANSAS,ST. FRANCIS,82,"44,375",45.1,"44,375",45.1,0,0,0,79,0,0
4620,ARKANSAS,SALINE,48,"16,359",28.4,"16,359",28.4,0,0,0,46,0,0
4630,ARKANSAS,SCOTT,9,"30,442",281.87,"30,442",281.87,0,0,0,9,0,0
4640,ARKANSAS,SEARCY,7,"42,294",503.5,"42,294",503.5,0,0,0,7,0,0
4650,ARKANSAS,SEBASTIAN,139,"56,322",33.77,"56,322",33.77,0,0,0,131,0,0
4660,ARKANSAS,SEVIER,10,"1,994",16.62,"1,994",16.62,0,0,0,10,0,0
4670,ARKANSAS,SHARP,22,0,0,0,0,0,0,0,21,0,0
4680,ARKANSAS,STONE,11,779,5.9,778,5.89,0,0,0,11,0,0
4690,ARKANSAS,UNION,107,"15,415",12.01,"15,415",12.01,0,0,0,107,0,0
4700,ARKANSAS,VAN BUREN,10,"3,359",27.99,"3,360",28,0,0,0,10,0,0
4710,ARKANSAS,WASHINGTON,194,"51,720",22.22,"51,721",22.22,0,0,0,184,0,0
4720,ARKANSAS,WHITE,66,"1,316",1.66,"1,316",1.66,0,0,0,64,0,0
4730,ARKANSAS,WOODRUFF,16,"12,656",65.92,"12,656",65.92,0,0,0,16,0,0
4740,ARKANSAS,YELL,25,"28,275",94.25,"28,274",94.25,0,0,0,24,0,0
5000,CALIFORNIA,ALAMEDA,1523,"204,664",11.2,"204,664",11.2,0,0,0,"1,363",0,0
5010,CALIFORNIA,ALPINE,4,"16,742",348.79,"16,742",348.79,0,0,0,3,0,0
5020,CALIFORNIA,AMADOR,19,"1,059",4.64,"1,059",4.64,0,0,0,19,0,0
5030,CALIFORNIA,BUTTE,277,"6,094",1.83,"6,094",1.83,0,0,0,265,0,0
5040,CALIFORNIA,CALAVERAS,45,"1,791",3.32,"1,791",3.32,0,0,0,43,0,0
5050,CALIFORNIA,COLUSA,33,189,0.48,189,0.48,0,0,0,33,0,0
5060,CALIFORNIA,CONTRA COSTA,987,"144,427",12.19,"144,427",12.19,0,0,0,902,0,0
5070,CALIFORNIA,DEL NORTE,20,0,0,0,0,0,0,0,20,0,0
5080,CALIFORNIA,EL DORADO,107,"16,636",12.96,"16,635",12.96,0,0,0,98,0,0
5090,CALIFORNIA,FRESNO,1147,"84,617",6.15,"84,617",6.15,0,0,0,"1,098",0,0
5100,CALIFORNIA,GLENN,42,0,0,0,0,0,0,0,40,0,0
5110,CALIFORNIA,HUMBOLDT,109,"1,942",1.48,"1,943",1.49,0,0,0,106,0,0
5120,CALIFORNIA,IMPERIAL,447,"27,374",5.1,"27,374",5.1,0,0,0,435,0,0
5130,CALIFORNIA,INYO,11,0,0,0,0,0,0,0,11,0,0
5140,CALIFORNIA,KERN,1043,"129,734",10.37,"129,734",10.37,0,0,0,"1,001",0,0
5150,CALIFORNIA,KINGS,186,"14,135",6.33,"14,135",6.33,0,0,0,182,0,0
5160,CALIFORNIA,LAKE,98,"7,590",6.45,"7,590",6.45,0,0,0,97,0,0
5170,CALIFORNIA,LASSEN,16,0,0,0,0,0,0,0,16,0,0
5200,CALIFORNIA,LOS ANGELES,11484,"2,061,862",14.96,"2,061,862",14.96,0,0,0,"10,627",0,0
5300,CALIFORNIA,MADERA,153,"4,655",2.54,"4,655",2.54,0,0,0,143,0,0
5310,CALIFORNIA,MARIN,122,"129,207",88.26,"129,208",88.26,0,0,0,109,0,0
5320,CALIFORNIA,MARIPOSA,18,"1,459",6.75,"1,459",6.75,0,0,0,17,0,0
5330,CALIFORNIA,MENDOCINO,120,"16,207",11.25,"16,208",11.26,0,0,0,119,0,0
5340,CALIFORNIA,MERCED,413,"16,664",3.36,"16,663",3.36,0,0,0,395,0,0
5350,CALIFORNIA,MODOC,7,0,0,0,0,0,0,0,5,0,0
5360,CALIFORNIA,MONO,14,0,0,0,0,0,0,0,13,0,0
5370,CALIFORNIA,MONTEREY,533,"5,680",0.89,"5,681",0.89,0,0,0,514,0,0
5380,CALIFORNIA,NAPA,100,"5,337",4.45,"5,337",4.45,0,0,0,89,0,0
5390,CALIFORNIA,NEVADA,71,"56,144",65.9,"56,144",65.9,0,0,0,69,0,0
5400,CALIFORNIA,ORANGE,2285,"467,679",17.06,"467,679",17.06,0,0,0,"2,138",0,0
5410,CALIFORNIA,PLACER,238,"114,125",39.96,"114,125",39.96,0,0,0,220,0,0
5420,CALIFORNIA,PLUMAS,21,0,0,0,0,0,0,0,20,0,0
5430,CALIFORNIA,RIVERSIDE,1775,"443,606",20.83,"443,606",20.83,0,0,0,"1,605",0,0
5440,CALIFORNIA,SACRAMENTO,1541,"215,184",11.64,"215,184",11.64,0,0,0,"1,406",0,0
5450,CALIFORNIA,SAN BENITO,51,0,0,0,0,0,0,0,48,0,0
5460,CALIFORNIA,SAN BERNARDINO,2099,"590,319",23.44,"590,319",23.44,0,0,0,"1,912",0,0
5470,CALIFORNIA,SAN DIEGO,2788,"573,964",17.16,"573,964",17.16,0,0,0,"2,566",0,0
5480,CALIFORNIA,SAN FRANCISCO,759,"98,829",10.85,"98,828",10.85,0,0,0,688,0,0
5490,CALIFORNIA,SAN JOAQUIN,894,"74,669",6.96,"74,669",6.96,0,0,0,836,0,0
5500,CALIFORNIA,SAN LUIS OBISPO,217,"9,582",3.68,"9,581",3.68,0,0,0,207,0,0
5510,CALIFORNIA,SAN MATEO,686,"94,332",11.46,"94,333",11.46,0,0,0,627,0,0
5520,CALIFORNIA,SANTA BARBARA,442,"94,156",17.75,"94,155",17.75,0,0,0,412,0,0
5530,CALIFORNIA,SANTA CLARA,1568,"293,263",15.59,"293,263",15.59,0,0,0,"1,438",0,0
5540,CALIFORNIA,SANTA CRUZ,242,"24,980",8.6,"24,981",8.6,0,0,0,225,0,0
5550,CALIFORNIA,SHASTA,198,"4,045",1.7,"4,045",1.7,0,0,0,189,0,0
5560,CALIFORNIA,SIERRA,2,0,0,0,0,0,0,0,2,0,0
5570,CALIFORNIA,SISKIYOU,44,"7,610",14.41,"7,610",14.41,0,0,0,44,0,0
5580,CALIFORNIA,SOLANO,533,"72,862",11.39,"72,862",11.39,0,0,0,484,0,0
5590,CALIFORNIA,SONOMA,373,"120,532",26.93,"120,532",26.93,0,0,0,337,0,0
5600,CALIFORNIA,STANISLAUS,677,"73,026",8.99,"73,025",8.99,0,0,0,648,0,0
5610,CALIFORNIA,SUTTER,142,"3,169",1.86,"3,169",1.86,0,0,0,139,0,0
5620,CALIFORNIA,TEHAMA,74,"1,624",1.83,"1,624",1.83,0,0,0,68,0,0
5630,CALIFORNIA,TRINITY,17,0,0,0,0,0,0,0,16,0,0
5640,CALIFORNIA,TULARE,702,"30,683",3.64,"30,683",3.64,0,0,0,675,0,0
5650,CALIFORNIA,TUOLUMNE,61,0,0,0,0,0,0,0,59,0,0
5660,CALIFORNIA,VENTURA,980,"162,874",13.85,"162,874",13.85,0,0,0,934,0,0
5670,CALIFORNIA,YOLO,149,"13,201",7.38,"13,201",7.38,0,0,0,142,0,0
5680,CALIFORNIA,YUBA,102,529,0.43,529,0.43,0,0,0,99,0,0
6000,COLORADO,ADAMS,394,"71,205",15.06,"71,204",15.06,0,0,0,367,0,0
6010,COLORADO,ALAMOSA,20,0,0,0,0,0,0,0,20,0,0
6020,COLORADO,ARAPAHOE,451,"23,905",4.42,"23,905",4.42,0,0,0,412,0,0
6030,COLORADO,ARCHULETA,4,"1,104",23,"1,104",23,0,0,0,4,0,0
6040,COLORADO,BACA,2,0,0,0,0,0,0,0,2,0,0
6050,COLORADO,BENT,5,0,0,0,0,0,0,0,5,0,0
6060,COLORADO,BOULDER,170,"135,437",66.39,"135,437",66.39,0,0,0,159,0,0
6070,COLORADO,CHAFFEE,9,0,0,0,0,0,0,0,9,0,0
6080,COLORADO,CHEYENNE,1,0,0,0,0,0,0,0,1,0,0
6090,COLORADO,CLEAR CREEK,2,0,0,0,0,0,0,0,2,0,0
6100,COLORADO,CONEJOS,13,0,0,0,0,0,0,0,12,0,0
6110,COLORADO,COSTILLA,7,985,11.73,985,11.73,0,0,0,7,0,0
6120,COLORADO,CROWLEY,9,0,0,0,0,0,0,0,9,0,0
6130,COLORADO,CUSTER,1,0,0,0,0,0,0,0,1,0,0
6140,COLORADO,DELTA,17,309,1.51,309,1.51,0,0,0,15,0,0
6150,COLORADO,DENVER,597,"88,136",12.3,"88,136",12.3,0,0,0,537,0,0
6160,COLORADO,DOLORES,3,0,0,0,0,0,0,0,3,0,0
6170,COLORADO,DOUGLAS,55,"26,689",40.44,"26,688",40.44,0,0,0,48,0,0
6180,COLORADO,EAGLE,5,0,0,0,0,0,0,0,5,0,0
