DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
03020,ARIZONA                  ,COCONINO,"8,116",229,"-4,784","-4,221",357,,,,,
03030,ARIZONA                  ,GILA,"17,785","4,374",252,"4,191","-1,244",,,,,
03040,ARIZONA                  ,GRAHAM,534,-125,255,"-1,913",-821,,,,,
03050,ARIZONA                  ,GREENLEE,-447,-683,-334,"-1,459",0,,,,,
03055,ARIZONA                  ,LA PAZ,-939,-891,"-1,061","-1,552",209,,,,,
03060,ARIZONA                  ,MARICOPA,"-21,142","-130,676","-149,905","-91,906","-45,781",,,,,
03070,ARIZONA                  ,MOHAVE,"-24,361","-70,734","-43,674","-25,803","-17,718",,,,,
03080,ARIZONA                  ,NAVAJO,"10,691","1,671",388,768,329,,,,,
03090,ARIZONA                  ,PIMA,"-83,376","-124,461","-138,803","-87,208","-49,271",,,,,
03100,ARIZONA                  ,PINAL,"-4,252","-21,651","-15,977","-10,120","-6,026",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-3,733","-3,614",-803,-633,-517,,,,,
03120,ARIZONA                  ,YAVAPAI,"22,821",244,"-57,557","-39,995","-28,462",,,,,
03130,ARIZONA                  ,YUMA,"20,201","20,285","14,569","15,375","11,060",,,,,
04000,ARKANSAS                 ,ARKANSAS,-277,-116,475,165,-92,,,,,
04010,ARKANSAS                 ,ASHLEY,155,-59,"1,131",763,-765,,,,,
04020,ARKANSAS                 ,BAXTER,"-2,571","-1,004",906,716,-471,,,,,
04030,ARKANSAS                 ,BENTON,"-16,476","-6,340","-7,178","-32,742","-27,267",,,,,
04040,ARKANSAS                 ,BOONE,"-3,381",-920,"1,133","-1,112","-1,041",,,,,
04050,ARKANSAS                 ,BRADLEY,-567,"1,107",216,529,-349,,,,,
04060,ARKANSAS                 ,CALHOUN,-160,-18,-45,204,-48,,,,,
04070,ARKANSAS                 ,CARROLL,"-2,479",-724,-221,"-4,139",-965,,,,,
04080,ARKANSAS                 ,CHICOT,-776,439,889,436,-366,,,,,
04090,ARKANSAS                 ,CLARK,-191,-396,-325,-167,-261,,,,,
04100,ARKANSAS                 ,CLAY,-777,181,383,356,-115,,,,,
04110,ARKANSAS                 ,CLEBURNE,-997,-104,687,718,-351,,,,,
04120,ARKANSAS                 ,CLEVELAND,"1,823","1,340",508,521,-152,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-1,935","-5,782",517,282,"-1,417",,,,,
04140,ARKANSAS                 ,CONWAY,"-1,139",-734,-380,-656,"-1,784",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-3,914","2,681","1,968",-79,"-11,508",,,,,
