AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,
04020,ARKANSAS                 ,BAXTER,-639,-272,-50,0,0,,,
04030,ARKANSAS                 ,BENTON,0,-142,0,0,0,,,
04040,ARKANSAS                 ,BOONE,0,0,0,0,0,,,
04050,ARKANSAS                 ,BRADLEY,0,0,0,0,0,,,
04060,ARKANSAS                 ,CALHOUN,-756,0,0,0,0,,,
04070,ARKANSAS                 ,CARROLL,0,0,-50,-75,-145,,,
04080,ARKANSAS                 ,CHICOT,0,-221,-825,-637,0,,,
04090,ARKANSAS                 ,CLARK,0,0,0,0,0,,,
04100,ARKANSAS                 ,CLAY,0,0,0,0,0,,,
04110,ARKANSAS                 ,CLEBURNE,-685,-178,0,0,0,,,
04120,ARKANSAS                 ,CLEVELAND,0,0,0,0,0,,,
04130,ARKANSAS                 ,COLUMBIA,-258,0,0,0,0,,,
04140,ARKANSAS                 ,CONWAY,-87,-237,0,0,-25,,,
04150,ARKANSAS                 ,CRAIGHEAD,0,0,0,-381,0,,,
04160,ARKANSAS                 ,CRAWFORD,-934,-174,0,-100,0,,,
04170,ARKANSAS                 ,CRITTENDEN,"-216,975","-239,111","-244,950","-228,961","-106,280",,,
04180,ARKANSAS                 ,CROSS,0,0,0,0,0,,,
04190,ARKANSAS                 ,DALLAS,0,0,0,0,0,,,
04200,ARKANSAS                 ,DESHA,-206,-794,-806,-828,-289,,,
04210,ARKANSAS                 ,DREW,0,0,0,0,0,,,
04220,ARKANSAS                 ,FAULKNER,"-407,861","-439,508","-465,908","-501,618","-260,030",,,
04230,ARKANSAS                 ,FRANKLIN,0,0,0,0,0,,,
04240,ARKANSAS                 ,FULTON,-578,-440,"-1,061",-65,0,,,
04250,ARKANSAS                 ,GARLAND,"-11,425","-11,643","-10,762","-7,541","-2,802",,,
04260,ARKANSAS                 ,GRANT,"-124,419","-139,192","-144,820","-146,287","-64,846",,,
04270,ARKANSAS                 ,GREENE,0,0,0,0,0,,,
04280,ARKANSAS                 ,HEMPSTEAD,0,0,0,0,0,,,
